number;;;;url
1;;Weedle;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168808.jpg
2;;Weedle;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168809.jpg
3;;Kakuna;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168759.jpg
4;;Beedrill;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168728.jpg
5;;Beedrill;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168729.jpg
6;;Nidoran♀;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168783.jpg
7;;Nidoran♀;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/64844040d5d411e5b0cc0593e37edc03/nidoran%207.jpg
8;;Nidorina;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168785.jpg
9;;Nidoqueen;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168781.jpg
10;;Nidoqueen;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/64f9b3d0d5d311e5b1bc6baa694552ed/nidoqueen%2010.jpg
11;;Venonat;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168806.jpg
12;;Venomoth;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168805.jpg
13;;Sunkern;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168800.jpg
14;;Sunflora;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168799.jpg
15;;Growlithe;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168749.jpg
16;;Arcanine;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168724.jpg
17;;Arcanine;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/531201e0d5c911e58fc9396dfd3f1544/Arcanine%2017.jpg
18;;Moltres;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168777.jpg
19;;Moltres;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/278ac610d5d311e595010d17122adfcc/moltres%2019.jpg
20;;Slugma;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168794.jpg
21;;Houndour;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168756.jpg
22;;Seel;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168792.jpg
23;;Seel;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168793.jpg
24;;Dewgong;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168736.jpg
25;;Dewgong;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168737.jpg
26;;Magikarp;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168768.jpg
27;;Gyarados;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168750.jpg
28;;Gyarados;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/1e8821a0d5d011e5a2519d9b80ac64dc/Gyarados%2028.jpg
29;;Lapras;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168760.jpg
30;;Articuno;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168726.jpg
31;;Articuno;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/65c2dbc0d5c911e582d9db8233f65f92/Articuno31.jpg
32;;Swinub;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168801.jpg
33;;Piloswine;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168787.jpg
34;;Piloswine;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168788.jpg
35;;Delibird;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168735.jpg
36;;Magnemite;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168769.jpg
37;;Magneton;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168770.jpg
38;;Magneton;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168771.jpg
39;;Voltorb;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168807.jpg
40;;Electrode;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168740.jpg
41;;Gastly;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168745.jpg
42;;Haunter;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168752.jpg
43;;Gengar;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168746.jpg
44;;Gengar;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/f513cbd0d5cf11e5b458d75a2345aed0/Gengar%2044.jpg
45;;Natu;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168780.jpg
46;;Xatu;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168811.jpg
47;;Xatu;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168812.jpg
48;;Diglett;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168738.jpg
49;;Dugtrio;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168739.jpg
50;;Machop;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168765.jpg
51;;Machoke;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168764.jpg
52;;Machamp;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168762.jpg
53;;Machamp;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/62a54e70d5d111e59ca3d3164291b201/Machamp%2053.jpg
54;;Gligar;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168748.jpg
55;;Magcargo;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168766.jpg
56;;Magcargo;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/3c8c1510d5d211e5b808afe370771c89/Macargo%2056.jpg
57;;Swinub;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168802.jpg
58;;Piloswine;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168789.jpg
59;;Jigglypuff;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168758.jpg
60;;Wigglytuff;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168810.jpg
61;;Farfetch'd;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/a84658f0d5ce11e582ec5f7b79c959b8/Farfetchd%2061.jpg
62;;Snorlax;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168795.jpg
63;;Hoothoot;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168753.jpg
64;;Noctowl;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168786.jpg
65;;Igglybuff;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168757.jpg
66;;Teddiursa;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168803.jpg
67;;Ursaring;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168804.jpg
68;;Stantler;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168796.jpg
69;;Houndoom;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168754.jpg
70;;Houndoom;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/5f563ff0d5d011e5b808afe370771c89/houndoom%2070.jpg
71;;Magneton;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168772.jpg
72;;Magneton;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/f085b0d0d5d211e5a35e0d9ae6332a02/Magneton%2072.jpg
73;;Steelix;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168797.jpg
74;;Steelix;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/71335cd0d5d511e5a0e99399b8b6bc1f/Steelix%2074.jpg
75;T;Fast Ball;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168742.jpg
76;T;Friend Ball;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168744.jpg
77;T;Lure Ball;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168761.jpg
78;T [Su];Relic Hunter;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168790.jpg
79;T [Su];Fisherman;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168743.jpg
80;T [Su];Apricorn Maker;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168723.jpg
81;T [TM];Miracle Sphere α;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168774.jpg
82;T [TM];Miracle Sphere β;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168775.jpg
83;T [TM];Miracle Sphere γ;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168776.jpg
84;T [St];Ancient Ruins;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168722.jpg
85;T [St];Mystery Zone;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168779.jpg
86; E;Cyclone Energy;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/9cd9aed0d5ca11e595010d17122adfcc/cyclone%20energy.jpg
87; E;Bounce Energy;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/24cd69e0d5ca11e5a37fe7e71ed410cf/bounce%20energy.jpg
88; E;Retro Energy;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168791.jpg
