;;;number;url
;;Ivysaur;1;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967347/modifs/ivysaur.jpg
;;Nidoran♂;2;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175112.jpg
;;Venonat;3;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175123.jpg
;;Exeggcute;4;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175098.jpg
;;Tangela;5;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175120.jpg
;;Growlithe;6;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967336/modifs/growlithe.jpg
;;Charmeleon;7;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175083.jpg
;;Vulpix;8;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967456/modifs/vuplix.jpg
;;Wartortle;9;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175126.jpg
;;Marill;10;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175107.jpg
;;Voltorb;11;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175124.jpg
;;Slowpoke;12;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175118.jpg
;;Diglett;13;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175094.jpg
;;Hitmonlee;14;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175102.jpg
NoColor;;Bill's Teleporter;15;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175082.jpg
NoColor;;New Pokédex;16;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175110.jpg
;;Dark Ivysaur;17;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175088.jpg
;;Nidorino;18;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175113.jpg
;;Venomoth;19;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175122.jpg
;;Exeggutor;20;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175099.jpg
;;Dark Weezing;21;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175093.jpg
;;Dark Charmeleon;22;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967236/modifs/dark_charmander.jpg
;;Arcanine;23;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967174/modifs/arcanine.jpg
;;Dark Wartortle;24;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967266/modifs/Dark_Wartortle.jpg
;;Surfing Pikachu;25;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967417/modifs/surfing_pikachu.jpg
;;Electrode;26;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967303/modifs/electrode.jpg
;;Dark Kadabra;27;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175089.jpg
;;Dark Slowbro;28;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175090.jpg
;;Dugtrio;29;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175096.jpg
NoColor;;Max Revive;30;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175108.jpg
NoColor;;Hyper Devolution Spray;31;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175103.jpg
NoColor;;Pokémon Retransfer;32;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175115.jpg
;;Nidoking;33;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967387/modifs/nidoking.jpg
;;Ninetales;34;https://66.media.tumblr.com/tumblr_mdq7xgkdIS1ribhioo2_250.jpg
;;Magikarp;35;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967362/modifs/magikarp.jpg
;;Raichu;36;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175116.jpg
;;Dark Alakazam;37;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175084.jpg
;;Dragonite;38;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967292/modifs/dragonite.jpg
;;Team Rocket's Meowth;39;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967431/modifs/Team_Rocket_s_Meowth.jpg
NoColor;;Rocket's Sneak Attack;40;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967407/modifs/Rocket_s_Sneak_Attack.jpg
;;Dark Venusaur;41;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967253/modifs/Dark_Venusaur.jpg
;;Dark Charizard;42;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967224/modifs/Dark_Charizard.jpg
;;Moltres;43;https://res.cloudinary.com/dkhwpritu/image/upload/v1556967376/modifs/Moltres.jpg
