number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Alakazam;Alakazam;Pokémon;Psychic;65;Hajime Kusajima;;;https://images.pokemontcg.io/ecard1/1.png;;Expedition Base Set
2;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Atsuko Nishida;;;https://images.pokemontcg.io/ecard1/2.png;;Expedition Base Set
3;Rare Holo;;Arbok;Arbok;Pokémon;Grass;24;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard1/3.png;;Expedition Base Set
4;Rare Holo;;Tortank;Blastoise;Pokémon;Water;9;Kimiya Masago;;;https://images.pokemontcg.io/ecard1/4.png;;Expedition Base Set
5;Rare Holo;;Papilusion;Butterfree;Pokémon;Grass;12;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ecard1/5.png;;Expedition Base Set
6;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;Hiromichi Sugiyama;;;https://images.pokemontcg.io/ecard1/6.png;;Expedition Base Set
7;Rare Holo;;Mélodelfe;Clefable;Pokémon;Colorless;36;Kagemaru Himeno;;;https://images.pokemontcg.io/ecard1/7.png;;Expedition Base Set
8;Rare Holo;;Crustabri;Cloyster;Pokémon;Water;91;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard1/8.png;;Expedition Base Set
9;Rare Holo;;Dracolosse;Dragonite;Pokémon;Colorless;149;Kagemaru Himeno;;;https://images.pokemontcg.io/ecard1/9.png;;Expedition Base Set
10;Rare Holo;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Masako Yamashita;;;https://images.pokemontcg.io/ecard1/10.png;;Expedition Base Set
11;Rare Holo;;Rapasdepic;Fearow;Pokémon;Colorless;22;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard1/11.png;;Expedition Base Set
12;Rare Holo;;Aligatueur;Feraligatr;Pokémon;Water;160;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard1/12.png;;Expedition Base Set
13;Rare Holo;;Ectoplasma;Gengar;Pokémon;Psychic;94;Yukiko Baba;;;https://images.pokemontcg.io/ecard1/13.png;;Expedition Base Set
14;Rare Holo;;Grolem;Golem;Pokémon;Fighting;76;Aya Kusube;;;https://images.pokemontcg.io/ecard1/14.png;;Expedition Base Set
15;Rare Holo;;Krabboss;Kingler;Pokémon;Water;99;Shin-ichi Yoshida;;;https://images.pokemontcg.io/ecard1/15.png;;Expedition Base Set
16;Rare Holo;;Mackogneur;Machamp;Pokémon;Fighting;68;Shin-ichi Yoshida;;;https://images.pokemontcg.io/ecard1/16.png;;Expedition Base Set
17;Rare Holo;;Magby;Magby;Pokémon;Fire;240;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard1/17.png;;Expedition Base Set
18;Rare Holo;;Méganium;Meganium;Pokémon;Grass;154;Hajime Kusajima;;;https://images.pokemontcg.io/ecard1/18.png;;Expedition Base Set
19;Rare Holo;;Mew;Mew;Pokémon;Psychic;151;Hajime Kusajima;;;https://images.pokemontcg.io/ecard1/19.png;;Expedition Base Set
20;Rare Holo;;Mewtwo;Mewtwo;Pokémon;Psychic;150;Kimiya Masago;;;https://images.pokemontcg.io/ecard1/20.png;;Expedition Base Set
21;Rare Holo;;Feunard;Ninetales;Pokémon;Fire;38;Atsuko Nishida;;;https://images.pokemontcg.io/ecard1/21.png;;Expedition Base Set
22;Rare Holo;;Pichu;Pichu;Pokémon;Lightning;172;Atsuko Nishida;;;https://images.pokemontcg.io/ecard1/22.png;;Expedition Base Set
23;Rare Holo;;Roucarnage;Pidgeot;Pokémon;Colorless;18;Tomokazu Komiya;;;https://images.pokemontcg.io/ecard1/23.png;;Expedition Base Set
24;Rare Holo;;Tartard;Poliwrath;Pokémon;Water;62;Yuka Morii;;;https://images.pokemontcg.io/ecard1/24.png;;Expedition Base Set
25;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;Atsuko Nishida;;;https://images.pokemontcg.io/ecard1/25.png;;Expedition Base Set
