number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare;;Ptera;Aerodactyl;Pokémon;Fighting;142;Toshinao Aoki;;;https://images.pokemontcg.io/ecard3/1.png;;Skyridge
2;Rare;;Alakazam;Alakazam;Pokémon;Psychic;65;Kimiya Masago;;;https://images.pokemontcg.io/ecard3/2.png;;Skyridge
3;Rare;;Arcanin;Arcanine;Pokémon;Fire;59;Aya Kusube;;;https://images.pokemontcg.io/ecard3/3.png;;Skyridge
4;Rare;;Artikodin;Articuno;Pokémon;Water;144;Hajime Kusajima;;;https://images.pokemontcg.io/ecard3/4.png;;Skyridge
5;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;Hikaru Koike;;;https://images.pokemontcg.io/ecard3/5.png;;Skyridge
6;Rare;;Nostenfer;Crobat;Pokémon;Grass;169;Kimiya Masago;;;https://images.pokemontcg.io/ecard3/6.png;;Skyridge
7;Rare;;Lamantine;Dewgong;Pokémon;Water;87;Kouki Saitou;;;https://images.pokemontcg.io/ecard3/7.png;;Skyridge
8;Rare;;Pyroli;Flareon;Pokémon;Fire;136;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard3/8.png;;Skyridge
9;Rare;;Foretress;Forretress;Pokémon;Metal;205;Midori Harada;;;https://images.pokemontcg.io/ecard3/9.png;;Skyridge
10;Rare;;Ectoplasma;Gengar;Pokémon;Psychic;94;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard3/10.png;;Skyridge
11;Rare;;Léviator;Gyarados;Pokémon;Water;130;Kimiya Masago;;;https://images.pokemontcg.io/ecard3/11.png;;Skyridge
12;Rare;;Démolosse;Houndoom;Pokémon;Darkness;229;Kimiya Masago;;;https://images.pokemontcg.io/ecard3/12.png;;Skyridge
13;Rare;;Voltali;Jolteon;Pokémon;Lightning;135;Hikaru Koike;;;https://images.pokemontcg.io/ecard3/13.png;;Skyridge
14;Rare;;Kabutops;Kabutops;Pokémon;Fighting;141;Kouki Saitou;;;https://images.pokemontcg.io/ecard3/14.png;;Skyridge
15;Rare;;Coxyclaque;Ledian;Pokémon;Grass;166;Hikaru Koike;;;https://images.pokemontcg.io/ecard3/15.png;;Skyridge
16;Rare;;Mackogneur;Machamp;Pokémon;Fighting;68;Naoyo Kimura;;;https://images.pokemontcg.io/ecard3/16.png;;Skyridge
17;Rare;;Volcaropod;Magcargo;Pokémon;Fire;219;Hajime Kusajima;;;https://images.pokemontcg.io/ecard3/17.png;;Skyridge
18;Rare;;Volcaropod;Magcargo;Pokémon;Fighting;219;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard3/18.png;;Skyridge
19;Rare;;Magneton;Magneton;Pokémon;Lightning;82;Kouki Saitou;;;https://images.pokemontcg.io/ecard3/19.png;;Skyridge
20;Rare;;Magneton;Magneton;Pokémon;Metal;82;Kouki Saitou;;;https://images.pokemontcg.io/ecard3/20.png;;Skyridge
21;Rare;;Sulfura;Moltres;Pokémon;Fire;146;Kouki Saitou;;;https://images.pokemontcg.io/ecard3/21.png;;Skyridge
22;Rare;;Nidoqueen;Nidoqueen;Pokémon;Grass;31;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard3/22.png;;Skyridge
23;Rare;;Amonistar;Omastar;Pokémon;Water;139;Hajime Kusajima;;;https://images.pokemontcg.io/ecard3/23.png;;Skyridge
24;Rare;;Cochignon;Piloswine;Pokémon;Water;221;Yuka Morii;;;https://images.pokemontcg.io/ecard3/24.png;;Skyridge
25;Rare;;Tarpaud;Politoed;Pokémon;Water;186;Atsuko Nishida;;;https://images.pokemontcg.io/ecard3/25.png;;Skyridge
26;Rare;;Tartard;Poliwrath;Pokémon;Fighting;62;Naoyo Kimura;;;https://images.pokemontcg.io/ecard3/26.png;;Skyridge
27;Rare;;Raichu;Raichu;Pokémon;Lightning;26;Yuka Morii;;;https://images.pokemontcg.io/ecard3/27.png;;Skyridge
28;Rare;;Raikou;Raikou;Pokémon;Lightning;243;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard3/28.png;;Skyridge
29;Rare;;Rhinoféros;Rhydon;Pokémon;Fighting;112;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard3/29.png;;Skyridge
30;Rare;;Staross;Starmie;Pokémon;Psychic;121;CR CG gangs;;;https://images.pokemontcg.io/ecard3/30.png;;Skyridge
31;Rare;;Steelix;Steelix;Pokémon;Metal;208;Hikaru Koike;;;https://images.pokemontcg.io/ecard3/31.png;;Skyridge
32;Rare;;Noctali;Umbreon;Pokémon;Darkness;197;Atsuko Nishida;;;https://images.pokemontcg.io/ecard3/32.png;;Skyridge
33;Rare;;Aquali;Vaporeon;Pokémon;Water;134;Naoyo Kimura;;;https://images.pokemontcg.io/ecard3/33.png;;Skyridge
34;Rare;;Grodoudou;Wigglytuff;Pokémon;Colorless;40;Hizuki Misono;;;https://images.pokemontcg.io/ecard3/34.png;;Skyridge
35;Rare;;Xatu;Xatu;Pokémon;Psychic;178;Atsuko Nishida;;;https://images.pokemontcg.io/ecard3/35.png;;Skyridge
36;Uncommon;;Électrode;Electrode;Pokémon;Lightning;101;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ecard3/36.png;;Skyridge
37;Uncommon;;Kabuto;Kabuto;Pokémon;Fighting;140;Yukiko Baba;;;https://images.pokemontcg.io/ecard3/37.png;;Skyridge
38;Uncommon;;Machopeur;Machoke;Pokémon;Fighting;67;Hisao Nakamura;;;https://images.pokemontcg.io/ecard3/38.png;;Skyridge
39;Uncommon;;Feuforeve;Misdreavus;Pokémon;Psychic;200;Atsuko Nishida;;;https://images.pokemontcg.io/ecard3/39.png;;Skyridge
40;Uncommon;;Noarfang;Noctowl;Pokémon;Colorless;164;Atsuko Nishida;;;https://images.pokemontcg.io/ecard3/40.png;;Skyridge
41;Uncommon;;Amonita;Omanyte;Pokémon;Water;138;Yukiko Baba;;;https://images.pokemontcg.io/ecard3/41.png;;Skyridge
42;Uncommon;;Persian;Persian;Pokémon;Colorless;53;Atsuko Nishida;;;https://images.pokemontcg.io/ecard3/42.png;;Skyridge
43;Uncommon;;Cochignon;Piloswine;Pokémon;Fighting;221;Shin-ichi Yoshida;;;https://images.pokemontcg.io/ecard3/43.png;;Skyridge
44;Uncommon;;Staross;Starmie;Pokémon;Water;121;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard3/44.png;;Skyridge
45;Uncommon;;Qulbutoke;Wobbuffet;Pokémon;Psychic;202;Kagemaru Himeno;;;https://images.pokemontcg.io/ecard3/45.png;;Skyridge
