number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Ptera;Aerodactyl;Pokémon;Colorless;142;Hajime Kusajima;;;https://images.pokemontcg.io/ex12/1.png;;Legend Maker
2;Rare Holo;;Galeking;Aggron;Pokémon;Metal;306;Hisao Nakamura;;;https://images.pokemontcg.io/ex12/2.png;;Legend Maker
3;Rare Holo;;Vacilys;Cradily;Pokémon;Grass;346;Hajime Kusajima;;;https://images.pokemontcg.io/ex12/3.png;;Legend Maker
4;Rare Holo;;Delcatty;Delcatty;Pokémon;Colorless;301;Naoyo Kimura;;;https://images.pokemontcg.io/ex12/4.png;;Legend Maker
5;Rare Holo;;Ectoplasma;Gengar;Pokémon;Psychic;94;Kouki Saitou;;;https://images.pokemontcg.io/ex12/5.png;;Legend Maker
6;Rare Holo;;Grolem;Golem;Pokémon;Fighting;76;Hajime Kusajima;;;https://images.pokemontcg.io/ex12/6.png;;Legend Maker
7;Rare Holo;;Kabutops;Kabutops;Pokémon;Fighting;141;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex12/7.png;;Legend Maker
8;Rare Holo;;Lokhlass;Lapras;Pokémon;Water;131;Kagemaru Himeno;;;https://images.pokemontcg.io/ex12/8.png;;Legend Maker
9;Rare Holo;;Mackogneur;Machamp;Pokémon;Fighting;68;Kouki Saitou;;;https://images.pokemontcg.io/ex12/9.png;;Legend Maker
10;Rare Holo;;Mew;Mew;Pokémon;Psychic;151;Kouki Saitou;;;https://images.pokemontcg.io/ex12/10.png;;Legend Maker
11;Rare Holo;;Grotadmorv;Muk;Pokémon;Grass;89;Midori Harada;;;https://images.pokemontcg.io/ex12/11.png;;Legend Maker
12;Rare Holo;;Tengalice;Shiftry;Pokémon;Darkness;275;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex12/12.png;;Legend Maker
13;Rare Holo;;Empiflor;Victreebel;Pokémon;Grass;71;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex12/13.png;;Legend Maker
14;Rare Holo;;Wailord;Wailord;Pokémon;Water;321;Kouki Saitou;;;https://images.pokemontcg.io/ex12/14.png;;Legend Maker
15;Rare;;Absol;Absol;Pokémon;Darkness;359;Midori Harada;;;https://images.pokemontcg.io/ex12/15.png;;Legend Maker
16;Rare;;Girafarig;Girafarig;Pokémon;Psychic;203;Aya Kusube;;;https://images.pokemontcg.io/ex12/16.png;;Legend Maker
17;Rare;;Rosabyss;Gorebyss;Pokémon;Water;368;Atsuko Nishida;;;https://images.pokemontcg.io/ex12/17.png;;Legend Maker
18;Rare;;Serpang;Huntail;Pokémon;Water;367;Midori Harada;;;https://images.pokemontcg.io/ex12/18.png;;Legend Maker
19;Rare;;Lanturn;Lanturn;Pokémon;Lightning;171;Kagemaru Himeno;;;https://images.pokemontcg.io/ex12/19.png;;Legend Maker
20;Rare;;Séléroc;Lunatone;Pokémon;Psychic;337;Hisao Nakamura;;;https://images.pokemontcg.io/ex12/20.png;;Legend Maker
21;Rare;;Magmar;Magmar;Pokémon;Fire;126;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex12/21.png;;Legend Maker
22;Rare;;Magneton;Magneton;Pokémon;Lightning;82;Hisao Nakamura;;;https://images.pokemontcg.io/ex12/22.png;;Legend Maker
23;Rare;;Amonistar;Omastar;Pokémon;Water;139;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex12/23.png;;Legend Maker
24;Rare;;Scarabrute;Pinsir;Pokémon;Grass;127;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex12/24.png;;Legend Maker
25;Rare;;Solaroc;Solrock;Pokémon;Fighting;338;Hisao Nakamura;;;https://images.pokemontcg.io/ex12/25.png;;Legend Maker
26;Rare;;Spinda;Spinda;Pokémon;Colorless;327;Motofumi Fujiwara;;;https://images.pokemontcg.io/ex12/26.png;;Legend Maker
27;Rare;;Chartor;Torkoal;Pokémon;Fire;324;Atsuko Nishida;;;https://images.pokemontcg.io/ex12/27.png;;Legend Maker
28;Rare;;Qulbutoke;Wobbuffet;Pokémon;Psychic;202;Kouki Saitou;;;https://images.pokemontcg.io/ex12/28.png;;Legend Maker
29;Uncommon;;Anorith;Anorith;Pokémon;Fighting;347;Atsuko Nishida;;;https://images.pokemontcg.io/ex12/29.png;;Legend Maker
30;Uncommon;;Blindalys;Cascoon;Pokémon;Grass;268;Sachiko Adachi;;;https://images.pokemontcg.io/ex12/30.png;;Legend Maker
31;Uncommon;;Insolourdo;Dunsparce;Pokémon;Colorless;206;Hajime Kusajima;;;https://images.pokemontcg.io/ex12/31.png;;Legend Maker
32;Uncommon;;Électrode;Electrode;Pokémon;Lightning;101;Midori Harada;;;https://images.pokemontcg.io/ex12/32.png;;Legend Maker
33;Uncommon;;Fouinar;Furret;Pokémon;Colorless;162;Tomokazu Komiya;;;https://images.pokemontcg.io/ex12/33.png;;Legend Maker
34;Uncommon;;Gravalanch;Graveler;Pokémon;Fighting;75;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex12/34.png;;Legend Maker
35;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Aya Kusube;;;https://images.pokemontcg.io/ex12/35.png;;Legend Maker
36;Uncommon;;Kabuto;Kabuto;Pokémon;Fighting;140;Takao Unno;;;https://images.pokemontcg.io/ex12/36.png;;Legend Maker
37;Uncommon;;Kecleon;Kecleon;Pokémon;Colorless;352;Tomokazu Komiya;;;https://images.pokemontcg.io/ex12/37.png;;Legend Maker
38;Uncommon;;Galegon;Lairon;Pokémon;Metal;305;Naoyo Kimura;;;https://images.pokemontcg.io/ex12/38.png;;Legend Maker
39;Uncommon;;Machopeur;Machoke;Pokémon;Fighting;67;Kagemaru Himeno;;;https://images.pokemontcg.io/ex12/39.png;;Legend Maker
40;Uncommon;;Feuforeve;Misdreavus;Pokémon;Psychic;200;Yukiko Baba;;;https://images.pokemontcg.io/ex12/40.png;;Legend Maker
41;Uncommon;;Pifeuil;Nuzleaf;Pokémon;Darkness;274;Katsura Tabata;;;https://images.pokemontcg.io/ex12/41.png;;Legend Maker
42;Uncommon;;Roselia;Roselia;Pokémon;Grass;315;Kagemaru Himeno;;;https://images.pokemontcg.io/ex12/42.png;;Legend Maker
43;Uncommon;;Phogleur;Sealeo;Pokémon;Water;364;Midori Harada;;;https://images.pokemontcg.io/ex12/43.png;;Legend Maker
44;Uncommon;;Saquedeneu;Tangela;Pokémon;Grass;114;Aya Kusube;;;https://images.pokemontcg.io/ex12/44.png;;Legend Maker
45;Uncommon;;Tentacruel;Tentacruel;Pokémon;Water;73;Kagemaru Himeno;;;https://images.pokemontcg.io/ex12/45.png;;Legend Maker
46;Uncommon;;Vibraninf;Vibrava;Pokémon;Colorless;329;Atsuko Nishida;;;https://images.pokemontcg.io/ex12/46.png;;Legend Maker
47;Uncommon;;Boustiflor;Weepinbell;Pokémon;Grass;70;Katsura Tabata;;;https://images.pokemontcg.io/ex12/47.png;;Legend Maker
