number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Absol;Absol;Pokémon;Darkness;359;Naoyo Kimura;;;https://images.pokemontcg.io/ex3/1.png;;Dragon
2;Rare Holo;;Altaria;Altaria;Pokémon;Colorless;334;Atsuko Nishida;;;https://images.pokemontcg.io/ex3/2.png;;Dragon
3;Rare Holo;;Colhomard;Crawdaunt;Pokémon;Water;342;Hisao Nakamura;;;https://images.pokemontcg.io/ex3/3.png;;Dragon
4;Rare Holo;;Libégon;Flygon;Pokémon;Colorless;330;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex3/4.png;;Dragon
5;Rare Holo;;Grolem;Golem;Pokémon;Fighting;76;Hisao Nakamura;;;https://images.pokemontcg.io/ex3/5.png;;Dragon
6;Rare Holo;;Groret;Grumpig;Pokémon;Psychic;326;Midori Harada;;;https://images.pokemontcg.io/ex3/6.png;;Dragon
7;Rare Holo;;Negapi;Minun;Pokémon;Lightning;312;Atsuko Nishida;;;https://images.pokemontcg.io/ex3/7.png;;Dragon
8;Rare Holo;;Posipi;Plusle;Pokémon;Lightning;311;Atsuko Nishida;;;https://images.pokemontcg.io/ex3/8.png;;Dragon
9;Rare Holo;;Roselia;Roselia;Pokémon;Grass;315;Atsuko Nishida;;;https://images.pokemontcg.io/ex3/9.png;;Dragon
10;Rare Holo;;Drattak;Salamence;Pokémon;Colorless;373;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex3/10.png;;Dragon
11;Rare Holo;;Munja;Shedinja;Pokémon;Grass;292;Kagemaru Himeno;;;https://images.pokemontcg.io/ex3/11.png;;Dragon
12;Rare Holo;;Chartor;Torkoal;Pokémon;Fire;324;Kagemaru Himeno;;;https://images.pokemontcg.io/ex3/12.png;;Dragon
13;Rare;;Colhomard;Crawdaunt;Pokémon;Water;342;Kagemaru Himeno;;;https://images.pokemontcg.io/ex3/13.png;;Dragon
14;Rare;;Draco;Dragonair;Pokémon;Colorless;148;Aya Kusube;;;https://images.pokemontcg.io/ex3/14.png;;Dragon
15;Rare;;Libégon;Flygon;Pokémon;Colorless;330;Hajime Kusajima;;;https://images.pokemontcg.io/ex3/15.png;;Dragon
16;Rare;;Girafarig;Girafarig;Pokémon;Psychic;203;Midori Harada;;;https://images.pokemontcg.io/ex3/16.png;;Dragon
17;Rare;;Magneton;Magneton;Pokémon;Lightning;82;Midori Harada;;;https://images.pokemontcg.io/ex3/17.png;;Dragon
18;Rare;;Ninjask;Ninjask;Pokémon;Grass;291;Hajime Kusajima;;;https://images.pokemontcg.io/ex3/18.png;;Dragon
19;Rare;;Drattak;Salamence;Pokémon;Colorless;373;Kouki Saitou;;;https://images.pokemontcg.io/ex3/19.png;;Dragon
20;Rare;;Drakhaus;Shelgon;Pokémon;Colorless;372;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex3/20.png;;Dragon
21;Rare;;Airmure;Skarmory;Pokémon;Metal;227;Hisao Nakamura;;;https://images.pokemontcg.io/ex3/21.png;;Dragon
22;Rare;;Vibraninf;Vibrava;Pokémon;Colorless;329;Kagemaru Himeno;;;https://images.pokemontcg.io/ex3/22.png;;Dragon
23;Uncommon;;Draby;Bagon;Pokémon;Colorless;371;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex3/23.png;;Dragon
24;Uncommon;;Camerupt;Camerupt;Pokémon;Fire;323;Naoyo Kimura;;;https://images.pokemontcg.io/ex3/24.png;;Dragon
