number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Brasegali;Blaziken;Pokémon;Fire;257;Midori Harada;;;https://images.pokemontcg.io/ex9/1.png;;Emerald
2;Rare Holo;;Deoxys;Deoxys;Pokémon;Psychic;386;Hironobu Yoshida;;;https://images.pokemontcg.io/ex9/2.png;;Emerald
3;Rare Holo;;Brouhabam;Exploud;Pokémon;Colorless;295;Hajime Kusajima;;;https://images.pokemontcg.io/ex9/3.png;;Emerald
4;Rare Holo;;Gardevoir;Gardevoir;Pokémon;Psychic;282;Kagemaru Himeno;;;https://images.pokemontcg.io/ex9/4.png;;Emerald
5;Rare Holo;;Groudon;Groudon;Pokémon;Fighting;383;Kouki Saitou;;;https://images.pokemontcg.io/ex9/5.png;;Emerald
6;Rare Holo;;Kyogre;Kyogre;Pokémon;Water;382;Masakazu Fukuda;;;https://images.pokemontcg.io/ex9/6.png;;Emerald
7;Rare Holo;;Elecsprint;Manectric;Pokémon;Lightning;310;Masakazu Fukuda;;;https://images.pokemontcg.io/ex9/7.png;;Emerald
8;Rare Holo;;Milobellus;Milotic;Pokémon;Water;350;Kagemaru Himeno;;;https://images.pokemontcg.io/ex9/8.png;;Emerald
9;Rare Holo;;Rayquaza;Rayquaza;Pokémon;Colorless;384;Kouki Saitou;;;https://images.pokemontcg.io/ex9/9.png;;Emerald
10;Rare Holo;;Jungko;Sceptile;Pokémon;Grass;254;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex9/10.png;;Emerald
11;Rare Holo;;Laggron;Swampert;Pokémon;Water;260;Atsuko Nishida;;;https://images.pokemontcg.io/ex9/11.png;;Emerald
12;Rare;;Eoko;Chimecho;Pokémon;Psychic;358;Kagemaru Himeno;;;https://images.pokemontcg.io/ex9/12.png;;Emerald
13;Rare;;Oniglali;Glalie;Pokémon;Water;362;Atsuko Nishida;;;https://images.pokemontcg.io/ex9/13.png;;Emerald
14;Rare;;Groudon;Groudon;Pokémon;Fighting;383;Kouki Saitou;;;https://images.pokemontcg.io/ex9/14.png;;Emerald
15;Rare;;Kyogre;Kyogre;Pokémon;Water;382;Kouki Saitou;;;https://images.pokemontcg.io/ex9/15.png;;Emerald
16;Rare;;Elecsprint;Manectric;Pokémon;Lightning;310;Kagemaru Himeno;;;https://images.pokemontcg.io/ex9/16.png;;Emerald
17;Rare;;Tarinor;Nosepass;Pokémon;Fighting;299;Kouki Saitou;;;https://images.pokemontcg.io/ex9/17.png;;Emerald
18;Rare;;Relicanth;Relicanth;Pokémon;Water;369;Atsuko Nishida;;;https://images.pokemontcg.io/ex9/18.png;;Emerald
19;Rare;;Rhinoféros;Rhydon;Pokémon;Fighting;112;Kouki Saitou;;;https://images.pokemontcg.io/ex9/19.png;;Emerald
20;Rare;;Seviper;Seviper;Pokémon;Grass;336;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex9/20.png;;Emerald
21;Rare;;Mangriff;Zangoose;Pokémon;Colorless;335;Midori Harada;;;https://images.pokemontcg.io/ex9/21.png;;Emerald
