number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Azumarill;Azumarill;Pokémon;Water;184;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex7/1.png;;Team Rocket Returns
2;Rare Holo;;Pharamp Obscur;Dark Ampharos;Pokémon;Lightning;181;Emi Miwa;;;https://images.pokemontcg.io/ex7/2.png;;Team Rocket Returns
3;Rare Holo;;Nostenfer Obscur;Dark Crobat;Pokémon;Grass;169;Kyoko Koizumi;;;https://images.pokemontcg.io/ex7/3.png;;Team Rocket Returns
4;Rare Holo;;Électrode Obscur;Dark Electrode;Pokémon;Lightning;101;Kouki Saitou;;;https://images.pokemontcg.io/ex7/4.png;;Team Rocket Returns
5;Rare Holo;;Demolosse Obscur;Dark Houndoom;Pokémon;Fire;229;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex7/5.png;;Team Rocket Returns
6;Rare Holo;;Hypnomade Obscur;Dark Hypno;Pokémon;Psychic;97;Kouki Saitou;;;https://images.pokemontcg.io/ex7/6.png;;Team Rocket Returns
7;Rare Holo;;Ossatueur Obscur;Dark Marowak;Pokémon;Fighting;105;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex7/7.png;;Team Rocket Returns
8;Rare Holo;;Octillery Obscur;Dark Octillery;Pokémon;Darkness;224;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex7/8.png;;Team Rocket Returns
9;Rare Holo;;Roigada Obscur;Dark Slowking;Pokémon;Psychic;199;Kouki Saitou;;;https://images.pokemontcg.io/ex7/9.png;;Team Rocket Returns
10;Rare Holo;;Steelix Obscur;Dark Steelix;Pokémon;Metal;208;Kyoko Koizumi;;;https://images.pokemontcg.io/ex7/10.png;;Team Rocket Returns
11;Rare Holo;;Cotovol;Jumpluff;Pokémon;Grass;189;Kyoko Umemoto;;;https://images.pokemontcg.io/ex7/11.png;;Team Rocket Returns
12;Rare Holo;;Hyporoi;Kingdra;Pokémon;Water;230;Kagemaru Himeno;;;https://images.pokemontcg.io/ex7/12.png;;Team Rocket Returns
13;Rare Holo;;Cochignon;Piloswine;Pokémon;Fighting;221;Tomokazu Komiya;;;https://images.pokemontcg.io/ex7/13.png;;Team Rocket Returns
14;Rare Holo;;Togetic;Togetic;Pokémon;Colorless;176;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex7/14.png;;Team Rocket Returns
15;Rare;;Dracolosse Obscur;Dark Dragonite;Pokémon;Darkness;149;Nakaoka;;;https://images.pokemontcg.io/ex7/15.png;;Team Rocket Returns
16;Rare;;Grotadmorv Obscur;Dark Muk;Pokémon;Grass;89;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex7/16.png;;Team Rocket Returns
17;Rare;;Rattatac Obscur;Dark Raticate;Pokémon;Darkness;20;Kouki Saitou;;;https://images.pokemontcg.io/ex7/17.png;;Team Rocket Returns
18;Rare;;Sablaireau Obscur;Dark Sandslash;Pokémon;Fighting;28;Masakazu Fukuda;;;https://images.pokemontcg.io/ex7/18.png;;Team Rocket Returns
19;Rare;;Tyranocif Obscur;Dark Tyranitar;Pokémon;Darkness;248;Nakaoka;;;https://images.pokemontcg.io/ex7/19.png;;Team Rocket Returns
20;Rare;;Tyranocif Obscur;Dark Tyranitar;Pokémon;Fighting;248;Kyoko Koizumi;;;https://images.pokemontcg.io/ex7/20.png;;Team Rocket Returns
21;Rare;;Cadoizo;Delibird;Pokémon;Water;225;Yuka Morii;;;https://images.pokemontcg.io/ex7/21.png;;Team Rocket Returns
22;Rare;;Fouinar;Furret;Pokémon;Colorless;162;Yuka Morii;;;https://images.pokemontcg.io/ex7/22.png;;Team Rocket Returns
23;Rare;;Coxyclaque;Ledian;Pokémon;Grass;166;Kagemaru Himeno;;;https://images.pokemontcg.io/ex7/23.png;;Team Rocket Returns
24;Rare;;Magby;Magby;Pokémon;Fire;240;Yukiko Baba;;;https://images.pokemontcg.io/ex7/24.png;;Team Rocket Returns
25;Rare;;Feuforeve;Misdreavus;Pokémon;Psychic;200;Aya Kusube;;;https://images.pokemontcg.io/ex7/25.png;;Team Rocket Returns
26;Rare;;Maraiste;Quagsire;Pokémon;Water;195;Miki Tanaka;;;https://images.pokemontcg.io/ex7/26.png;;Team Rocket Returns
27;Rare;;Qwilfish;Qwilfish;Pokémon;Water;211;Aya Kusube;;;https://images.pokemontcg.io/ex7/27.png;;Team Rocket Returns
28;Rare;;Yanma;Yanma;Pokémon;Grass;193;Tomokazu Komiya;;;https://images.pokemontcg.io/ex7/28.png;;Team Rocket Returns
29;Uncommon;;Arbok Obscur;Dark Arbok;Pokémon;Grass;24;Nakaoka;;;https://images.pokemontcg.io/ex7/29.png;;Team Rocket Returns
30;Uncommon;;Migalos Obscur;Dark Ariados;Pokémon;Grass;168;Kyoko Koizumi;;;https://images.pokemontcg.io/ex7/30.png;;Team Rocket Returns
31;Uncommon;;Draco Obscur;Dark Dragonair;Pokémon;Darkness;148;Emi Miwa;;;https://images.pokemontcg.io/ex7/31.png;;Team Rocket Returns
32;Uncommon;;Draco Obscur;Dark Dragonair;Pokémon;Darkness;148;Tomoaki Imakuni;;;https://images.pokemontcg.io/ex7/32.png;;Team Rocket Returns
33;Uncommon;;Lainergie Obscur;Dark Flaaffy;Pokémon;Lightning;180;Masakazu Fukuda;;;https://images.pokemontcg.io/ex7/33.png;;Team Rocket Returns
34;Uncommon;;Nosféralto Obscur;Dark Golbat;Pokémon;Grass;42;Masakazu Fukuda;;;https://images.pokemontcg.io/ex7/34.png;;Team Rocket Returns
35;Uncommon;;Akwakwak Obscur;Dark Golduck;Pokémon;Water;55;Nakaoka;;;https://images.pokemontcg.io/ex7/35.png;;Team Rocket Returns
36;Uncommon;;Léviator Obscur;Dark Gyarados;Pokémon;Water;130;Nakaoka;;;https://images.pokemontcg.io/ex7/36.png;;Team Rocket Returns
37;Uncommon;;Demolosse Obscur;Dark Houndoom;Pokémon;Fire;229;Nakaoka;;;https://images.pokemontcg.io/ex7/37.png;;Team Rocket Returns
38;Uncommon;;Volcaropod Obscur;Dark Magcargo;Pokémon;Fire;219;Nakaoka;;;https://images.pokemontcg.io/ex7/38.png;;Team Rocket Returns
39;Uncommon;;Magneton Obscur;Dark Magneton;Pokémon;Lightning;82;Emi Miwa;;;https://images.pokemontcg.io/ex7/39.png;;Team Rocket Returns
40;Uncommon;;Ymphect Obscur;Dark Pupitar;Pokémon;Fighting;247;Tomoaki Imakuni;;;https://images.pokemontcg.io/ex7/40.png;;Team Rocket Returns
41;Uncommon;;Ymphect Obscur;Dark Pupitar;Pokémon;Fighting;247;Emi Miwa;;;https://images.pokemontcg.io/ex7/41.png;;Team Rocket Returns
42;Uncommon;;Smogogo Obscur;Dark Weezing;Pokémon;Grass;110;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex7/42.png;;Team Rocket Returns
43;Uncommon;;Scarhino;Heracross;Pokémon;Fighting;214;Tomokazu Komiya;;;https://images.pokemontcg.io/ex7/43.png;;Team Rocket Returns
44;Uncommon;;Magmar;Magmar;Pokémon;Fire;126;Yukiko Baba;;;https://images.pokemontcg.io/ex7/44.png;;Team Rocket Returns
45;Uncommon;;Demanta;Mantine;Pokémon;Water;226;Miki Tanaka;;;https://images.pokemontcg.io/ex7/45.png;;Team Rocket Returns
46;Uncommon;;Rocket's Meowth;Rocket's Meowth;Pokémon;Darkness;52;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex7/46.png;;Team Rocket Returns
47;Uncommon;;Rocket's Wobbuffet;Rocket's Wobbuffet;Pokémon;Darkness;202;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex7/47.png;;Team Rocket Returns
48;Uncommon;;Hypocéan;Seadra;Pokémon;Water;117;Kagemaru Himeno;;;https://images.pokemontcg.io/ex7/48.png;;Team Rocket Returns
49;Uncommon;;Floravol;Skiploom;Pokémon;Grass;188;Kyoko Umemoto;;;https://images.pokemontcg.io/ex7/49.png;;Team Rocket Returns
50;Uncommon;;Togepi;Togepi;Pokémon;Colorless;175;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex7/50.png;;Team Rocket Returns
51;Common;;Osselait;Cubone;Pokémon;Fighting;104;Kouki Saitou;;;https://images.pokemontcg.io/ex7/51.png;;Team Rocket Returns
52;Common;;Minidraco;Dratini;Pokémon;Colorless;147;Sachiko Adachi;;;https://images.pokemontcg.io/ex7/52.png;;Team Rocket Returns
