number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Armaldo;Armaldo;Pokémon;Fighting;348;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex2/1.png;;Sandstorm
2;Rare Holo;;Cacturne;Cacturne;Pokémon;Grass;332;Atsuko Nishida;;;https://images.pokemontcg.io/ex2/2.png;;Sandstorm
3;Rare Holo;;Vacilys;Cradily;Pokémon;Grass;346;Midori Harada;;;https://images.pokemontcg.io/ex2/3.png;;Sandstorm
4;Rare Holo;;Teraclope;Dusclops;Pokémon;Psychic;356;Midori Harada;;;https://images.pokemontcg.io/ex2/4.png;;Sandstorm
5;Rare Holo;;Pyroli;Flareon;Pokémon;Fire;136;Midori Harada;;;https://images.pokemontcg.io/ex2/5.png;;Sandstorm
6;Rare Holo;;Voltali;Jolteon;Pokémon;Lightning;135;Atsuko Nishida;;;https://images.pokemontcg.io/ex2/6.png;;Sandstorm
7;Rare Holo;;Ludicolo;Ludicolo;Pokémon;Water;272;Tomokazu Komiya;;;https://images.pokemontcg.io/ex2/7.png;;Sandstorm
8;Rare Holo;;Séléroc;Lunatone;Pokémon;Psychic;337;Hajime Kusajima;;;https://images.pokemontcg.io/ex2/8.png;;Sandstorm
9;Rare Holo;;Mysdibule;Mawile;Pokémon;Metal;303;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex2/9.png;;Sandstorm
10;Rare Holo;;Ténéfix;Sableye;Pokémon;Darkness;302;Hajime Kusajima;;;https://images.pokemontcg.io/ex2/10.png;;Sandstorm
11;Rare Holo;;Seviper;Seviper;Pokémon;Grass;336;Hajime Kusajima;;;https://images.pokemontcg.io/ex2/11.png;;Sandstorm
12;Rare Holo;;Tengalice;Shiftry;Pokémon;Grass;275;Atsuko Nishida;;;https://images.pokemontcg.io/ex2/12.png;;Sandstorm
13;Rare Holo;;Solaroc;Solrock;Pokémon;Fighting;338;Hajime Kusajima;;;https://images.pokemontcg.io/ex2/13.png;;Sandstorm
14;Rare Holo;;Mangriff;Zangoose;Pokémon;Colorless;335;Kagemaru Himeno;;;https://images.pokemontcg.io/ex2/14.png;;Sandstorm
15;Rare;;Arcanin;Arcanine;Pokémon;Fire;59;Hajime Kusajima;;;https://images.pokemontcg.io/ex2/15.png;;Sandstorm
16;Rare;;Mentali;Espeon;Pokémon;Psychic;196;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex2/16.png;;Sandstorm
17;Rare;;Akwakwak;Golduck;Pokémon;Water;55;Hajime Kusajima;;;https://images.pokemontcg.io/ex2/17.png;;Sandstorm
18;Rare;;Kecleon;Kecleon;Pokémon;Colorless;352;Kagemaru Himeno;;;https://images.pokemontcg.io/ex2/18.png;;Sandstorm
19;Rare;;Amonistar;Omastar;Pokémon;Water;139;Kouki Saitou;;;https://images.pokemontcg.io/ex2/19.png;;Sandstorm
20;Rare;;Pichu;Pichu;Pokémon;Lightning;172;Naoyo Kimura;;;https://images.pokemontcg.io/ex2/20.png;;Sandstorm
21;Rare;;Sablaireau;Sandslash;Pokémon;Fighting;28;Kouki Saitou;;;https://images.pokemontcg.io/ex2/21.png;;Sandstorm
22;Rare;;Tengalice;Shiftry;Pokémon;Grass;275;Ken Sugimori;;;https://images.pokemontcg.io/ex2/22.png;;Sandstorm
23;Rare;;Steelix;Steelix;Pokémon;Metal;208;Midori Harada;;;https://images.pokemontcg.io/ex2/23.png;;Sandstorm
24;Rare;;Noctali;Umbreon;Pokémon;Darkness;197;Kagemaru Himeno;;;https://images.pokemontcg.io/ex2/24.png;;Sandstorm
25;Rare;;Aquali;Vaporeon;Pokémon;Water;134;Hajime Kusajima;;;https://images.pokemontcg.io/ex2/25.png;;Sandstorm
