number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;;Blaine's Moltres;Pokémon;Fire;146;Ken Sugimori;;;https://images.pokemontcg.io/gym1/1.png;;Gym Heroes
2;Rare Holo;;;Brock's Rhydon;Pokémon;Fighting;112;Ken Sugimori;;;https://images.pokemontcg.io/gym1/2.png;;Gym Heroes
3;Rare Holo;;;Erika's Clefable;Pokémon;Colorless;36;Atsuko Nishida;;;https://images.pokemontcg.io/gym1/3.png;;Gym Heroes
4;Rare Holo;;;Erika's Dragonair;Pokémon;Colorless;148;Atsuko Nishida;;;https://images.pokemontcg.io/gym1/4.png;;Gym Heroes
5;Rare Holo;;;Erika's Vileplume;Pokémon;Grass;45;Ken Sugimori;;;https://images.pokemontcg.io/gym1/5.png;;Gym Heroes
6;Rare Holo;;;Lt. Surge's Electabuzz;Pokémon;Lightning;125;Ken Sugimori;;;https://images.pokemontcg.io/gym1/6.png;;Gym Heroes
7;Rare Holo;;;Lt. Surge's Fearow;Pokémon;Colorless;22;Ken Sugimori;;;https://images.pokemontcg.io/gym1/7.png;;Gym Heroes
8;Rare Holo;;;Lt. Surge's Magneton;Pokémon;Lightning;82;Ken Sugimori;;;https://images.pokemontcg.io/gym1/8.png;;Gym Heroes
9;Rare Holo;;;Misty's Seadra;Pokémon;Water;117;Atsuko Nishida;;;https://images.pokemontcg.io/gym1/9.png;;Gym Heroes
10;Rare Holo;;;Misty's Tentacruel;Pokémon;Water;73;Ken Sugimori;;;https://images.pokemontcg.io/gym1/10.png;;Gym Heroes
11;Rare Holo;;;Rocket's Hitmonchan;Pokémon;Fighting;107;Ken Sugimori;;;https://images.pokemontcg.io/gym1/11.png;;Gym Heroes
12;Rare Holo;;;Rocket's Moltres;Pokémon;Fire;146;Ken Sugimori;;;https://images.pokemontcg.io/gym1/12.png;;Gym Heroes
13;Rare Holo;;;Rocket's Scyther;Pokémon;Grass;123;Ken Sugimori;;;https://images.pokemontcg.io/gym1/13.png;;Gym Heroes
14;Rare Holo;;;Sabrina's Gengar;Pokémon;Psychic;94;Ken Sugimori;;;https://images.pokemontcg.io/gym1/14.png;;Gym Heroes
