number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
HGSS01;;;Ho-Oh;Ho-Oh;Pokémon;Fire;250;Takashi Yamaguchi;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/298124.jpg;;HeartGold & SoulSilver Promos
HGSS02;;;Lugia;Lugia;Pokémon;Water;249;Takashi Yamaguchi;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/298127.jpg;;HeartGold & SoulSilver Promos
HGSS03;;;Pikachu;Pikachu;Pokémon;Lightning;25;Kanako Eo;;;https://res.cloudinary.com/dkhwpritu/image/upload/a_359/v1546967012/298129.jpg;;HeartGold & SoulSilver Promos
HGSS04;;;Qulbutoke;Wobbuffet;Pokémon;Psychic;202;match;https://www.coleka.com/media/item/20160521/pokemon-serie-hs-cartes-promo-qulbutoke-hgss04.jpg;;https://res.cloudinary.com/dkhwpritu/image/upload/v1546967496/296562.jpg;;HeartGold & SoulSilver Promos
HGSS05;;;Hoothoot;Hoothoot;Pokémon;Colorless;163;Masakazu Fukuda;https://www.coleka.com/media/item/20160521/pokemon-serie-hs-cartes-promo-hoothoot-hgss05.jpg;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/298125.jpg;;HeartGold & SoulSilver Promos
HGSS06;;;Noarfang;Noctowl;Pokémon;Colorless;164;Masakazu Fukuda;;;https://res.cloudinary.com/dkhwpritu/image/upload/v1546967610/295826.jpg;;HeartGold & SoulSilver Promos
HGSS07;Ultra;Prime;Aligatueur;Feraligatr;Pokémon;Water;160;Kent Kanetsuna;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/292055.jpg;;HeartGold & SoulSilver Promos
HGSS08;Ultra;Prime;Méganium;Meganium;Pokémon;Grass;154;Noriko Hotta;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/292057.jpg;;HeartGold & SoulSilver Promos
HGSS09;Ultra;Prime;Typhlosion;Typhlosion;Pokémon;Fire;157;Wataru Kawahara;;;http://940ee6dce6677fa01d25-0f55c9129972ac85d6b1f4e703468e6b.r99.cf2.rackcdn.com/products/pictures/292056.jpg;;HeartGold & SoulSilver Promos
HGSS10;;;Latias;Latias;Pokémon;Colorless;380;Wataru Kawahara;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1047297.jpg;;HeartGold & SoulSilver Promos
HGSS11;;;Latios;Latios;Pokémon;Colorless;381;Wataru Kawahara;;;https://images-na.ssl-images-amazon.com/images/I/51ylO2j-gXL.jpg;;HeartGold & SoulSilver Promos
HGSS12;;;Mélo;Cleffa;Pokémon;Colorless;173;Masakazu Fukuda;;;https://res.cloudinary.com/dkhwpritu/image/upload/v1546968067/302009.jpg;;HeartGold & SoulSilver Promos
HGSS13;;;Lippouti;Smoochum;Pokémon;Psychic;238;Midori Harada;;;https://res.cloudinary.com/dkhwpritu/image/upload/v1546968173/302010.jpg;;HeartGold & SoulSilver Promos
HGSS14;;;Lokhlass;Lapras;Pokémon;Water;131;Masakazu Fukuda;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/314359.jpg;;HeartGold & SoulSilver Promos
HGSS15;;;Caratroc;Shuckle;Pokémon;Fighting;213;match;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/313758.jpg;;HeartGold & SoulSilver Promos
HGSS16;;;Posipi;Plusle;Pokémon;Lightning;311;Kouki Saitou;;;https://res.cloudinary.com/dkhwpritu/image/upload/v1546968365/302011.jpg;;HeartGold & SoulSilver Promos
HGSS17;;;Negapi;Minun;Pokémon;Lightning;312;Kouki Saitou;;;https://res.cloudinary.com/dkhwpritu/image/upload/v1546968559/302012.jpg;;HeartGold & SoulSilver Promos
HGSS18;;;Raz-de-marée tropical;Tropical Tidal Wave;Trainer;NoColor;;Sumiyoshi Kizuki;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1028930.jpg;;HeartGold & SoulSilver Promos
HGSS19;Ultra;SL;Raikou;Raikou;Pokémon;Lightning;243;Noriko Hotta;;;https://images-na.ssl-images-amazon.com/images/I/51KUHE0NRuL.jpg;;HeartGold & SoulSilver Promos
HGSS20;Ultra;SL;Entei;Entei;Pokémon;Fire;244;Yuri Umemura;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/300534.jpg;;HeartGold & SoulSilver Promos
HGSS21;Ultra;SL;Suicune;Suicune;Pokémon;Water;245;Hideaki Hakozaki;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/300536.jpg;;HeartGold & SoulSilver Promos
HGSS22;;;Porygon;Porygon;Pokémon;Colorless;137;TOKIYA;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/303614.jpg;;HeartGold & SoulSilver Promos
HGSS23;;;Porygon2;Porygon2;Pokémon;Colorless;138;TOKIYA;;;https://res.cloudinary.com/dkhwpritu/image/upload/v1546968999/303615.jpg;;HeartGold & SoulSilver Promos
