number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Galeking;Aggron;Pokémon;Metal;306;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_1.png;;https://images.pokemontcg.io/hgss4/1.png;;HS—Triumphant
2;Rare Holo;;Altaria;Altaria;Pokémon;Colorless;334;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_2.png;;https://images.pokemontcg.io/hgss4/2.png;;HS—Triumphant
3;Rare Holo;;Celebi;Celebi;Pokémon;Psychic;251;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_3.png;;https://images.pokemontcg.io/hgss4/3.png;;HS—Triumphant
4;Rare Holo;;Drascore;Drapion;Pokémon;Darkness;452;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_4.png;;https://images.pokemontcg.io/hgss4/4.png;;HS—Triumphant
5;Rare Holo;;Mammochon;Mamoswine;Pokémon;Water;473;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_5.png;;https://images.pokemontcg.io/hgss4/5.png;;HS—Triumphant
6;Rare Holo;;Nidoking;Nidoking;Pokémon;Fighting;34;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_6.png;;https://images.pokemontcg.io/hgss4/6.png;;HS—Triumphant
7;Rare Holo;;Porygon-Z;Porygon-Z;Pokémon;Colorless;474;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_7.png;;https://images.pokemontcg.io/hgss4/7.png;;HS—Triumphant
8;Rare Holo;;Galopa;Rapidash;Pokémon;Fire;78;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_8.png;;https://images.pokemontcg.io/hgss4/8.png;;HS—Triumphant
9;Rare Holo;;Solaroc;Solrock;Pokémon;Fighting;338;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_9.png;;https://images.pokemontcg.io/hgss4/9.png;;HS—Triumphant
10;Rare Holo;;Spiritomb;Spiritomb;Pokémon;Psychic;442;Shizurow;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_10.png;;https://images.pokemontcg.io/hgss4/10.png;;HS—Triumphant
11;Rare Holo;;Aéromite;Venomoth;Pokémon;Grass;49;Hideaki Hakozaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_11.png;;https://images.pokemontcg.io/hgss4/11.png;;HS—Triumphant
12;Rare Holo;;Empiflor;Victreebel;Pokémon;Grass;71;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_12.png;;https://images.pokemontcg.io/hgss4/12.png;;HS—Triumphant
13;Rare;;Capidextre;Ambipom;Pokémon;Colorless;424;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_13.png;;https://images.pokemontcg.io/hgss4/13.png;;HS—Triumphant
14;Rare;;Branette;Banette;Pokémon;Psychic;354;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_14.png;;https://images.pokemontcg.io/hgss4/14.png;;HS—Triumphant
15;Rare;;Archeodong;Bronzong;Pokémon;Metal;437;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_15.png;;https://images.pokemontcg.io/hgss4/15.png;;HS—Triumphant
16;Rare;;Vortente;Carnivine;Pokémon;Grass;455;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_16.png;;https://images.pokemontcg.io/hgss4/16.png;;HS—Triumphant
17;Rare;;Métamorph;Ditto;Pokémon;Colorless;132;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_17.png;;https://images.pokemontcg.io/hgss4/17.png;;HS—Triumphant
18;Rare;;Dracolosse;Dragonite;Pokémon;Colorless;149;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_18.png;;https://images.pokemontcg.io/hgss4/18.png;;HS—Triumphant
19;Rare;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Shizurow;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_19.png;;https://images.pokemontcg.io/hgss4/19.png;;HS—Triumphant
20;Rare;;Elekable;Electivire;Pokémon;Lightning;466;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_20.png;;https://images.pokemontcg.io/hgss4/20.png;;HS—Triumphant
21;Rare;;Elekid;Elekid;Pokémon;Lightning;239;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_21.png;;https://images.pokemontcg.io/hgss4/21.png;;HS—Triumphant
22;Rare;;Akwakwak;Golduck;Pokémon;Water;55;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_22.png;;https://images.pokemontcg.io/hgss4/22.png;;HS—Triumphant
23;Rare;;Groret;Grumpig;Pokémon;Psychic;326;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_23.png;;https://images.pokemontcg.io/hgss4/23.png;;HS—Triumphant
24;Rare;;Melokrik;Kricketune;Pokémon;Grass;402;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_24.png;;https://images.pokemontcg.io/hgss4/24.png;;HS—Triumphant
25;Rare;;Séléroc;Lunatone;Pokémon;Fighting;337;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_25.png;;https://images.pokemontcg.io/hgss4/25.png;;HS—Triumphant
26;Rare;;Mackogneur;Machamp;Pokémon;Fighting;68;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_26.png;;https://images.pokemontcg.io/hgss4/26.png;;HS—Triumphant
27;Rare;;Maganon;Magmortar;Pokémon;Fire;467;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_27.png;;https://images.pokemontcg.io/hgss4/27.png;;HS—Triumphant
28;Rare;;Nidoqueen;Nidoqueen;Pokémon;Psychic;31;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_28.png;;https://images.pokemontcg.io/hgss4/28.png;;HS—Triumphant
29;Rare;;Roucarnage;Pidgeot;Pokémon;Colorless;18;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_29.png;;https://images.pokemontcg.io/hgss4/29.png;;HS—Triumphant
30;Rare;;Sharpedo;Sharpedo;Pokémon;Darkness;319;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS4/HGSS4_FR_30.png;;https://images.pokemontcg.io/hgss4/30.png;;HS—Triumphant
