number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Jirachi;Jirachi;Pokémon;Psychic;385;Wataru Kawahara;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_1.png;;https://images.pokemontcg.io/hgss2/1.png;;HS—Unleashed
2;Rare Holo;;Maganon;Magmortar;Pokémon;Fire;467;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_2.png;;https://images.pokemontcg.io/hgss2/2.png;;HS—Unleashed
3;Rare Holo;;Manaphy;Manaphy;Pokémon;Water;490;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_3.png;;https://images.pokemontcg.io/hgss2/3.png;;HS—Unleashed
4;Rare Holo;;Metalosse;Metagross;Pokémon;Psychic;376;Wataru Kawahara;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_4.png;;https://images.pokemontcg.io/hgss2/4.png;;HS—Unleashed
5;Rare Holo;;Magirêve;Mismagius;Pokémon;Psychic;429;Hideaki Hakozaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_5.png;;https://images.pokemontcg.io/hgss2/5.png;;HS—Unleashed
6;Rare Holo;;Octillery;Octillery;Pokémon;Water;224;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_6.png;;https://images.pokemontcg.io/hgss2/6.png;;HS—Unleashed
7;Rare Holo;;Tarpaud;Politoed;Pokémon;Water;186;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_7.png;;https://images.pokemontcg.io/hgss2/7.png;;HS—Unleashed
8;Rare Holo;;Shaymin;Shaymin;Pokémon;Grass;492;Hideaki Hakozaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_8.png;;https://images.pokemontcg.io/hgss2/8.png;;HS—Unleashed
9;Rare Holo;;Simularbre;Sudowoodo;Pokémon;Fighting;185;Sachiko Adachi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_9.png;;https://images.pokemontcg.io/hgss2/9.png;;HS—Unleashed
10;Rare Holo;;Torterra;Torterra;Pokémon;Grass;389;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_10.png;;https://images.pokemontcg.io/hgss2/10.png;;HS—Unleashed
11;Rare Holo;;Xatu;Xatu;Pokémon;Psychic;178;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/HGSS2/HGSS2_FR_11.png;;https://images.pokemontcg.io/hgss2/11.png;;HS—Unleashed
