rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy_type;pokedex_number;artist;jap_url;list_code
1;Uncommon;;Papilusion;Butterfree;Pokémon;Grass;12;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168708.jpg;base2
2;Common;;Nidoran F;Nidoran♀;Pokémon;Grass;29;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149237.jpg;base2
3;Uncommon;;Nidorina;Nidorina;Pokémon;Grass;30;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149238.jpg;base2
4;Rare Holo;;Nidoqueen;Nidoqueen;Pokémon;Grass;31;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104971.jpg;base2
5;Common;;Mystherbe;Oddish;Pokémon;Grass;43;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149239.jpg;base2
6;Uncommon;;Ortide;Gloom;Pokémon;Grass;44;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149209.jpg;base2
7;Rare Holo;;Rafflésia;Vileplume;Pokémon;Grass;45;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073885.jpg;base2
8;Common;;Paras;Paras;Pokémon;Grass;46;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149241.jpg;base2
9;Uncommon;;Parasect;Parasect;Pokémon;Grass;47;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149242.jpg;base2
10;Common;;Mimitoss;Venonat;Pokémon;Grass;48;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149270.jpg;base2
