rank;energy_type;rarety_type;ultra_type;fr_name;en_name;super_type;pokedex_number;artist;jap_url;list
1;Grass;Common;;Abo;Ekans;Pokémon;23;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168191.jpg;base3
2;Grass;Uncommon;;Arbok;Arbok;Pokémon;24;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168189.jpg;base3
3;Grass;Common;;Nosférapti;Zubat;Pokémon;41;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168216.jpg;base3
4;Grass;Uncommon;;Nosféralto;Golbat;Pokémon;42;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168195.jpg;base3
5;Grass;Common;;Tadmorv;Grimer;Pokémon;88;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168199.jpg;base3
6;Grass;Rare Holo;;Grotadmorv;Muk;Pokémon;89;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073879.jpg;base3
7;Grass;Uncommon;;Smogogo;Weezing;Pokémon;110;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168215.jpg;base3
8;Fire;Uncommon;;Magmar;Magmar;Pokémon;126;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168202.jpg;base3
9;Fire;Rare Holo;;Sulfura;Moltres;Pokémon;146;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095437.jpg;base3
10;Water;Common;;Psykokwak;Psyduck;Pokémon;54;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168207.jpg;base3
