rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy_type;pokedex_number;artist;jap_url
1;Uncommon;;;Erika's Bulbasaur;Pokémon;Grass;1;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168314.jpg
2;Common;;;Brock's Zubat;Pokémon;Grass;41;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168294.jpg
3;Uncommon;;;Brock's Golbat;Pokémon;Grass;42;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168271.jpg
4;Common;;;Erika's Oddish;Pokémon;Grass;43;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168330.jpg
5;Common;;;Erika's Oddish;Pokémon;Grass;43;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168331.jpg
6;Uncommon;;;Erika's Gloom;Pokémon;Grass;44;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168324.jpg
7;Rare Holo;;;Erika's Vileplume;Pokémon;Grass;45;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168341.jpg
8;Common;;;Erika's Paras;Pokémon;Grass;46;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168334.jpg
9;Common;;;Erika's Bellsprout;Pokémon;Grass;69;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168313.jpg
10;Uncommon;;;Erika's Bellsprout;Pokémon;Grass;69;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168311.jpg
11;Uncommon;;;Erika's Weepinbell;Pokémon;Grass;70;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168342.jpg
12;Rare;;;Erika's Victreebel;Pokémon;Grass;71;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168340.jpg
13;Uncommon;;;Erika's Exeggcute;Pokémon;Grass;102;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168319.jpg
14;Uncommon;;;Erika's Exeggutor;Pokémon;Grass;103;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168321.jpg
15;Common;;;Erika's Tangela;Pokémon;Grass;114;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168337.jpg
16;Rare Holo;;;Rocket's Scyther;Pokémon;Grass;123;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093931.jpg
17;Common;;;Brock's Vulpix;Pokémon;Fire;37;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168290.jpg
18;Uncommon;;;Brock's Vulpix;Pokémon;Fire;37;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168291.jpg
19;Rare Holo;;;Brock's Ninetales;Pokémon;Fire;38;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073803.jpg
20;Rare Holo;;;Rocket's Moltres;Pokémon;Fire;146;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073791.jpg
21;Common;;;Lt. Surge's Pikachu;Pokémon;Lightning;25;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168422.jpg
22;Uncommon;;;Lt. Surge's Magnemite;Pokémon;Lightning;81;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168416.jpg
23;Common;;;Lt. Surge's Magnemite;Pokémon;Lightning;81;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168419.jpg
24;Rare Holo;;;Lt. Surge's Magneton;Pokémon;Lightning;82;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104965.jpg
25;Common;;;Lt. Surge's Voltorb;Pokémon;Lightning;100;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168435.jpg
26;Rare Holo;;;Lt. Surge's Electabuzz;Pokémon;Lightning;125;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073793.jpg
27;Rare;;;Lt. Surge's Jolteon;Pokémon;Lightning;135;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073867.jpg
28;Common;;;Misty's Psyduck;Pokémon;Water;54;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168459.jpg
29;Rare Holo;;;Misty's Golduck;Pokémon;Water;55;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073813.jpg
30;Common;;;Misty's Poliwag;Pokémon;Water;60;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168454.jpg
31;Uncommon;;;Misty's Poliwhirl;Pokémon;Water;61;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168456.jpg
32;Uncommon;;;Misty's Tentacool;Pokémon;Water;72;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168471.jpg
