rank;rarety_type;fr_name;en_name;super_type;energy_type;pokedex_number;artist;jap_url
1;Uncommon;;Erika's Ivysaur;Pokémon;Grass;2;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168325.jpg
2;Rare Holo;;Erika's Venusaur;Pokémon;Grass;3;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093938.jpg
3;Common;;Koga's Weedle;Pokémon;Grass;13;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149224.jpg
4;Uncommon;;Koga's Kakuna;Pokémon;Grass;14;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168391.jpg
5;Rare Holo;;Koga's Beedrill;Pokémon;Grass;15;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073790.jpg
6;Common;;Koga's Ekans;Pokémon;Grass;23;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168385.jpg
7;Rare;;Koga's Arbok;Pokémon;Grass;24;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168381.jpg
8;Common;;Giovanni's Nidoran♀;Pokémon;Grass;29;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168366.jpg
9;Uncommon;;Giovanni's Nidorina;Pokémon;Grass;30;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149207.jpg
10;Rare;;Giovanni's Nidoqueen;Pokémon;Grass;31;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168364.jpg
11;Common;;Giovanni's Nidoran♂;Pokémon;Grass;32;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168368.jpg
12;Uncommon;;Giovanni's Nidorino;Pokémon;Grass;33;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168371.jpg
13;Rare Holo;;Giovanni's Nidoking;Pokémon;Grass;34;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073797.jpg
14;Common;;Koga's Zubat;Pokémon;Grass;41;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168411.jpg
15;Uncommon;;Koga's Golbat;Pokémon;Grass;42;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168387.jpg
16;Common;;Sabrina's Venonat;Pokémon;Grass;48;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149258.jpg
17;Rare;;Sabrina's Venomoth;Pokémon;Grass;49;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168542.jpg
18;Common;;Koga's Grimer;Pokémon;Grass;88;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168389.jpg
19;Rare;;Koga's Muk;Pokémon;Grass;89;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168396.jpg
20;Uncommon;;Koga's Koffing;Pokémon;Grass;109;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149223.jpg
21;Common;;Koga's Koffing;Pokémon;Grass;109;Ken Sugimori;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/7ee0ed007d3811e78c40ad86bec4252f/Ko's%20koffing%20109%20HP40%20common.jpg
22;Uncommon;;Koga's Weezing;Pokémon;Grass;110;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168409.jpg
23;Common;;Koga's Tangela;Pokémon;Grass;114;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168406.jpg
24;Rare;;Giovanni's Pinsir;Pokémon;Grass;127;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149208.jpg
25;Common;;Blaine's Charmander;Pokémon;Fire;4;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168223.jpg
26;Uncommon;;Blaine's Charmeleon;Pokémon;Fire;5;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168226.jpg
27;Rare Holo;;Blaine's Charizard;Pokémon;Fire;6;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1090721.jpg
28;Common;;Blaine's Vulpix;Pokémon;Fire;37;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168262.jpg
29;Rare;;Blaine's Ninetales;Pokémon;Fire;38;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168248.jpg
30;Common;;Blaine's Growlithe;Pokémon;Fire;58;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168234.jpg
31;Rare Holo;;Blaine's Arcanine;Pokémon;Fire;59;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073806.jpg
32;Common;;Blaine's Ponyta;Pokémon;Fire;77;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149245.jpg
33;Uncommon;;Blaine's Rapidash;Pokémon;Fire;78;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168255.jpg
