number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
182;Secret;Rainbow;Celebi et Florizarre-GX;Celebi & Venusaur-GX;Pokémon;Grass;3;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_182.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
183;Secret;Rainbow;Magicarpe et Wailord-GX;Magikarp & Wailord-GX;Pokémon;Water;129;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_183.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
184;Secret;Rainbow;Pikachu et Zekrom-GX;Pikachu & Zekrom-GX;Pokémon;Lightning;25;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_184.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
185;Secret;Rainbow;Pharamp-GX;Ampharos-GX;Pokémon;Lightning;181;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_185.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
186;Secret;Rainbow;Ectoplasma et Mimiqui-GX;Gengar & Mimikyu-GX;Pokémon;Psychic;94;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_186.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
187;Secret;Rainbow;Hoopa-GX;Hoopa-GX;Pokémon;Darkness;720;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_187.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
188;Secret;Rainbow;Félinferno-GX;Incineroar-GX;Pokémon;Darkness;727;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_188.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
189;Secret;Rainbow;Cobaltium-GX;Cobalion-GX;Pokémon;Metal;638;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_189.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
190;Secret;Rainbow;Latias et Latios-GX;Latias & Latios-GX;Pokémon;Dragon;380;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_190.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
191;Secret;Rainbow;Évoli et Ronflex-GX;Eevee & Snorlax-GX;Pokémon;Colorless;133;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_191.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
192;Secret;;Perceuse Dangereuse;Dangerous Drill;Trainer;NoColor;;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_192.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
193;Secret;;Électrochargeur;Electrocharger;Trainer;NoColor;;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_193.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
194;Secret;;Sifflet de Juge;Judge Whistle;Trainer;NoColor;;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_194.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
195;Secret;;Masque Métal;Metal Goggles;Trainer;NoColor;;Yoshinobu Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_195.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
196;Secret;;Communication Pokémon;Pokémon Communication;Trainer;NoColor;;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM9/SM9_FR_196.png;;"https://images.pokemontcg.io/smp/SM156.png;;SM";;Team Up
;;;;;;;;;;;;;Team Up
;;;;;;;;;;;;;Team Up
