number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Minidraco;Dratini;Pokémon;Dragon;147;Masakazu Fukuda;https://www.pokepedia.fr/images/d/dc/Carte_Coffre_des_Dragons_1.png;;https://images.pokemontcg.io/dv1/1.png;;Dragon Vault
2;Rare Holo;;Minidraco;Dratini;Pokémon;Dragon;147;Naoki Saito;https://www.pokepedia.fr/images/0/01/Carte_Coffre_des_Dragons_2.png;;https://images.pokemontcg.io/dv1/2.png;;Dragon Vault
3;Rare Holo;;Draco;Dragonair;Pokémon;Dragon;148;Hajime Kusajima;https://www.pokepedia.fr/images/9/97/Carte_Coffre_des_Dragons_3.png;;https://images.pokemontcg.io/dv1/3.png;;Dragon Vault
4;Rare Holo;;Draco;Dragonair;Pokémon;Dragon;148;Kagemaru Himeno;https://www.pokepedia.fr/images/8/86/Carte_Coffre_des_Dragons_4.png;;https://images.pokemontcg.io/dv1/4.png;;Dragon Vault
5;Rare Holo;;Dracolosse;Dragonite;Pokémon;Dragon;149;Mitsuhiro Arita;https://www.pokepedia.fr/images/7/75/Carte_Coffre_des_Dragons_5.png;;https://images.pokemontcg.io/dv1/5.png;;Dragon Vault
6;Rare Holo;;Draby;Bagon;Pokémon;Dragon;371;Kouki Saitou;https://www.pokepedia.fr/images/3/37/Carte_Coffre_des_Dragons_6.png;;https://images.pokemontcg.io/dv1/6.png;;Dragon Vault
7;Rare Holo;;Drackhaus;Shelgon;Pokémon;Dragon;372;Akira Komayama;https://www.pokepedia.fr/images/0/04/Carte_Coffre_des_Dragons_7.png;;https://images.pokemontcg.io/dv1/7.png;;Dragon Vault
8;Rare Holo;;Drattak;Salamence;Pokémon;Dragon;373;BERUBURI;https://www.pokepedia.fr/images/9/91/Carte_Coffre_des_Dragons_8.png;;https://images.pokemontcg.io/dv1/8.png;;Dragon Vault
9;Rare Holo;;Latias;Latias;Pokémon;Dragon;380;Hideaki Hakozaki;https://www.pokepedia.fr/images/4/4e/Carte_Coffre_des_Dragons_9.png;;https://images.pokemontcg.io/dv1/9.png;;Dragon Vault
10;Rare Holo;;Latios;Latios;Pokémon;Dragon;381;Ryo Ueda;https://www.pokepedia.fr/images/2/20/Carte_Coffre_des_Dragons_10.png;;https://images.pokemontcg.io/dv1/10.png;;Dragon Vault
11;Rare Holo;;Rayquaza;Rayquaza;Pokémon;Dragon;384;5ban Graphics;https://www.pokepedia.fr/images/4/48/Carte_Coffre_des_Dragons_11.png;;https://images.pokemontcg.io/dv1/11.png;;Dragon Vault
12;Rare Holo;;Coupenotte;Axew;Pokémon;Dragon;610;Mizue;https://www.pokepedia.fr/images/3/33/Carte_Coffre_des_Dragons_12.png;;https://images.pokemontcg.io/dv1/12.png;;Dragon Vault
13;Rare Holo;;Coupenotte;Axew;Pokémon;Dragon;610;TOKIYA;https://www.pokepedia.fr/images/8/8e/Carte_Coffre_des_Dragons_13.png;;https://images.pokemontcg.io/dv1/13.png;;Dragon Vault
14;Rare Holo;;Incisache;Fraxure;Pokémon;Dragon;611;Shin Nagasawa;https://www.pokepedia.fr/images/6/68/Carte_Coffre_des_Dragons_14.png;;https://images.pokemontcg.io/dv1/14.png;;Dragon Vault
15;Rare Holo;;Incisache;Fraxure;Pokémon;Dragon;611;match;https://www.pokepedia.fr/images/e/e5/Carte_Coffre_des_Dragons_15.png;;https://images.pokemontcg.io/dv1/15.png;;Dragon Vault
16;Rare Holo;;Tranchodon;Haxorus;Pokémon;Dragon;612;Eske Yoshinob;https://www.pokepedia.fr/images/d/d0/Carte_Coffre_des_Dragons_16.png;;https://images.pokemontcg.io/dv1/16.png;;Dragon Vault
17;Rare Holo;;Drakkarmin;Druddigon;Pokémon;Dragon;621;kawayoo;https://www.pokepedia.fr/images/8/8b/Carte_Coffre_des_Dragons_17.png;;https://images.pokemontcg.io/dv1/17.png;;Dragon Vault
18;Rare Holo;;Multi Exp;Exp. Share;Trainer;NoColor;;Ryo Ueda;https://www.pokepedia.fr/images/1/1e/Carte_Coffre_des_Dragons_18.png;;https://images.pokemontcg.io/dv1/18.png;;Dragon Vault
19;Rare Holo;;Ticket Prioritaire;First Ticket;Trainer;NoColor;;5ban Graphics;https://www.pokepedia.fr/images/f/fb/Carte_Coffre_des_Dragons_19.png;;https://images.pokemontcg.io/dv1/19.png;;Dragon Vault
20;Rare Holo;;Méga Canne;Super Rod;Trainer;NoColor;;5ban Graphics;https://www.pokepedia.fr/images/d/dd/Carte_Coffre_des_Dragons_20.png;;https://images.pokemontcg.io/dv1/20.png;;Dragon Vault
21;Secret;;Kyurem;Kyurem;Pokémon;Dragon;646;Ryo Ueda;https://www.pokepedia.fr/images/9/90/Carte_Coffre_des_Dragons_21.png;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/819219.jpg;;Dragon Vault
