number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare;;;Pinsir;Pokémon;Grass;127;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_1.png;;https://images.pokemontcg.io/bw4/1.png;;Next Destinies
2;Common;;;Seedot;Pokémon;Grass;273;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_2.png;;https://images.pokemontcg.io/bw4/2.png;;Next Destinies
3;Common;;;Kricketot;Pokémon;Grass;401;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_3.png;;https://images.pokemontcg.io/bw4/3.png;;Next Destinies
4;Uncommon;;;Kricketune;Pokémon;Grass;402;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_4.png;;https://images.pokemontcg.io/bw4/4.png;;Next Destinies
5;Ultra;EX;;Shaymin-EX;Pokémon;Grass;492;Shizurow;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_5.png;;https://images.pokemontcg.io/bw4/5.png;;Next Destinies
6;Common;;;Pansage;Pokémon;Grass;511;Megumi Mizutani;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_6.png;;https://images.pokemontcg.io/bw4/6.png;;Next Destinies
7;Rare;;;Simisage;Pokémon;Grass;512;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_7.png;;https://images.pokemontcg.io/bw4/7.png;;Next Destinies
8;Common;;;Foongus;Pokémon;Grass;590;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_8.png;;https://images.pokemontcg.io/bw4/8.png;;Next Destinies
9;Rare;;;Amoonguss;Pokémon;Grass;591;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_9.png;;https://images.pokemontcg.io/bw4/9.png;;Next Destinies
10;Common;;;Growlithe;Pokémon;Fire;58;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_10.png;;https://images.pokemontcg.io/bw4/10.png;;Next Destinies
11;Common;;;Growlithe;Pokémon;Fire;58;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_11.png;;https://images.pokemontcg.io/bw4/11.png;;Next Destinies
12;Rare;;;Arcanine;Pokémon;Fire;59;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_12.png;;https://images.pokemontcg.io/bw4/12.png;;Next Destinies
13;Uncommon;;;Arcanine;Pokémon;Fire;59;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_13.png;;https://images.pokemontcg.io/bw4/13.png;;Next Destinies
14;Rare Holo;;;Moltres;Pokémon;Fire;146;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_14.png;;https://images.pokemontcg.io/bw4/14.png;;Next Destinies
15;Common;;;Pansear;Pokémon;Fire;513;James Turner;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_15.png;;https://images.pokemontcg.io/bw4/15.png;;Next Destinies
16;Rare;;;Simisear;Pokémon;Fire;514;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_16.png;;https://images.pokemontcg.io/bw4/16.png;;Next Destinies
17;Common;;;Darumaka;Pokémon;Fire;554;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_17.png;;https://images.pokemontcg.io/bw4/17.png;;Next Destinies
18;Common;;;Litwick;Pokémon;Fire;607;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_18.png;;https://images.pokemontcg.io/bw4/18.png;;Next Destinies
19;Uncommon;;;Lampent;Pokémon;Fire;608;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_19.png;;https://images.pokemontcg.io/bw4/19.png;;Next Destinies
20;Rare Holo;;;Chandelure;Pokémon;Fire;609;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_20.png;;https://images.pokemontcg.io/bw4/20.png;;Next Destinies
21;Rare;;;Reshiram;Pokémon;Fire;643;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_21.png;;https://images.pokemontcg.io/bw4/21.png;;Next Destinies
22;Ultra;EX;;Reshiram-EX;Pokémon;Fire;643;Shizurow;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_22.png;;https://images.pokemontcg.io/bw4/22.png;;Next Destinies
23;Common;;;Staryu;Pokémon;Water;120;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_23.png;;https://images.pokemontcg.io/bw4/23.png;;Next Destinies
24;Uncommon;;;Starmie;Pokémon;Water;121;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_24.png;;https://images.pokemontcg.io/bw4/24.png;;Next Destinies
25;Rare;;;Lapras;Pokémon;Water;131;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_25.png;;https://images.pokemontcg.io/bw4/25.png;;Next Destinies
26;Uncommon;;;Lapras;Pokémon;Water;131;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_26.png;;https://images.pokemontcg.io/bw4/26.png;;Next Destinies
27;Rare Holo;;;Articuno;Pokémon;Water;144;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_27.png;;https://images.pokemontcg.io/bw4/27.png;;Next Destinies
28;Common;;;Panpour;Pokémon;Water;515;Reiko Tanoue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_28.png;;https://images.pokemontcg.io/bw4/28.png;;Next Destinies
29;Rare;;;Simipour;Pokémon;Water;516;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_29.png;;https://images.pokemontcg.io/bw4/29.png;;Next Destinies
30;Uncommon;;;Basculin;Pokémon;Water;550;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_30.png;;https://images.pokemontcg.io/bw4/30.png;;Next Destinies
31;Common;;;Vanillite;Pokémon;Water;582;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_31.png;;https://images.pokemontcg.io/bw4/31.png;;Next Destinies
32;Uncommon;;;Vanillish;Pokémon;Water;583;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_32.png;;https://images.pokemontcg.io/bw4/32.png;;Next Destinies
33;Rare Holo;;;Vanilluxe;Pokémon;Water;584;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_33.png;;https://images.pokemontcg.io/bw4/33.png;;Next Destinies
34;Uncommon;;;Frillish;Pokémon;Water;592;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_34.png;;https://images.pokemontcg.io/bw4/34.png;;Next Destinies
35;Rare;;;Jellicent;Pokémon;Water;593;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_35.png;;https://images.pokemontcg.io/bw4/35.png;;Next Destinies
36;Common;;;Cubchoo;Pokémon;Water;613;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW4/BW4_FR_36.png;;https://images.pokemontcg.io/bw4/36.png;;Next Destinies
