number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Granivol;Hoppip;Pokémon;Grass;187;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_1.png;;https://images.pokemontcg.io/bw6/1.png;;Dragons Exalted
2;Uncommon;;Floravol;Skiploom;Pokémon;Grass;188;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_2.png;;https://images.pokemontcg.io/bw6/2.png;;Dragons Exalted
3;Rare;;Cotovol;Jumpluff;Pokémon;Grass;189;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_3.png;;https://images.pokemontcg.io/bw6/3.png;;Dragons Exalted
4;Common;;Yanma;Yanma;Pokémon;Grass;193;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_4.png;;https://images.pokemontcg.io/bw6/4.png;;Dragons Exalted
5;Rare;;Yanmega;Yanmega;Pokémon;Grass;469;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_5.png;;https://images.pokemontcg.io/bw6/5.png;;Dragons Exalted
6;Common;;Chenipotte;Wurmple;Pokémon;Grass;265;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_6.png;;https://images.pokemontcg.io/bw6/6.png;;Dragons Exalted
7;Uncommon;;Armulys;Silcoon;Pokémon;Grass;266;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_7.png;;https://images.pokemontcg.io/bw6/7.png;;Dragons Exalted
8;Rare;;Charmillon;Beautifly;Pokémon;Grass;267;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_8.png;;https://images.pokemontcg.io/bw6/8.png;;Dragons Exalted
9;Uncommon;;Blindalys;Cascoon;Pokémon;Grass;268;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_9.png;;https://images.pokemontcg.io/bw6/9.png;;Dragons Exalted
10;Common;;Ningale;Nincada;Pokémon;Grass;290;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_10.png;;https://images.pokemontcg.io/bw6/10.png;;Dragons Exalted
11;Uncommon;;Ninjask;Ninjask;Pokémon;Grass;291;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_11.png;;https://images.pokemontcg.io/bw6/11.png;;Dragons Exalted
12;Uncommon;;Roselia;Roselia;Pokémon;Grass;315;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_12.png;;https://images.pokemontcg.io/bw6/12.png;;Dragons Exalted
13;Common;;Roselia;Roselia;Pokémon;Grass;315;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_13.png;;https://images.pokemontcg.io/bw6/13.png;;Dragons Exalted
14;Uncommon;;Roserade;Roserade;Pokémon;Grass;407;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_14.png;;https://images.pokemontcg.io/bw6/14.png;;Dragons Exalted
15;Rare;;Roserade;Roserade;Pokémon;Grass;407;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_15.png;;https://images.pokemontcg.io/bw6/15.png;;Dragons Exalted
16;Uncommon;;Maracachi;Maractus;Pokémon;Grass;556;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_16.png;;https://images.pokemontcg.io/bw6/16.png;;Dragons Exalted
17;Common;;Trompignon;Foongus;Pokémon;Grass;590;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_17.png;;https://images.pokemontcg.io/bw6/17.png;;Dragons Exalted
18;Common;;Goupix;Vulpix;Pokémon;Fire;37;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_18.png;;https://images.pokemontcg.io/bw6/18.png;;Dragons Exalted
19;Rare Holo;;Feunard;Ninetales;Pokémon;Fire;38;Hideaki Hakozaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_19.png;;https://images.pokemontcg.io/bw6/19.png;;Dragons Exalted
20;Common;;Magmar;Magmar;Pokémon;Fire;126;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_20.png;;https://images.pokemontcg.io/bw6/20.png;;Dragons Exalted
21;Rare;;Maganon;Magmortar;Pokémon;Fire;467;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_21.png;;https://images.pokemontcg.io/bw6/21.png;;Dragons Exalted
22;Ultra;EX;Ho-Oh-EX;Ho-Oh-EX;Pokémon;Fire;250;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_22.png;;https://images.pokemontcg.io/bw6/22.png;;Dragons Exalted
23;Common;;Magicarpe;Magikarp;Pokémon;Water;129;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW6/BW6_FR_23.png;;https://images.pokemontcg.io/bw6/23.png;;Dragons Exalted
