number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Mystherbe;Oddish;Pokémon;Grass;43;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_1.png;;https://images.pokemontcg.io/bw7/1.png;;Boundaries Crossed
2;Uncommon;;Ortide;Gloom;Pokémon;Grass;44;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_2.png;;https://images.pokemontcg.io/bw7/2.png;;Boundaries Crossed
3;Rare Holo;;Rafflésia;Vileplume;Pokémon;Grass;45;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_3.png;;https://images.pokemontcg.io/bw7/3.png;;Boundaries Crossed
4;Rare;;Joliflor;Bellossom;Pokémon;Grass;182;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_4.png;;https://images.pokemontcg.io/bw7/4.png;;Boundaries Crossed
5;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_5.png;;https://images.pokemontcg.io/bw7/5.png;;Boundaries Crossed
6;Rare Holo;;Bouldeneu;Tangrowth;Pokémon;Grass;465;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_6.png;;https://images.pokemontcg.io/bw7/6.png;;Boundaries Crossed
7;Common;;Insécateur;Scyther;Pokémon;Grass;123;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_7.png;;https://images.pokemontcg.io/bw7/7.png;;Boundaries Crossed
8;Uncommon;;Scarhino;Heracross;Pokémon;Grass;214;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_8.png;;https://images.pokemontcg.io/bw7/8.png;;Boundaries Crossed
9;Ultra;EX;Celebi-EX;Celebi-EX;Pokémon;Grass;251;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_9.png;;https://images.pokemontcg.io/bw7/9.png;;Boundaries Crossed
10;Rare;;Shaymin;Shaymin;Pokémon;Grass;492;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_10.png;;https://images.pokemontcg.io/bw7/10.png;;Boundaries Crossed
11;Common;;Vipélierre;Snivy;Pokémon;Grass;495;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_11.png;;https://images.pokemontcg.io/bw7/11.png;;Boundaries Crossed
12;Uncommon;;Lianaja;Servine;Pokémon;Grass;496;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_12.png;;https://images.pokemontcg.io/bw7/12.png;;Boundaries Crossed
13;Rare Holo;;Majaspic;Serperior;Pokémon;Grass;497;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_13.png;;https://images.pokemontcg.io/bw7/13.png;;Boundaries Crossed
14;Common;;Doudouvet;Cottonee;Pokémon;Grass;546;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_14.png;;https://images.pokemontcg.io/bw7/14.png;;Boundaries Crossed
15;Rare;;Farfaduvet;Whimsicott;Pokémon;Grass;547;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_15.png;;https://images.pokemontcg.io/bw7/15.png;;Boundaries Crossed
16;Uncommon;;Chlorobule;Petilil;Pokémon;Grass;548;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_16.png;;https://images.pokemontcg.io/bw7/16.png;;Boundaries Crossed
17;Rare;;Fragilady;Lilligant;Pokémon;Grass;549;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_17.png;;https://images.pokemontcg.io/bw7/17.png;;Boundaries Crossed
18;Common;;Salamèche;Charmander;Pokémon;Fire;4;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_18.png;;https://images.pokemontcg.io/bw7/18.png;;Boundaries Crossed
19;Uncommon;;Reptincel;Charmeleon;Pokémon;Fire;5;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_19.png;;https://images.pokemontcg.io/bw7/19.png;;Boundaries Crossed
20;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;hatachu;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_20.png;;https://images.pokemontcg.io/bw7/20.png;;Boundaries Crossed
21;Common;;Chamallot;Numel;Pokémon;Fire;322;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_21.png;;https://images.pokemontcg.io/bw7/21.png;;Boundaries Crossed
22;Rare;;Camerupt;Camerupt;Pokémon;Fire;323;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_22.png;;https://images.pokemontcg.io/bw7/22.png;;Boundaries Crossed
23;Rare;;Victini;Victini;Pokémon;Fire;494;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_23.png;;https://images.pokemontcg.io/bw7/23.png;;Boundaries Crossed
24;Common;;Gruikui;Tepig;Pokémon;Fire;498;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_24.png;;https://images.pokemontcg.io/bw7/24.png;;Boundaries Crossed
25;Uncommon;;Grotichon;Pignite;Pokémon;Fire;499;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_25.png;;https://images.pokemontcg.io/bw7/25.png;;Boundaries Crossed
26;Rare Holo;;Roitiflam;Emboar;Pokémon;Fire;500;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_26.png;;https://images.pokemontcg.io/bw7/26.png;;Boundaries Crossed
27;Common;;Darumarond;Darumaka;Pokémon;Fire;554;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_27.png;;https://images.pokemontcg.io/bw7/27.png;;Boundaries Crossed
28;Uncommon;;Darumacho;Darmanitan;Pokémon;Fire;555;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_28.png;;https://images.pokemontcg.io/bw7/28.png;;Boundaries Crossed
29;Common;;Carapuce;Squirtle;Pokémon;Water;7;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_29.png;;https://images.pokemontcg.io/bw7/29.png;;Boundaries Crossed
30;Uncommon;;Carabaffe;Wartortle;Pokémon;Water;8;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_30.png;;https://images.pokemontcg.io/bw7/30.png;;Boundaries Crossed
31;Rare Holo;;Tortank;Blastoise;Pokémon;Water;9;Satoshi Shirai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_31.png;;https://images.pokemontcg.io/bw7/31.png;;Boundaries Crossed
32;Common;;Psykokwak;Psyduck;Pokémon;Water;54;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_32.png;;https://images.pokemontcg.io/bw7/32.png;;Boundaries Crossed
33;Common;;Psykokwak;Psyduck;Pokémon;Water;54;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_33.png;;https://images.pokemontcg.io/bw7/33.png;;Boundaries Crossed
34;Uncommon;;Akwakwak;Golduck;Pokémon;Water;55;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_34.png;;https://images.pokemontcg.io/bw7/34.png;;Boundaries Crossed
35;Rare;;Akwakwak;Golduck;Pokémon;Water;55;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_35.png;;https://images.pokemontcg.io/bw7/35.png;;Boundaries Crossed
36;Common;;Marill;Marill;Pokémon;Water;183;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_36.png;;https://images.pokemontcg.io/bw7/36.png;;Boundaries Crossed
37;Uncommon;;Azumarill;Azumarill;Pokémon;Water;184;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_37.png;;https://images.pokemontcg.io/bw7/37.png;;Boundaries Crossed
38;Uncommon;;Cadoizo;Delibird;Pokémon;Water;225;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_38.png;;https://images.pokemontcg.io/bw7/38.png;;Boundaries Crossed
39;Common;;Moustillon;Oshawott;Pokémon;Water;501;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_39.png;;https://images.pokemontcg.io/bw7/39.png;;Boundaries Crossed
40;Uncommon;;Mateloutre;Dewott;Pokémon;Water;502;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_40.png;;https://images.pokemontcg.io/bw7/40.png;;Boundaries Crossed
41;Rare Holo;;Clamiral;Samurott;Pokémon;Water;503;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_41.png;;https://images.pokemontcg.io/bw7/41.png;;Boundaries Crossed
42;Common;;Couaneton;Ducklett;Pokémon;Water;580;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_42.png;;https://images.pokemontcg.io/bw7/42.png;;Boundaries Crossed
43;Uncommon;;Lakmécygne;Swanna;Pokémon;Water;581;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_43.png;;https://images.pokemontcg.io/bw7/43.png;;Boundaries Crossed
44;Common;;Viskuse;Frillish;Pokémon;Water;592;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_44.png;;https://images.pokemontcg.io/bw7/44.png;;Boundaries Crossed
45;Rare;;Moyade;Jellicent;Pokémon;Water;593;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_45.png;;https://images.pokemontcg.io/bw7/45.png;;Boundaries Crossed
46;Uncommon;;Hexagel;Cryogonal;Pokémon;Water;615;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_46.png;;https://images.pokemontcg.io/bw7/46.png;;Boundaries Crossed
47;Rare Holo;;Keldeo;Keldeo;Pokémon;Water;647;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_47.png;;https://images.pokemontcg.io/bw7/47.png;;Boundaries Crossed
48;Rare;;Keldeo;Keldeo;Pokémon;Water;647;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_48.png;;https://images.pokemontcg.io/bw7/48.png;;Boundaries Crossed
49;Ultra;EX;Keldeo-EX;Keldeo-EX;Pokémon;Water;647;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_49.png;;https://images.pokemontcg.io/bw7/49.png;;Boundaries Crossed
50;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_50.png;;https://images.pokemontcg.io/bw7/50.png;;Boundaries Crossed
51;Common;;Voltorbe;Voltorb;Pokémon;Lightning;100;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_51.png;;https://images.pokemontcg.io/bw7/51.png;;Boundaries Crossed
52;Uncommon;;Électrode;Electrode;Pokémon;Lightning;101;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW7/BW7_FR_52.png;;https://images.pokemontcg.io/bw7/52.png;;Boundaries Crossed
