number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Larveyette;Sewaddle;Pokémon;Grass;540;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW3/BW3_FR_1.png;;https://images.pokemontcg.io/bw3/1.png;;Noble Victories
2;Uncommon;;Couverdure;Swadloon;Pokémon;Grass;541;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW3/BW3_FR_2.png;;https://images.pokemontcg.io/bw3/2.png;;Noble Victories
3;Rare Holo;;Manternel;Leavanny;Pokémon;Grass;542;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW3/BW3_FR_3.png;;https://images.pokemontcg.io/bw3/3.png;;Noble Victories
4;Common;;Chlorobule;Petilil;Pokémon;Grass;548;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW3/BW3_FR_4.png;;https://images.pokemontcg.io/bw3/4.png;;Noble Victories
5;Rare;;Fragilady;Lilligant;Pokémon;Grass;549;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW3/BW3_FR_5.png;;https://images.pokemontcg.io/bw3/5.png;;Noble Victories
6;Common;;Crabicoque;Dwebble;Pokémon;Grass;557;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW3/BW3_FR_6.png;;https://images.pokemontcg.io/bw3/6.png;;Noble Victories
7;Uncommon;;Crabaraque;Crustle;Pokémon;Grass;558;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW3/BW3_FR_7.png;;https://images.pokemontcg.io/bw3/7.png;;Noble Victories
8;Common;;Carabing;Karrablast;Pokémon;Grass;588;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW3/BW3_FR_8.png;;https://images.pokemontcg.io/bw3/8.png;;Noble Victories
9;Common;;Trompignon;Foongus;Pokémon;Grass;590;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW3/BW3_FR_9.png;;https://images.pokemontcg.io/bw3/9.png;;Noble Victories
10;Uncommon;;Gaulet;Amoonguss;Pokémon;Grass;591;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW3/BW3_FR_10.png;;https://images.pokemontcg.io/bw3/10.png;;Noble Victories
