number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
BW01;;;;Snivy;Pokémon;Grass;495;Ken Sugimori;;;https://images.pokemontcg.io/bwp/BW01.png;;BW Black Star Promos
BW02;;;;Tepig;Pokémon;Fire;498;Ken Sugimori;;;https://images.pokemontcg.io/bwp/BW02.png;;BW Black Star Promos
BW03;;;;Oshawott;Pokémon;Water;501;Ken Sugimori;;;https://images.pokemontcg.io/bwp/BW03.png;;BW Black Star Promos
BW04;Rare Holo;;;Reshiram;Pokémon;Fire;643;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW04.png;;BW Black Star Promos
BW05;Rare Holo;;;Zekrom;Pokémon;Lightning;644;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW05.png;;BW Black Star Promos
BW06;;;;Snivy;Pokémon;Grass;495;Shizurow;;;https://images.pokemontcg.io/bwp/BW06.png;;BW Black Star Promos
BW07;;;;Tepig;Pokémon;Fire;498;Shin Nagasawa;;;https://images.pokemontcg.io/bwp/BW07.png;;BW Black Star Promos
BW08;;;;Oshawott;Pokémon;Water;501;Mitsuhiro Arita;;;https://images.pokemontcg.io/bwp/BW08.png;;BW Black Star Promos
BW09;Rare Holo;;;Zoroark;Pokémon;Darkness;571;Naoki Saito;;;https://images.pokemontcg.io/bwp/BW09.png;;BW Black Star Promos
BW10;;;;Axew;Pokémon;Colorless;610;Masakazu Fukuda;;;https://images.pokemontcg.io/bwp/BW10.png;;BW Black Star Promos
BW11;;;;Pansage;Pokémon;Grass;511;Akira Komayama;;;https://images.pokemontcg.io/bwp/BW11.png;;BW Black Star Promos
BW12;;;;Zorua;Pokémon;Darkness;570;Tomokazu Komiya;;;https://images.pokemontcg.io/bwp/BW12.png;;BW Black Star Promos
BW13;;;;Minccino;Pokémon;Colorless;572;Atsuko Nishida;;;https://images.pokemontcg.io/bwp/BW13.png;;BW Black Star Promos
BW14;;;;Pansage;Pokémon;Grass;511;Akira Komayama;;;https://images.pokemontcg.io/bwp/BW14.png;;BW Black Star Promos
BW15;;;;Pidove;Pokémon;Colorless;519;Naoki Saito;;;https://images.pokemontcg.io/bwp/BW15.png;;BW Black Star Promos
BW16;;;;Axew;Pokémon;Colorless;610;Masakazu Fukuda;;;https://images.pokemontcg.io/bwp/BW16.png;;BW Black Star Promos
BW17;;;;Ducklett;Pokémon;Water;580;Kagemaru Himeno;;;https://images.pokemontcg.io/bwp/BW17.png;;BW Black Star Promos
BW18;;;;Darumaka;Pokémon;Fire;554;Akira Komayama;;;https://images.pokemontcg.io/bwp/BW18.png;;BW Black Star Promos
BW19;;;;Zoroark;Pokémon;Darkness;571;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW19.png;;BW Black Star Promos
BW20;Rare Holo;;;Serperior;Pokémon;Grass;497;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW20.png;;BW Black Star Promos
BW21;Rare Holo;;;Emboar;Pokémon;Fire;500;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW21.png;;BW Black Star Promos
BW22;Rare Holo;;;Samurott;Pokémon;Water;503;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW22.png;;BW Black Star Promos
BW23;Rare Holo;;;Reshiram;Pokémon;Fire;643;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW23.png;;BW Black Star Promos
BW24;Rare Holo;;;Zekrom;Pokémon;Lightning;644;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW24.png;;BW Black Star Promos
BW25;;;;Scraggy;Pokémon;Darkness;559;Akira Komayama;;;https://images.pokemontcg.io/bwp/BW25.png;;BW Black Star Promos
BW26;;;;Axew;Pokémon;Colorless;610;Akira Komayama;;;https://images.pokemontcg.io/bwp/BW26.png;;BW Black Star Promos
BW27;;;;Litwick;Pokémon;Psychic;607;Atsuko Nishida;;;https://images.pokemontcg.io/bwp/BW27.png;;BW Black Star Promos
BW28;;;;Tropical Beach;Trainer;NoColor;;Naoki Saito;;;https://images.pokemontcg.io/bwp/BW28.png;;BW Black Star Promos
BW29;;;;Victory Cup;Trainer;NoColor;;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW29.png;;BW Black Star Promos
BW30;;;;Victory Cup;Trainer;NoColor;;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW30.png;;BW Black Star Promos
BW31;;;;Victory Cup;Trainer;NoColor;;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW31.png;;BW Black Star Promos
BW32;;;;Victini;Pokémon;Fire;494;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW32.png;;BW Black Star Promos
BW33;;;;Riolu;Pokémon;Fighting;447;sui;;;https://images.pokemontcg.io/bwp/BW33.png;;BW Black Star Promos
BW34;;;;Luxio;Pokémon;Lightning;404;Naoki Saito;;;https://images.pokemontcg.io/bwp/BW34.png;;BW Black Star Promos
BW35;;;;Meowth;Pokémon;Colorless;52;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/bwp/BW35.png;;BW Black Star Promos
BW36;Rare Holo EX;;;Reshiram-EX;Pokémon;Fire;643;Shizurow;;;https://images.pokemontcg.io/bwp/BW36.png;;BW Black Star Promos
BW37;Rare Holo EX;;;Kyurem-EX;Pokémon;Water;646;Shizurow;;;https://images.pokemontcg.io/bwp/BW37.png;;BW Black Star Promos
BW38;Rare Holo EX;;;Zekrom-EX;Pokémon;Lightning;644;Shizurow;;;https://images.pokemontcg.io/bwp/BW38.png;;BW Black Star Promos
BW39;;;;Battle City;Trainer;NoColor;;Hideaki Hakozaki;;;https://images.pokemontcg.io/bwp/BW39.png;;BW Black Star Promos
BW40;Rare Holo;;;Volcarona;Pokémon;Fire;637;Shin Nagasawa;;;https://images.pokemontcg.io/bwp/BW40.png;;BW Black Star Promos
BW41;Rare Holo;;;Thundurus;Pokémon;Lightning;642;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW41.png;;BW Black Star Promos
BW42;Rare Holo;;;Tornadus;Pokémon;Colorless;641;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW42.png;;BW Black Star Promos
BW43;Rare Holo;;;Landorus;Pokémon;Fighting;645;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW43.png;;BW Black Star Promos
BW44;Rare Holo;;;Kyurem;Pokémon;Water;646;5ban Graphics;;;https://images.pokemontcg.io/bwp/BW44.png;;BW Black Star Promos
BW45;Rare Holo EX;;;Mewtwo-EX;Pokémon;Psychic;150;Shizurow;;;https://images.pokemontcg.io/bwp/BW45.png;;BW Black Star Promos
BW46;Rare Holo EX;;;Darkrai-EX;Pokémon;Darkness;491;Shizurow;;;https://images.pokemontcg.io/bwp/BW46.png;;BW Black Star Promos
BW47;Rare Holo EX;;;Rayquaza-EX;Pokémon;Dragon;384;Eske Yoshinob;;;https://images.pokemontcg.io/bwp/BW47.png;;BW Black Star Promos
