number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Tortipouss;Turtwig;Pokémon;Grass;387;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_1.png;;https://images.pokemontcg.io/bw8/1.png;;Plasma Storm
2;Uncommon;;Boskara;Grotle;Pokémon;Grass;388;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_2.png;;https://images.pokemontcg.io/bw8/2.png;;Plasma Storm
3;Rare;;Torterra;Torterra;Pokémon;Grass;389;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_3.png;;https://images.pokemontcg.io/bw8/3.png;;Plasma Storm
4;Common;;Apitrini;Combee;Pokémon;Grass;415;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_4.png;;https://images.pokemontcg.io/bw8/4.png;;Plasma Storm
5;Rare;;Apireine;Vespiquen;Pokémon;Grass;416;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_5.png;;https://images.pokemontcg.io/bw8/5.png;;Plasma Storm
6;Common;;Ceribou;Cherubi;Pokémon;Grass;420;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_6.png;;https://images.pokemontcg.io/bw8/6.png;;Plasma Storm
7;Rare;;Ceriflor;Cherrim;Pokémon;Grass;421;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_7.png;;https://images.pokemontcg.io/bw8/7.png;;Plasma Storm
8;Common;;Larveyette;Sewaddle;Pokémon;Grass;540;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_8.png;;https://images.pokemontcg.io/bw8/8.png;;Plasma Storm
9;Uncommon;;Couverdure;Swadloon;Pokémon;Grass;541;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_9.png;;https://images.pokemontcg.io/bw8/9.png;;Plasma Storm
10;Rare;;Manternel;Leavanny;Pokémon;Grass;542;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_10.png;;https://images.pokemontcg.io/bw8/10.png;;Plasma Storm
11;Uncommon;;Maracachi;Maractus;Pokémon;Grass;556;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_11.png;;https://images.pokemontcg.io/bw8/11.png;;Plasma Storm
12;Common;;Trompignon;Foongus;Pokémon;Grass;590;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_12.png;;https://images.pokemontcg.io/bw8/12.png;;Plasma Storm
13;Uncommon;;Gaulet;Amoonguss;Pokémon;Grass;591;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_13.png;;https://images.pokemontcg.io/bw8/13.png;;Plasma Storm
14;Ultra;EX;Sulfura-EX;Moltres-EX;Pokémon;Fire;146;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_14.png;;https://images.pokemontcg.io/bw8/14.png;;Plasma Storm
15;Common;;Ouisticram;Chimchar;Pokémon;Fire;390;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_15.png;;https://images.pokemontcg.io/bw8/15.png;;Plasma Storm
16;Uncommon;;Chimpenfeu;Monferno;Pokémon;Fire;391;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_16.png;;https://images.pokemontcg.io/bw8/16.png;;Plasma Storm
17;Rare Holo;;Simiabraz;Infernape;Pokémon;Fire;392;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_17.png;;https://images.pokemontcg.io/bw8/17.png;;Plasma Storm
18;Ultra;EX;Victini-EX;Victini-EX;Pokémon;Fire;494;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_18.png;;https://images.pokemontcg.io/bw8/18.png;;Plasma Storm
19;Common;;Flamajou;Pansear;Pokémon;Fire;513;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_19.png;;https://images.pokemontcg.io/bw8/19.png;;Plasma Storm
20;Uncommon;;Flamoutan;Simisear;Pokémon;Fire;514;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_20.png;;https://images.pokemontcg.io/bw8/20.png;;Plasma Storm
21;Common;;Funécire;Litwick;Pokémon;Fire;607;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_21.png;;https://images.pokemontcg.io/bw8/21.png;;Plasma Storm
22;Uncommon;;Mélancolux;Lampent;Pokémon;Fire;608;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_22.png;;https://images.pokemontcg.io/bw8/22.png;;Plasma Storm
23;Uncommon;;Aflamanoir;Heatmor;Pokémon;Fire;631;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_23.png;;https://images.pokemontcg.io/bw8/23.png;;Plasma Storm
24;Common;;Carapuce;Squirtle;Pokémon;Water;7;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_24.png;;https://images.pokemontcg.io/bw8/24.png;;Plasma Storm
25;Ultra;EX;Artikodin-EX;Articuno-EX;Pokémon;Water;144;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_25.png;;https://images.pokemontcg.io/bw8/25.png;;Plasma Storm
26;Common;;Marcacrin;Swinub;Pokémon;Water;220;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_26.png;;https://images.pokemontcg.io/bw8/26.png;;Plasma Storm
27;Uncommon;;Cochignon;Piloswine;Pokémon;Water;221;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_27.png;;https://images.pokemontcg.io/bw8/27.png;;Plasma Storm
28;Rare;;Mammochon;Mamoswine;Pokémon;Water;473;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_28.png;;https://images.pokemontcg.io/bw8/28.png;;Plasma Storm
29;Common;;Nenupiot;Lotad;Pokémon;Water;270;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_29.png;;https://images.pokemontcg.io/bw8/29.png;;Plasma Storm
30;Uncommon;;Lombre;Lombre;Pokémon;Water;271;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_30.png;;https://images.pokemontcg.io/bw8/30.png;;Plasma Storm
31;Rare;;Ludicolo;Ludicolo;Pokémon;Water;272;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_31.png;;https://images.pokemontcg.io/bw8/31.png;;Plasma Storm
32;Common;;Carvanha;Carvanha;Pokémon;Water;318;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_32.png;;https://images.pokemontcg.io/bw8/32.png;;Plasma Storm
33;Rare;;Sharpedo;Sharpedo;Pokémon;Water;319;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_33.png;;https://images.pokemontcg.io/bw8/33.png;;Plasma Storm
34;Rare Holo;;Manaphy;Manaphy;Pokémon;Water;490;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_34.png;;https://images.pokemontcg.io/bw8/34.png;;Plasma Storm
35;Common;;Sorbébé;Vanillite;Pokémon;Water;582;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW8/BW8_FR_35.png;;https://images.pokemontcg.io/bw8/35.png;;Plasma Storm
