number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Pharamp Obscur;Dark Ampharos;Pokémon;Lightning;181;Kagemaru Himeno;;;https://images.pokemontcg.io/neo4/1.png;;Neo Destiny
2;Rare Holo;;Nostenfer Obscur;Dark Crobat;Pokémon;Grass;169;;;;https://images.pokemontcg.io/neo4/2.png;;Neo Destiny
3;Rare Holo;;Donphan Obscur;Dark Donphan;Pokémon;Fighting;232;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo4/3.png;;Neo Destiny
4;Rare Holo;;Mentali Obscur;Dark Espeon;Pokémon;Psychic;196;Atsuko Nishida;;;https://images.pokemontcg.io/neo4/4.png;;Neo Destiny
5;Rare Holo;;Aligatueur Obscur;Dark Feraligatr;Pokémon;Water;160;Atsuko Nishida;;;https://images.pokemontcg.io/neo4/5.png;;Neo Destiny
6;Rare Holo;;Ectoplasma Obscur;Dark Gengar;Pokémon;Psychic;94;Aya Kusube;;;https://images.pokemontcg.io/neo4/6.png;;Neo Destiny
7;Rare Holo;;Demolosse Obscur;Dark Houndoom;Pokémon;Fire;229;Kagemaru Himeno;;;https://images.pokemontcg.io/neo4/7.png;;Neo Destiny
8;Rare Holo;;Porygon2 Obscur;Dark Porygon2;Pokémon;Colorless;233;;;;https://images.pokemontcg.io/neo4/8.png;;Neo Destiny
9;Rare Holo;;Cizayox Obscur;Dark Scizor;Pokémon;Metal;212;Mitsuhiro Arita;;;https://images.pokemontcg.io/neo4/9.png;;Neo Destiny
10;Rare Holo;;Typhlosion Obscur;Dark Typhlosion;Pokémon;Fire;157;Mitsuhiro Arita;;;https://images.pokemontcg.io/neo4/10.png;;Neo Destiny
11;Rare Holo;;Tyranocif Obscur;Dark Tyranitar;Pokémon;Fighting;248;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo4/11.png;;Neo Destiny
12;Rare Holo;;Arcanin Lumineux;Light Arcanine;Pokémon;Fire;59;Atsuko Nishida;;;https://images.pokemontcg.io/neo4/12.png;;Neo Destiny
13;Rare Holo;;Azumarill Lumineux;Light Azumarill;Pokémon;Water;184;Yuka Morii;;;https://images.pokemontcg.io/neo4/13.png;;Neo Destiny
14;Rare Holo;;Dracolosse Lumineux;Light Dragonite;Pokémon;Colorless;149;Atsuko Nishida;;;https://images.pokemontcg.io/neo4/14.png;;Neo Destiny
15;Rare Holo;;Togetic Lumineux;Light Togetic;Pokémon;Colorless;176;Naoyo Kimura;;;https://images.pokemontcg.io/neo4/15.png;;Neo Destiny
