number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Ken Sugimori;;;https://images.pokemontcg.io/neo1/1.png;;Neo Genesis
2;Rare Holo;;Azumarill;Azumarill;Pokémon;Water;184;Ken Sugimori;;;https://images.pokemontcg.io/neo1/2.png;;Neo Genesis
3;Rare Holo;;Joliflor;Bellossom;Pokémon;Grass;182;Atsuko Nishida;;;https://images.pokemontcg.io/neo1/3.png;;Neo Genesis
4;Rare Holo;;Aligatueur;Feraligatr;Pokémon;Water;160;Ken Sugimori;;;https://images.pokemontcg.io/neo1/4.png;;Neo Genesis
5;Rare Holo;;Aligatueur;Feraligatr;Pokémon;Water;160;Ken Sugimori;;;https://images.pokemontcg.io/neo1/5.png;;Neo Genesis
6;Rare Holo;;Scarhino;Heracross;Pokémon;Grass;214;Ken Sugimori;;;https://images.pokemontcg.io/neo1/6.png;;Neo Genesis
7;Rare Holo;;Cotovol;Jumpluff;Pokémon;Grass;189;Atsuko Nishida;;;https://images.pokemontcg.io/neo1/7.png;;Neo Genesis
8;Rare Holo;;Hyporoi;Kingdra;Pokémon;Water;230;Ken Sugimori;;;https://images.pokemontcg.io/neo1/8.png;;Neo Genesis
9;Rare Holo;;Lugia;Lugia;Pokémon;Colorless;249;Hironobu Yoshida;;;https://images.pokemontcg.io/neo1/9.png;;Neo Genesis
10;Rare Holo;;Méganium;Meganium;Pokémon;Grass;154;Ken Sugimori;;;https://images.pokemontcg.io/neo1/10.png;;Neo Genesis
11;Rare Holo;;Méganium;Meganium;Pokémon;Grass;154;Ken Sugimori;;;https://images.pokemontcg.io/neo1/11.png;;Neo Genesis
12;Rare Holo;;Pichu;Pichu;Pokémon;Lightning;172;Ken Sugimori;;;https://images.pokemontcg.io/neo1/12.png;;Neo Genesis
13;Rare Holo;;Airmure;Skarmory;Pokémon;Metal;227;Ken Sugimori;;;https://images.pokemontcg.io/neo1/13.png;;Neo Genesis
14;Rare Holo;;Roigada;Slowking;Pokémon;Psychic;199;Ken Sugimori;;;https://images.pokemontcg.io/neo1/14.png;;Neo Genesis
15;Rare Holo;;Steelix;Steelix;Pokémon;Metal;208;Ken Sugimori;;;https://images.pokemontcg.io/neo1/15.png;;Neo Genesis
16;Rare Holo;;Togetic;Togetic;Pokémon;Colorless;176;Ken Sugimori;;;https://images.pokemontcg.io/neo1/16.png;;Neo Genesis
17;Rare Holo;;Typhlosion;Typhlosion;Pokémon;Fire;157;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo1/17.png;;Neo Genesis
18;Rare Holo;;Typhlosion;Typhlosion;Pokémon;Fire;157;Ken Sugimori;;;https://images.pokemontcg.io/neo1/18.png;;Neo Genesis
19;Rare Holo;;Énergie Métal;Metal Energy;Energy;NoColor;;Milky Isobe;;;https://images.pokemontcg.io/neo1/19.png;;Neo Genesis
20;Rare;;Mélo;Cleffa;Pokémon;Colorless;173;Kagemaru Himeno;;;https://images.pokemontcg.io/neo1/20.png;;Neo Genesis
21;Rare;;Donphan;Donphan;Pokémon;Fighting;232;Ken Sugimori;;;https://images.pokemontcg.io/neo1/21.png;;Neo Genesis
22;Rare;;Elekid;Elekid;Pokémon;Lightning;239;Miki Tanaka;;;https://images.pokemontcg.io/neo1/22.png;;Neo Genesis
23;Rare;;Magby;Magby;Pokémon;Fire;240;Ken Sugimori;;;https://images.pokemontcg.io/neo1/23.png;;Neo Genesis
24;Rare;;Cornèbre;Murkrow;Pokémon;Darkness;198;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo1/24.png;;Neo Genesis
25;Rare;;Farfuret;Sneasel;Pokémon;Darkness;215;Ken Sugimori;;;https://images.pokemontcg.io/neo1/25.png;;Neo Genesis
