number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Toshinao Aoki;;;https://images.pokemontcg.io/neo3/1.png;;Neo Revelation
2;Rare Holo;;Leuphorie;Blissey;Pokémon;Colorless;242;Yuka Morii;;;https://images.pokemontcg.io/neo3/2.png;;Neo Revelation
3;Rare Holo;;Celebi;Celebi;Pokémon;Psychic;251;Hironobu Yoshida;;;https://images.pokemontcg.io/neo3/3.png;;Neo Revelation
4;Rare Holo;;Nostenfer;Crobat;Pokémon;Grass;169;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo3/4.png;;Neo Revelation
5;Rare Holo;;Cadoizo;Delibird;Pokémon;Colorless;225;Tomokazu Komiya;;;https://images.pokemontcg.io/neo3/5.png;;Neo Revelation
6;Rare Holo;;Entei;Entei;Pokémon;Fire;244;Ken Sugimori;;;https://images.pokemontcg.io/neo3/6.png;;Neo Revelation
7;Rare Holo;;Ho-Oh;Ho-oh;Pokémon;Fire;250;Kimiya Masago;;;https://images.pokemontcg.io/neo3/7.png;;Neo Revelation
8;Rare Holo;;Démolosse;Houndoom;Pokémon;Darkness;229;Mitsuhiro Arita;;;https://images.pokemontcg.io/neo3/8.png;;Neo Revelation
9;Rare Holo;;Cotovol;Jumpluff;Pokémon;Grass;189;Kagemaru Himeno;;;https://images.pokemontcg.io/neo3/9.png;;Neo Revelation
10;Rare Holo;;Magneton;Magneton;Pokémon;Metal;82;;;;https://images.pokemontcg.io/neo3/10.png;;Neo Revelation
11;Rare Holo;;Feuforeve;Misdreavus;Pokémon;Psychic;200;Ken Sugimori;;;https://images.pokemontcg.io/neo3/11.png;;Neo Revelation
12;Rare Holo;;Porygon2;Porygon2;Pokémon;Colorless;233;Keiji Kinebuchi;;;https://images.pokemontcg.io/neo3/12.png;;Neo Revelation
13;Rare Holo;;Raikou;Raikou;Pokémon;Lightning;243;Ken Sugimori;;;https://images.pokemontcg.io/neo3/13.png;;Neo Revelation
14;Rare Holo;;Suicune;Suicune;Pokémon;Water;245;Ken Sugimori;;;https://images.pokemontcg.io/neo3/14.png;;Neo Revelation
15;Rare;;Ptera;Aerodactyl;Pokémon;Fighting;142;Shin-ichi Yoshida;;;https://images.pokemontcg.io/neo3/15.png;;Neo Revelation
16;Rare;;Celebi;Celebi;Pokémon;Grass;251;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/neo3/16.png;;Neo Revelation
17;Rare;;Entei;Entei;Pokémon;Fire;244;Naoyo Kimura;;;https://images.pokemontcg.io/neo3/17.png;;Neo Revelation
18;Rare;;Ho-Oh;Ho-oh;Pokémon;Colorless;250;Aya Kusube;;;https://images.pokemontcg.io/neo3/18.png;;Neo Revelation
19;Rare;;Hyporoi;Kingdra;Pokémon;Water;230;Mitsuhiro Arita;;;https://images.pokemontcg.io/neo3/19.png;;Neo Revelation
20;Rare;;Lugia;Lugia;Pokémon;Psychic;249;Aya Kusube;;;https://images.pokemontcg.io/neo3/20.png;;Neo Revelation
21;Rare;;Raichu;Raichu;Pokémon;Lightning;26;Masako Yamashita;;;https://images.pokemontcg.io/neo3/21.png;;Neo Revelation
22;Rare;;Raikou;Raikou;Pokémon;Lightning;243;Naoyo Kimura;;;https://images.pokemontcg.io/neo3/22.png;;Neo Revelation
23;Rare;;Airmure;Skarmory;Pokémon;Metal;227;Aya Kusube;;;https://images.pokemontcg.io/neo3/23.png;;Neo Revelation
24;Rare;;Farfuret;Sneasel;Pokémon;Darkness;215;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/neo3/24.png;;Neo Revelation
25;Rare;;Staross;Starmie;Pokémon;Psychic;121;;;;https://images.pokemontcg.io/neo3/25.png;;Neo Revelation
26;Rare;;Simularbre;Sudowoodo;Pokémon;Fighting;185;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/neo3/26.png;;Neo Revelation
27;Rare;;Suicune;Suicune;Pokémon;Water;245;Naoyo Kimura;;;https://images.pokemontcg.io/neo3/27.png;;Neo Revelation
28;Uncommon;;Lainergie;Flaaffy;Pokémon;Lightning;180;Toshinao Aoki;;;https://images.pokemontcg.io/neo3/28.png;;Neo Revelation
29;Uncommon;;Nosféralto;Golbat;Pokémon;Grass;42;Masako Yamashita;;;https://images.pokemontcg.io/neo3/29.png;;Neo Revelation
