number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Vipélierre;Snivy;Pokémon;Grass;495;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_1.png;;https://images.pokemontcg.io/bw1/1.png;;Black & White
2;Common;;Vipélierre;Snivy;Pokémon;Grass;495;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_2.png;;https://images.pokemontcg.io/bw1/2.png;;Black & White
3;Uncommon;;Lianaja;Servine;Pokémon;Grass;496;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_3.png;;https://images.pokemontcg.io/bw1/3.png;;Black & White
4;Uncommon;;Lianaja;Servine;Pokémon;Grass;496;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_4.png;;https://images.pokemontcg.io/bw1/4.png;;Black & White
5;Rare Holo;;Majaspic;Serperior;Pokémon;Grass;497;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_5.png;;https://images.pokemontcg.io/bw1/5.png;;Black & White
6;Rare Holo;;Majaspic;Serperior;Pokémon;Grass;497;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_6.png;;https://images.pokemontcg.io/bw1/6.png;;Black & White
7;Common;;Feuillajou;Pansage;Pokémon;Grass;511;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_7.png;;https://images.pokemontcg.io/bw1/7.png;;Black & White
8;Uncommon;;Feuiloutan;Simisage;Pokémon;Grass;512;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_8.png;;https://images.pokemontcg.io/bw1/8.png;;Black & White
9;Common;;Chlorobule;Petilil;Pokémon;Grass;548;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_9.png;;https://images.pokemontcg.io/bw1/9.png;;Black & White
10;Rare;;Fragilady;Lilligant;Pokémon;Grass;549;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_10.png;;https://images.pokemontcg.io/bw1/10.png;;Black & White
11;Uncommon;;Maracachi;Maractus;Pokémon;Grass;556;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_11.png;;https://images.pokemontcg.io/bw1/11.png;;Black & White
12;Rare;;Maracachi;Maractus;Pokémon;Grass;556;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_12.png;;https://images.pokemontcg.io/bw1/12.png;;Black & White
13;Common;;Vivaldaim;Deerling;Pokémon;Grass;585;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_13.png;;https://images.pokemontcg.io/bw1/13.png;;Black & White
14;Rare;;Haydaim;Sawsbuck;Pokémon;Grass;586;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_14.png;;https://images.pokemontcg.io/bw1/14.png;;Black & White
15;Common;;Gruikui;Tepig;Pokémon;Fire;498;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_15.png;;https://images.pokemontcg.io/bw1/15.png;;Black & White
16;Common;;Gruikui;Tepig;Pokémon;Fire;498;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_16.png;;https://images.pokemontcg.io/bw1/16.png;;Black & White
17;Uncommon;;Grotichon;Pignite;Pokémon;Fire;499;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_17.png;;https://images.pokemontcg.io/bw1/17.png;;Black & White
18;Uncommon;;Grotichon;Pignite;Pokémon;Fire;499;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_18.png;;https://images.pokemontcg.io/bw1/18.png;;Black & White
19;Rare Holo;;Roitiflam;Emboar;Pokémon;Fire;500;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_19.png;;https://images.pokemontcg.io/bw1/19.png;;Black & White
20;Rare Holo;;Roitiflam;Emboar;Pokémon;Fire;500;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_20.png;;https://images.pokemontcg.io/bw1/20.png;;Black & White
21;Common;;Flamajou;Pansear;Pokémon;Fire;513;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_21.png;;https://images.pokemontcg.io/bw1/21.png;;Black & White
22;Uncommon;;Flamoutan;Simisear;Pokémon;Fire;514;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_22.png;;https://images.pokemontcg.io/bw1/22.png;;Black & White
23;Common;;Darumarond;Darumaka;Pokémon;Fire;554;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_23.png;;https://images.pokemontcg.io/bw1/23.png;;Black & White
24;Uncommon;;Darumarond;Darumaka;Pokémon;Fire;554;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_24.png;;https://images.pokemontcg.io/bw1/24.png;;Black & White
25;Rare;;Darumacho;Darmanitan;Pokémon;Fire;555;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_25.png;;https://images.pokemontcg.io/bw1/25.png;;Black & White
26;Rare Holo;;Reshiram;Reshiram;Pokémon;Fire;643;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_26.png;;https://images.pokemontcg.io/bw1/26.png;;Black & White
27;Common;;Moustillon;Oshawott;Pokémon;Water;501;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_27.png;;https://images.pokemontcg.io/bw1/27.png;;Black & White
28;Common;;Moustillon;Oshawott;Pokémon;Water;501;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_28.png;;https://images.pokemontcg.io/bw1/28.png;;Black & White
29;Uncommon;;Mateloutre;Dewott;Pokémon;Water;502;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_29.png;;https://images.pokemontcg.io/bw1/29.png;;Black & White
30;Uncommon;;Mateloutre;Dewott;Pokémon;Water;502;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_30.png;;https://images.pokemontcg.io/bw1/30.png;;Black & White
31;Rare Holo;;Clamiral;Samurott;Pokémon;Water;503;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_31.png;;https://images.pokemontcg.io/bw1/31.png;;Black & White
32;Rare Holo;;Clamiral;Samurott;Pokémon;Water;503;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_32.png;;https://images.pokemontcg.io/bw1/32.png;;Black & White
33;Common;;Flotajou;Panpour;Pokémon;Water;515;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_33.png;;https://images.pokemontcg.io/bw1/33.png;;Black & White
34;Uncommon;;Flotoutan;Simipour;Pokémon;Water;516;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_34.png;;https://images.pokemontcg.io/bw1/34.png;;Black & White
35;Uncommon;;Bargantua;Basculin;Pokémon;Water;550;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_35.png;;https://images.pokemontcg.io/bw1/35.png;;Black & White
36;Common;;Couaneton;Ducklett;Pokémon;Water;580;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_36.png;;https://images.pokemontcg.io/bw1/36.png;;Black & White
37;Rare;;Lakmécygne;Swanna;Pokémon;Water;581;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_37.png;;https://images.pokemontcg.io/bw1/37.png;;Black & White
38;Uncommon;;Mamambo;Alomomola;Pokémon;Water;594;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_38.png;;https://images.pokemontcg.io/bw1/38.png;;Black & White
39;Rare;;Mamambo;Alomomola;Pokémon;Water;594;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_39.png;;https://images.pokemontcg.io/bw1/39.png;;Black & White
40;Common;;Zébibron;Blitzle;Pokémon;Lightning;522;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_40.png;;https://images.pokemontcg.io/bw1/40.png;;Black & White
41;Common;;Zébibron;Blitzle;Pokémon;Lightning;522;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_41.png;;https://images.pokemontcg.io/bw1/41.png;;Black & White
42;Uncommon;;Zéblitz;Zebstrika;Pokémon;Lightning;523;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_42.png;;https://images.pokemontcg.io/bw1/42.png;;Black & White
43;Rare;;Zéblitz;Zebstrika;Pokémon;Lightning;523;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_43.png;;https://images.pokemontcg.io/bw1/43.png;;Black & White
44;Common;;Statitik;Joltik;Pokémon;Lightning;595;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_44.png;;https://images.pokemontcg.io/bw1/44.png;;Black & White
45;Common;;Statitik;Joltik;Pokémon;Lightning;595;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_45.png;;https://images.pokemontcg.io/bw1/45.png;;Black & White
46;Rare;;Mygavolt;Galvantula;Pokémon;Lightning;596;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_46.png;;https://images.pokemontcg.io/bw1/46.png;;Black & White
47;Rare Holo;;Zekrom;Zekrom;Pokémon;Lightning;644;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_47.png;;https://images.pokemontcg.io/bw1/47.png;;Black & White
48;Uncommon;;Munna;Munna;Pokémon;Psychic;517;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_48.png;;https://images.pokemontcg.io/bw1/48.png;;Black & White
49;Rare;;Mushana;Musharna;Pokémon;Psychic;518;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW1/BW1_FR_49.png;;https://images.pokemontcg.io/bw1/49.png;;Black & White
