number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL1/PL1_FR_1.png;;https://images.pokemontcg.io/pl1/1.png;;Platinum
2;Rare Holo;;Tortank;Blastoise;Pokémon;Water;9;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL1/PL1_FR_2.png;;https://images.pokemontcg.io/pl1/2.png;;Platinum
3;Rare Holo;;Brasegali;Blaziken;Pokémon;Fire;257;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL1/PL1_FR_3.png;;https://images.pokemontcg.io/pl1/3.png;;Platinum
4;Rare Holo;;Delcatty;Delcatty;Pokémon;Colorless;301;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL1/PL1_FR_4.png;;https://images.pokemontcg.io/pl1/4.png;;Platinum
5;Rare Holo;;Dialga;Dialga;Pokémon;Metal;483;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL1/PL1_FR_5.png;;https://images.pokemontcg.io/pl1/5.png;;Platinum
6;Rare Holo;;Dialga;Dialga;Pokémon;Metal;483;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL1/PL1_FR_6.png;;https://images.pokemontcg.io/pl1/6.png;;Platinum
7;Rare Holo;;Dialga G;Dialga G;Pokémon;Metal;483;Yusuke Ishikawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL1/PL1_FR_7.png;;https://images.pokemontcg.io/pl1/7.png;;Platinum
8;Rare Holo;;Gardevoir;Gardevoir;Pokémon;Psychic;282;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL1/PL1_FR_8.png;;https://images.pokemontcg.io/pl1/8.png;;Platinum
9;Rare Holo;;Giratina;Giratina;Pokémon;Psychic;487;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL1/PL1_FR_9.png;;https://images.pokemontcg.io/pl1/9.png;;Platinum
10;Rare Holo;;Giratina;Giratina;Pokémon;Psychic;487;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL1/PL1_FR_10.png;;https://images.pokemontcg.io/pl1/10.png;;Platinum
