number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Arcanin;Arcanine;Pokémon;Fire;59;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_1.png;;https://images.pokemontcg.io/pl2/1.png;;Rising Rivals
2;Rare Holo;;Bastiodon GL;Bastiodon GL;Pokémon;Metal;411;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_2.png;;https://images.pokemontcg.io/pl2/2.png;;Rising Rivals
3;Rare Holo;;Darkrai G;Darkrai G;Pokémon;Darkness;491;Makoto Imai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_3.png;;https://images.pokemontcg.io/pl2/3.png;;Rising Rivals
4;Rare Holo;;Mustéflott GL;Floatzel GL;Pokémon;Water;419;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_4.png;;https://images.pokemontcg.io/pl2/4.png;;Rising Rivals
5;Rare Holo;;Libégon;Flygon;Pokémon;Colorless;330;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_5.png;;https://images.pokemontcg.io/pl2/5.png;;Rising Rivals
6;Rare Holo;;Momartik GL;Froslass GL;Pokémon;Water;478;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_6.png;;https://images.pokemontcg.io/pl2/6.png;;Rising Rivals
7;Rare Holo;;Jirachi;Jirachi;Pokémon;Metal;385;Kenkichi Toyama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_7.png;;https://images.pokemontcg.io/pl2/7.png;;Rising Rivals
8;Rare Holo;;Lucario GL;Lucario GL;Pokémon;Fighting;448;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_8.png;;https://images.pokemontcg.io/pl2/8.png;;Rising Rivals
9;Rare Holo;;Luxray GL;Luxray GL;Pokémon;Lightning;405;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_9.png;;https://images.pokemontcg.io/pl2/9.png;;Rising Rivals
10;Rare Holo;;Magirêve GL;Mismagius GL;Pokémon;Psychic;429;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_10.png;;https://images.pokemontcg.io/pl2/10.png;;Rising Rivals
