number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare;;;Chimecho (Delta Species);Pokémon;Metal;358;Masakazu Fukuda;;;https://images.pokemontcg.io/pop4/1.png;;POP Series 4
2;Rare;;;Deoxys δ;Pokémon;Colorless;386;Kouki Saitou;;;https://images.pokemontcg.io/pop4/2.png;;POP Series 4
3;Rare;;;Flygon;Pokémon;Fighting;330;Hisao Nakamura;;;https://images.pokemontcg.io/pop4/3.png;;POP Series 4
4;Rare;;;Mew;Pokémon;Psychic;151;Nakaoka;;;https://images.pokemontcg.io/pop4/4.png;;POP Series 4
5;Rare;;;Sceptile;Pokémon;Grass;254;Atsuko Nishida;;;https://images.pokemontcg.io/pop4/5.png;;POP Series 4
6;Uncommon;;;Combusken;Pokémon;Fire;256;Mitsuhiro Arita;;;https://images.pokemontcg.io/pop4/6.png;;POP Series 4
7;Uncommon;;;Grovyle;Pokémon;Grass;253;Mitsuhiro Arita;;;https://images.pokemontcg.io/pop4/7.png;;POP Series 4
8;Uncommon;;;Heal Energy;Energy;NoColor;;Takumi Akabane;;;https://images.pokemontcg.io/pop4/8.png;;POP Series 4
9;Uncommon;;;Pokémon Fan Club;Trainer;NoColor;;Ken Sugimori;;;https://images.pokemontcg.io/pop4/9.png;;POP Series 4
10;Uncommon;;;Scramble Energy;Energy;NoColor;;Takumi Akabane;;;https://images.pokemontcg.io/pop4/10.png;;POP Series 4
11;Common;;;Mudkip;Pokémon;Water;258;Masakazu Fukuda;;;https://images.pokemontcg.io/pop4/11.png;;POP Series 4
12;Common;;;Pidgey;Pokémon;Colorless;16;Hisao Nakamura;;;https://images.pokemontcg.io/pop4/12.png;;POP Series 4
13;Common;;;Pikachu;Pokémon;Lightning;25;Kouki Saitou;;;https://images.pokemontcg.io/pop4/13.png;;POP Series 4
14;Common;;;Squirtle;Pokémon;Water;7;Atsuko Nishida;;;https://images.pokemontcg.io/pop4/14.png;;POP Series 4
15;Common;;;Treecko (Delta Species);Pokémon;Psychic;252;Masakazu Fukuda;;;https://images.pokemontcg.io/pop4/15.png;;POP Series 4
16;Common;;;Wobbuffet;Pokémon;Psychic;202;Kagemaru Himeno;;;https://images.pokemontcg.io/pop4/16.png;;POP Series 4
17;Rare Holo;;;Deoxys ex;Pokémon;Psychic;386;Hiromichi Sugiyama;;;https://images.pokemontcg.io/pop4/17.png;;POP Series 4
