number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Chenipan;Caterpie;Pokémon;Grass;10;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_1.png;;https://images.pokemontcg.io/sm1/1.png;;Sun & Moon
2;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_2.png;;https://images.pokemontcg.io/sm1/2.png;;Sun & Moon
3;Rare;;Papilusion;Butterfree;Pokémon;Grass;12;chibi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_3.png;;https://images.pokemontcg.io/sm1/3.png;;Sun & Moon
4;Common;;Paras;Paras;Pokémon;Grass;46;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_4.png;;https://images.pokemontcg.io/sm1/4.png;;Sun & Moon
5;Rare;;Parasect;Parasect;Pokémon;Grass;47;Eri Yamaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_5.png;;https://images.pokemontcg.io/sm1/5.png;;Sun & Moon
6;Uncommon;;Scarabrute;Pinsir;Pokémon;Grass;127;DemizuPosuka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_6.png;;https://images.pokemontcg.io/sm1/6.png;;Sun & Moon
7;Common;;Arakdo;Surskit;Pokémon;Grass;283;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_7.png;;https://images.pokemontcg.io/sm1/7.png;;Sun & Moon
8;Rare;;Maskadra;Masquerain;Pokémon;Grass;284;miki kudo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_8.png;;https://images.pokemontcg.io/sm1/8.png;;Sun & Moon
9;Common;;Brindibou;Rowlet;Pokémon;Grass;722;Megumi Mizutani;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_9.png;;https://images.pokemontcg.io/sm1/9.png;;Sun & Moon
10;Uncommon;;Efflèche;Dartrix;Pokémon;Grass;723;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_10.png;;https://images.pokemontcg.io/sm1/10.png;;Sun & Moon
11;Rare;;Archéduc;Decidueye;Pokémon;Grass;724;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_11.png;;https://images.pokemontcg.io/sm1/11.png;;Sun & Moon
12;Ultra;GX;Archéduc-GX;Decidueye-GX;Pokémon;Grass;724;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_12.png;;https://images.pokemontcg.io/sm1/12.png;;Sun & Moon
13;Common;;Larvibule;Grubbin;Pokémon;Grass;736;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_13.png;;https://images.pokemontcg.io/sm1/13.png;;Sun & Moon
14;Common;;Mimantis;Fomantis;Pokémon;Grass;753;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_14.png;;https://images.pokemontcg.io/sm1/14.png;;Sun & Moon
15;Ultra;GX;Floramantis-GX;Lurantis-GX;Pokémon;Grass;754;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_15.png;;https://images.pokemontcg.io/sm1/15.png;;Sun & Moon
16;Common;;Spododo;Morelull;Pokémon;Grass;755;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_16.png;;https://images.pokemontcg.io/sm1/16.png;;Sun & Moon
17;Rare Holo;;Lampignon;Shiinotic;Pokémon;Grass;756;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_17.png;;https://images.pokemontcg.io/sm1/17.png;;Sun & Moon
18;Common;;Croquine;Bounsweet;Pokémon;Grass;761;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_18.png;;https://images.pokemontcg.io/sm1/18.png;;Sun & Moon
19;Uncommon;;Candine;Steenee;Pokémon;Grass;762;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_19.png;;https://images.pokemontcg.io/sm1/19.png;;Sun & Moon
20;Rare Holo;;Sucreine;Tsareena;Pokémon;Grass;763;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_20.png;;https://images.pokemontcg.io/sm1/20.png;;Sun & Moon
21;Common;;Caninos;Growlithe;Pokémon;Fire;58;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_21.png;;https://images.pokemontcg.io/sm1/21.png;;Sun & Moon
22;Rare Holo;;Arcanin;Arcanine;Pokémon;Fire;59;kodama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_22.png;;https://images.pokemontcg.io/sm1/22.png;;Sun & Moon
23;Common;;Chartor;Torkoal;Pokémon;Fire;324;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_23.png;;https://images.pokemontcg.io/sm1/23.png;;Sun & Moon
24;Common;;Flamiaou;Litten;Pokémon;Fire;725;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_24.png;;https://images.pokemontcg.io/sm1/24.png;;Sun & Moon
25;Uncommon;;Matoufeu;Torracat;Pokémon;Fire;726;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_25.png;;https://images.pokemontcg.io/sm1/25.png;;Sun & Moon
26;Rare;;Félinferno;Incineroar;Pokémon;Fire;727;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_26.png;;https://images.pokemontcg.io/sm1/26.png;;Sun & Moon
27;Ultra;GX;Félinferno-GX;Incineroar-GX;Pokémon;Fire;727;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_27.png;;https://images.pokemontcg.io/sm1/27.png;;Sun & Moon
28;Common;;Psykokwak;Psyduck;Pokémon;Water;54;Shibuzoh.;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_28.png;;https://images.pokemontcg.io/sm1/28.png;;Sun & Moon
29;Rare;;Akwakwak;Golduck;Pokémon;Water;55;Hasuno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_29.png;;https://images.pokemontcg.io/sm1/29.png;;Sun & Moon
30;Common;;Ptitard;Poliwag;Pokémon;Water;60;Asako Ito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_30.png;;https://images.pokemontcg.io/sm1/30.png;;Sun & Moon
31;Uncommon;;Têtarte;Poliwhirl;Pokémon;Water;61;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_31.png;;https://images.pokemontcg.io/sm1/31.png;;Sun & Moon
32;Rare Holo;;Tartard;Poliwrath;Pokémon;Water;62;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_32.png;;https://images.pokemontcg.io/sm1/32.png;;Sun & Moon
33;Common;;Kokiyas;Shellder;Pokémon;Water;90;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_33.png;;https://images.pokemontcg.io/sm1/33.png;;Sun & Moon
34;Rare;;Crustabri;Cloyster;Pokémon;Water;91;Yoshinobu Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_34.png;;https://images.pokemontcg.io/sm1/34.png;;Sun & Moon
35;Ultra;GX;Lokhlass-GX;Lapras-GX;Pokémon;Water;131;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_35.png;;https://images.pokemontcg.io/sm1/35.png;;Sun & Moon
36;Uncommon;;Corayon;Corsola;Pokémon;Water;222;Satoshi Shirai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_36.png;;https://images.pokemontcg.io/sm1/36.png;;Sun & Moon
37;Common;;Goelise;Wingull;Pokémon;Water;278;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_37.png;;https://images.pokemontcg.io/sm1/37.png;;Sun & Moon
38;Uncommon;;Bekipan;Pelipper;Pokémon;Water;279;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_38.png;;https://images.pokemontcg.io/sm1/38.png;;Sun & Moon
39;Common;;Otaquin;Popplio;Pokémon;Water;728;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_39.png;;https://images.pokemontcg.io/sm1/39.png;;Sun & Moon
40;Uncommon;;Otarlette;Brionne;Pokémon;Water;729;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM1/SM1_FR_40.png;;https://images.pokemontcg.io/sm1/40.png;;Sun & Moon
