number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Chétiflor;Bellsprout;Pokémon;Grass;69;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM2/SM2_FR_1.png;;https://images.pokemontcg.io/sm2/1.png;;Guardians Rising
2;Uncommon;;Boustiflor;Weepinbell;Pokémon;Grass;70;Mina Nakai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM2/SM2_FR_2.png;;https://images.pokemontcg.io/sm2/2.png;;Guardians Rising
3;Rare;;Empiflor;Victreebel;Pokémon;Grass;71;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM2/SM2_FR_3.png;;https://images.pokemontcg.io/sm2/3.png;;Guardians Rising
4;Common;;Chlorobule;Petilil;Pokémon;Grass;548;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM2/SM2_FR_4.png;;https://images.pokemontcg.io/sm2/4.png;;Guardians Rising
5;Rare;;Fragilady;Lilligant;Pokémon;Grass;549;You Iribi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM2/SM2_FR_5.png;;https://images.pokemontcg.io/sm2/5.png;;Guardians Rising
6;Common;;Brocélôme;Phantump;Pokémon;Grass;708;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM2/SM2_FR_6.png;;https://images.pokemontcg.io/sm2/6.png;;Guardians Rising
7;Rare;;Désséliande;Trevenant;Pokémon;Grass;709;Hiroyuki Yamamoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM2/SM2_FR_7.png;;https://images.pokemontcg.io/sm2/7.png;;Guardians Rising
8;Common;;Sovkipou;Wimpod;Pokémon;Grass;767;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM2/SM2_FR_8.png;;https://images.pokemontcg.io/sm2/8.png;;Guardians Rising
9;Rare Holo;;Sarmuraï;Golisopod;Pokémon;Grass;768;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM2/SM2_FR_9.png;;https://images.pokemontcg.io/sm2/9.png;;Guardians Rising
10;Rare Holo;;Victini;Victini;Pokémon;Fire;494;kodama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM2/SM2_FR_10.png;;https://images.pokemontcg.io/sm2/10.png;;Guardians Rising
