number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Bulbizarre;Bulbasaur;Pokémon;Grass;1;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_1.png;;https://images.pokemontcg.io/sm35/1.png;;Shining Legends
2;Common;;Herbizarre;Ivysaur;Pokémon;Grass;2;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_2.png;;https://images.pokemontcg.io/sm35/2.png;;Shining Legends
3;Uncommon;;Florizarre;Venusaur;Pokémon;Grass;3;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_3.png;;https://images.pokemontcg.io/sm35/3.png;;Shining Legends
4;Common;;Balignon;Shroomish;Pokémon;Grass;285;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_4.png;;https://images.pokemontcg.io/sm35/4.png;;Shining Legends
5;Common;;Chapignon;Breloom;Pokémon;Grass;286;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_5.png;;https://images.pokemontcg.io/sm35/5.png;;Shining Legends
6;Uncommon;;Vortente;Carnivine;Pokémon;Grass;455;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_6.png;;https://images.pokemontcg.io/sm35/6.png;;Shining Legends
7;Rare Holo;;Shaymin;Shaymin (Sky Forme);Pokémon;Grass;492;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_7.png;;https://images.pokemontcg.io/sm35/7.png;;Shining Legends
8;Rare Holo;;Viridium;Virizion;Pokémon;Grass;640;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_8.png;;https://images.pokemontcg.io/sm35/8.png;;Shining Legends
9;Ultra;Brillant;Genesect Brillant;Shining Genesect;Pokémon;Grass;649;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_9.png;;https://images.pokemontcg.io/sm35/9.png;;Shining Legends
10;Ultra;GX;Entei-GX;Entei-GX;Pokémon;Fire;244;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_10.png;;https://images.pokemontcg.io/sm35/10.png;;Shining Legends
11;Common;;Chartor;Torkoal;Pokémon;Fire;324;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_11.png;;https://images.pokemontcg.io/sm35/11.png;;Shining Legends
12;Common;;Pyronille;Larvesta;Pokémon;Fire;636;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_12.png;;https://images.pokemontcg.io/sm35/12.png;;Shining Legends
13;Uncommon;;Pyrax;Volcarona;Pokémon;Fire;637;nagimiso;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_13.png;;https://images.pokemontcg.io/sm35/13.png;;Shining Legends
14;Rare Holo;;Reshiram;Reshiram;Pokémon;Fire;643;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_14.png;;https://images.pokemontcg.io/sm35/14.png;;Shining Legends
15;Common;;Flamiaou;Litten;Pokémon;Fire;725;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_15.png;;https://images.pokemontcg.io/sm35/15.png;;Shining Legends
16;Common;;Matoufeu;Torracat;Pokémon;Fire;726;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_16.png;;https://images.pokemontcg.io/sm35/16.png;;Shining Legends
17;Uncommon;;Félinferno;Incineroar;Pokémon;Fire;727;Emi Ando;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_17.png;;https://images.pokemontcg.io/sm35/17.png;;Shining Legends
18;Common;;Kaiminus;Totodile;Pokémon;Water;158;TOKIYA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_18.png;;https://images.pokemontcg.io/sm35/18.png;;Shining Legends
19;Common;;Crocrodil;Croconaw;Pokémon;Water;159;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_19.png;;https://images.pokemontcg.io/sm35/19.png;;Shining Legends
20;Uncommon;;Aligatueur;Feraligatr;Pokémon;Water;160;nagimiso;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_20.png;;https://images.pokemontcg.io/sm35/20.png;;Shining Legends
21;Common;;Qwilfish;Qwilfish;Pokémon;Water;211;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_21.png;;https://images.pokemontcg.io/sm35/21.png;;Shining Legends
22;Common;;Mustébouée;Buizel;Pokémon;Water;418;Sekio;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_22.png;;https://images.pokemontcg.io/sm35/22.png;;Shining Legends
23;Uncommon;;Mustéflott;Floatzel;Pokémon;Water;419;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_23.png;;https://images.pokemontcg.io/sm35/23.png;;Shining Legends
24;Rare Holo;;Palkia;Palkia;Pokémon;Water;484;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_24.png;;https://images.pokemontcg.io/sm35/24.png;;Shining Legends
25;Rare Holo;;Manaphy;Manaphy;Pokémon;Water;490;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_25.png;;https://images.pokemontcg.io/sm35/25.png;;Shining Legends
26;Rare Holo;;Keldeo;Keldeo;Pokémon;Water;647;kodama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_26.png;;https://images.pokemontcg.io/sm35/26.png;;Shining Legends
27;Ultra;Brillant;Volcanion Brillant;Shining Volcanion;Pokémon;Water;721;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_27.png;;https://images.pokemontcg.io/sm35/27.png;;Shining Legends
28;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_28.png;;https://images.pokemontcg.io/sm35/28.png;;Shining Legends
29;Ultra;GX;Raichu-GX;Raichu-GX;Pokémon;Lightning;26;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_29.png;;https://images.pokemontcg.io/sm35/29.png;;Shining Legends
30;Common;;Voltorbe;Voltorb;Pokémon;Lightning;100;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_30.png;;https://images.pokemontcg.io/sm35/30.png;;Shining Legends
31;Uncommon;;Électrode;Electrode;Pokémon;Lightning;101;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_31.png;;https://images.pokemontcg.io/sm35/31.png;;Shining Legends
32;Rare Holo;;Raikou;Raikou;Pokémon;Lightning;243;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_32.png;;https://images.pokemontcg.io/sm35/32.png;;Shining Legends
33;Common;;Posipi;Plusle;Pokémon;Lightning;311;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_33.png;;https://images.pokemontcg.io/sm35/33.png;;Shining Legends
34;Common;;Negapi;Minun;Pokémon;Lightning;312;nagimiso;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_34.png;;https://images.pokemontcg.io/sm35/34.png;;Shining Legends
35;Rare Holo;;Zekrom;Zekrom;Pokémon;Lightning;644;nagimiso;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM35/SM35_FR_35.png;;https://images.pokemontcg.io/sm35/35.png;;Shining Legends
