number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Noeunoeuf;Exeggcute;Pokémon;Grass;102;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_1.png;;https://images.pokemontcg.io/sm6/1.png;;Forbidden Light
2;Rare;;Noadkoko d'Alola;Alolan Exeggutor;Pokémon;Grass;103;Satoshi Shirai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_2.png;;https://images.pokemontcg.io/sm6/2.png;;Forbidden Light
3;Common;;Blizzi;Snover;Pokémon;Grass;459;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_3.png;;https://images.pokemontcg.io/sm6/3.png;;Forbidden Light
4;Rare;;Blizzaroi;Abomasnow;Pokémon;Grass;460;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_4.png;;https://images.pokemontcg.io/sm6/4.png;;Forbidden Light
5;Common;;Lépidonille;Scatterbug;Pokémon;Grass;664;kirisAki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_5.png;;https://images.pokemontcg.io/sm6/5.png;;Forbidden Light
6;Common;;Lépidonille;Scatterbug;Pokémon;Grass;664;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_6.png;;https://images.pokemontcg.io/sm6/6.png;;Forbidden Light
7;Uncommon;;Pérégrain;Spewpa;Pokémon;Grass;665;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_7.png;;https://images.pokemontcg.io/sm6/7.png;;Forbidden Light
8;Rare;;Prismillon;Vivillon;Pokémon;Grass;666;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_8.png;;https://images.pokemontcg.io/sm6/8.png;;Forbidden Light
9;Common;;Cabriolaine;Skiddo;Pokémon;Grass;672;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_9.png;;https://images.pokemontcg.io/sm6/9.png;;Forbidden Light
10;Uncommon;;Chevroum;Gogoat;Pokémon;Grass;673;Anesaki Dynamic;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_10.png;;https://images.pokemontcg.io/sm6/10.png;;Forbidden Light
11;Rare;;Cancrelove;Pheromosa;Pokémon;Grass;795;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_11.png;;https://images.pokemontcg.io/sm6/11.png;;Forbidden Light
12;Rare;;Ossatueur d'Alola;Alolan Marowak;Pokémon;Fire;105;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_12.png;;https://images.pokemontcg.io/sm6/12.png;;Forbidden Light
13;Rare;;Heatran;Heatran;Pokémon;Fire;485;tetsuya koizumi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_13.png;;https://images.pokemontcg.io/sm6/13.png;;Forbidden Light
14;Common;;Feunnec;Fennekin;Pokémon;Fire;653;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_14.png;;https://images.pokemontcg.io/sm6/14.png;;Forbidden Light
15;Common;;Feunnec;Fennekin;Pokémon;Fire;653;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_15.png;;https://images.pokemontcg.io/sm6/15.png;;Forbidden Light
16;Uncommon;;Roussil;Braixen;Pokémon;Fire;654;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_16.png;;https://images.pokemontcg.io/sm6/16.png;;Forbidden Light
17;Rare Holo;;Goupelin;Delphox;Pokémon;Fire;655;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_17.png;;https://images.pokemontcg.io/sm6/17.png;;Forbidden Light
18;Common;;Hélionceau;Litleo;Pokémon;Fire;667;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_18.png;;https://images.pokemontcg.io/sm6/18.png;;Forbidden Light
19;Rare Holo;;Némélios;Pyroar;Pokémon;Fire;668;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_19.png;;https://images.pokemontcg.io/sm6/19.png;;Forbidden Light
20;Ultra;GX;Palkia-GX;Palkia-GX;Pokémon;Water;484;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_20.png;;https://images.pokemontcg.io/sm6/20.png;;Forbidden Light
21;Common;;Grenousse;Froakie;Pokémon;Water;656;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_21.png;;https://images.pokemontcg.io/sm6/21.png;;Forbidden Light
22;Common;;Grenousse;Froakie;Pokémon;Water;656;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_22.png;;https://images.pokemontcg.io/sm6/22.png;;Forbidden Light
23;Uncommon;;Croâporal;Frogadier;Pokémon;Water;657;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_23.png;;https://images.pokemontcg.io/sm6/23.png;;Forbidden Light
24;Ultra;GX;Amphinobi-GX;Greninja-GX;Pokémon;Water;658;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_24.png;;https://images.pokemontcg.io/sm6/24.png;;Forbidden Light
25;Common;;Flingouste;Clauncher;Pokémon;Water;692;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_25.png;;https://images.pokemontcg.io/sm6/25.png;;Forbidden Light
26;Rare;;Gamblast;Clawitzer;Pokémon;Water;693;otumami;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_26.png;;https://images.pokemontcg.io/sm6/26.png;;Forbidden Light
27;Uncommon;;Amagara;Amaura;Pokémon;Water;698;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_27.png;;https://images.pokemontcg.io/sm6/27.png;;Forbidden Light
28;Rare Holo;;Dragmara;Aurorus;Pokémon;Water;699;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_28.png;;https://images.pokemontcg.io/sm6/28.png;;Forbidden Light
29;Common;;Grelaçon;Bergmite;Pokémon;Water;712;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_29.png;;https://images.pokemontcg.io/sm6/29.png;;Forbidden Light
30;Rare;;Séracrawl;Avalugg;Pokémon;Water;713;sowsow;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_30.png;;https://images.pokemontcg.io/sm6/30.png;;Forbidden Light
31;Ultra;Prisme;Volcanion Prisme Étoile;Volcanion ◇;Pokémon;Water;721;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_31.png;;https://images.pokemontcg.io/sm6/31.png;;Forbidden Light
32;Common;;Araqua;Dewpider;Pokémon;Water;751;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_32.png;;https://images.pokemontcg.io/sm6/32.png;;Forbidden Light
33;Uncommon;;Tarenbulle;Araquanid;Pokémon;Water;752;kodama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_33.png;;https://images.pokemontcg.io/sm6/33.png;;Forbidden Light
34;Common;;Magneti;Magnemite;Pokémon;Lightning;81;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_34.png;;https://images.pokemontcg.io/sm6/34.png;;Forbidden Light
35;Uncommon;;Magneton;Magneton;Pokémon;Lightning;82;kirisAki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_35.png;;https://images.pokemontcg.io/sm6/35.png;;Forbidden Light
36;Rare;;Magnézone;Magnezone;Pokémon;Lightning;462;Yoshinobu Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_36.png;;https://images.pokemontcg.io/sm6/36.png;;Forbidden Light
37;Common;;Galvaran;Helioptile;Pokémon;Lightning;694;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_37.png;;https://images.pokemontcg.io/sm6/37.png;;Forbidden Light
38;Uncommon;;Iguolta;Heliolisk;Pokémon;Lightning;695;otumami;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_38.png;;https://images.pokemontcg.io/sm6/38.png;;Forbidden Light
39;Rare;;Câblifère;Xurkitree;Pokémon;Lightning;796;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_39.png;;https://images.pokemontcg.io/sm6/39.png;;Forbidden Light
40;Rare;;Motisma;Rotom;Pokémon;Psychic;479;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_40.png;;https://images.pokemontcg.io/sm6/40.png;;Forbidden Light
41;Uncommon;;Crehelf;Uxie;Pokémon;Psychic;480;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_41.png;;https://images.pokemontcg.io/sm6/41.png;;Forbidden Light
42;Uncommon;;Crefollet;Mesprit;Pokémon;Psychic;481;kodama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM6/SM6_FR_42.png;;https://images.pokemontcg.io/sm6/42.png;;Forbidden Light
