number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Chenipan;Caterpie;Pokémon;Grass;10;Sekio;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_1.png;;https://images.pokemontcg.io/sm3/1.png;;Burning Shadows
2;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_2.png;;https://images.pokemontcg.io/sm3/2.png;;Burning Shadows
3;Rare;;Papilusion;Butterfree;Pokémon;Grass;12;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_3.png;;https://images.pokemontcg.io/sm3/3.png;;Burning Shadows
4;Common;;Mystherbe;Oddish;Pokémon;Grass;43;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_4.png;;https://images.pokemontcg.io/sm3/4.png;;Burning Shadows
5;Uncommon;;Ortide;Gloom;Pokémon;Grass;44;Shibuzoh.;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_5.png;;https://images.pokemontcg.io/sm3/5.png;;Burning Shadows
6;Rare Holo;;Rafflésia;Vileplume;Pokémon;Grass;45;chibi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_6.png;;https://images.pokemontcg.io/sm3/6.png;;Burning Shadows
7;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;Shibuzoh.;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_7.png;;https://images.pokemontcg.io/sm3/7.png;;Burning Shadows
8;Rare;;Bouldeneu;Tangrowth;Pokémon;Grass;465;tetsuya koizumi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_8.png;;https://images.pokemontcg.io/sm3/8.png;;Burning Shadows
9;Common;;Coxy;Ledyba;Pokémon;Grass;165;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_9.png;;https://images.pokemontcg.io/sm3/9.png;;Burning Shadows
10;Rare;;Coxyclaque;Ledian;Pokémon;Grass;166;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_10.png;;https://images.pokemontcg.io/sm3/10.png;;Burning Shadows
11;Rare;;Scarhino;Heracross;Pokémon;Grass;214;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_11.png;;https://images.pokemontcg.io/sm3/11.png;;Burning Shadows
12;Common;;Feuillajou;Pansage;Pokémon;Grass;511;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_12.png;;https://images.pokemontcg.io/sm3/12.png;;Burning Shadows
13;Uncommon;;Feuiloutan;Simisage;Pokémon;Grass;512;tetsuya koizumi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_13.png;;https://images.pokemontcg.io/sm3/13.png;;Burning Shadows
14;Common;;Araqua;Dewpider;Pokémon;Grass;751;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_14.png;;https://images.pokemontcg.io/sm3/14.png;;Burning Shadows
15;Rare;;Tarenbulle;Araquanid;Pokémon;Grass;752;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_15.png;;https://images.pokemontcg.io/sm3/15.png;;Burning Shadows
16;Common;;Sovkipou;Wimpod;Pokémon;Grass;767;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_16.png;;https://images.pokemontcg.io/sm3/16.png;;Burning Shadows
17;Ultra;GX;Sarmuraï-GX;Golisopod-GX;Pokémon;Grass;768;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_17.png;;https://images.pokemontcg.io/sm3/17.png;;Burning Shadows
18;Common;;Salamèche;Charmander;Pokémon;Fire;4;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_18.png;;https://images.pokemontcg.io/sm3/18.png;;Burning Shadows
19;Uncommon;;Reptincel;Charmeleon;Pokémon;Fire;5;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_19.png;;https://images.pokemontcg.io/sm3/19.png;;Burning Shadows
20;Ultra;GX;Dracaufeu-GX;Charizard-GX;Pokémon;Fire;6;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_20.png;;https://images.pokemontcg.io/sm3/20.png;;Burning Shadows
21;Ultra;GX;Ho-Oh-GX;Ho-Oh-GX;Pokémon;Fire;250;PLANETA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_21.png;;https://images.pokemontcg.io/sm3/21.png;;Burning Shadows
22;Common;;Flamajou;Pansear;Pokémon;Fire;513;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_22.png;;https://images.pokemontcg.io/sm3/22.png;;Burning Shadows
23;Uncommon;;Flamoutan;Simisear;Pokémon;Fire;514;kirisAki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_23.png;;https://images.pokemontcg.io/sm3/23.png;;Burning Shadows
24;Uncommon;;Aflamanoir;Heatmor;Pokémon;Fire;631;Anesaki Dynamic;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_24.png;;https://images.pokemontcg.io/sm3/24.png;;Burning Shadows
25;Ultra;GX;Malamandre-GX;Salazzle-GX;Pokémon;Fire;758;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_25.png;;https://images.pokemontcg.io/sm3/25.png;;Burning Shadows
26;Rare;;Boumata;Turtonator;Pokémon;Fire;776;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_26.png;;https://images.pokemontcg.io/sm3/26.png;;Burning Shadows
27;Common;;Goupix d'Alola;Alolan Vulpix;Pokémon;Water;37;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_27.png;;https://images.pokemontcg.io/sm3/27.png;;Burning Shadows
28;Rare;;Feunard d'Alola;Alolan Ninetales;Pokémon;Water;38;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_28.png;;https://images.pokemontcg.io/sm3/28.png;;Burning Shadows
29;Common;;Hypotrempe;Horsea;Pokémon;Water;116;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_29.png;;https://images.pokemontcg.io/sm3/29.png;;Burning Shadows
30;Uncommon;;Hypocéan;Seadra;Pokémon;Water;117;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_30.png;;https://images.pokemontcg.io/sm3/30.png;;Burning Shadows
31;Rare Holo;;Hyporoi;Kingdra;Pokémon;Water;230;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_31.png;;https://images.pokemontcg.io/sm3/31.png;;Burning Shadows
32;Common;;Magicarpe;Magikarp;Pokémon;Water;129;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_32.png;;https://images.pokemontcg.io/sm3/32.png;;Burning Shadows
33;Rare Holo;;Léviator;Gyarados;Pokémon;Water;130;so-taro;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_33.png;;https://images.pokemontcg.io/sm3/33.png;;Burning Shadows
34;Common;;Marill;Marill;Pokémon;Water;183;Asako Ito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_34.png;;https://images.pokemontcg.io/sm3/34.png;;Burning Shadows
35;Rare;;Azumarill;Azumarill;Pokémon;Water;184;miki kudo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_35.png;;https://images.pokemontcg.io/sm3/35.png;;Burning Shadows
36;Common;;Flotajou;Panpour;Pokémon;Water;515;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_36.png;;https://images.pokemontcg.io/sm3/36.png;;Burning Shadows
37;Uncommon;;Flotoutan;Simipour;Pokémon;Water;516;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_37.png;;https://images.pokemontcg.io/sm3/37.png;;Burning Shadows
38;Rare;;Denticrisse;Bruxish;Pokémon;Water;779;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_38.png;;https://images.pokemontcg.io/sm3/38.png;;Burning Shadows
39;Ultra;GX;Tokopisco-GX;Tapu Fini-GX;Pokémon;Water;;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_39.png;;https://images.pokemontcg.io/sm3/39.png;;Burning Shadows
40;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_40.png;;https://images.pokemontcg.io/sm3/40.png;;Burning Shadows
41;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_41.png;;https://images.pokemontcg.io/sm3/41.png;;Burning Shadows
42;Uncommon;;Elektek;Electabuzz;Pokémon;Lightning;125;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM3/SM3_FR_42.png;;https://images.pokemontcg.io/sm3/42.png;;Burning Shadows
