number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Chétiflor;Bellsprout;Pokémon;Grass;69;Masako Yamashita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_1.png;;https://images.pokemontcg.io/sm7/1.png;;Celestial Storm
2;Uncommon;;Boustiflor;Weepinbell;Pokémon;Grass;70;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_2.png;;https://images.pokemontcg.io/sm7/2.png;;Celestial Storm
3;Rare Holo;;Empiflor;Victreebel;Pokémon;Grass;71;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_3.png;;https://images.pokemontcg.io/sm7/3.png;;Celestial Storm
4;Uncommon;;Insécateur;Scyther;Pokémon;Grass;123;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_4.png;;https://images.pokemontcg.io/sm7/4.png;;Celestial Storm
5;Common;;Mimigal;Spinarak;Pokémon;Grass;167;Sachiko Adachi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_5.png;;https://images.pokemontcg.io/sm7/5.png;;Celestial Storm
6;Rare Holo;;Migalos;Ariados;Pokémon;Grass;168;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_6.png;;https://images.pokemontcg.io/sm7/6.png;;Celestial Storm
7;Common;;Arcko;Treecko;Pokémon;Grass;252;Sekio;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_7.png;;https://images.pokemontcg.io/sm7/7.png;;Celestial Storm
8;Common;;Arcko;Treecko;Pokémon;Grass;252;tetsuya koizumi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_8.png;;https://images.pokemontcg.io/sm7/8.png;;Celestial Storm
9;Uncommon;;Massko;Grovyle;Pokémon;Grass;253;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_9.png;;https://images.pokemontcg.io/sm7/9.png;;Celestial Storm
10;Rare;;Jungko;Sceptile;Pokémon;Grass;254;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_10.png;;https://images.pokemontcg.io/sm7/10.png;;Celestial Storm
11;Common;;Grainipiot;Seedot;Pokémon;Grass;273;miki kudo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_11.png;;https://images.pokemontcg.io/sm7/11.png;;Celestial Storm
12;Common;;Grainipiot;Seedot;Pokémon;Grass;273;Misa Tsutsui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_12.png;;https://images.pokemontcg.io/sm7/12.png;;Celestial Storm
13;Uncommon;;Pifeuil;Nuzleaf;Pokémon;Grass;274;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_13.png;;https://images.pokemontcg.io/sm7/13.png;;Celestial Storm
14;Ultra;GX;Tengalice-GX;Shiftry-GX;Pokémon;Grass;275;PLANETA Igarashi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_14.png;;https://images.pokemontcg.io/sm7/14.png;;Celestial Storm
15;Common;;Arakdo;Surskit;Pokémon;Grass;283;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_15.png;;https://images.pokemontcg.io/sm7/15.png;;Celestial Storm
16;Uncommon;;Maskadra;Masquerain;Pokémon;Grass;284;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_16.png;;https://images.pokemontcg.io/sm7/16.png;;Celestial Storm
17;Uncommon;;Muciole;Volbeat;Pokémon;Grass;313;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_17.png;;https://images.pokemontcg.io/sm7/17.png;;Celestial Storm
18;Uncommon;;Lumivole;Illumise;Pokémon;Grass;314;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_18.png;;https://images.pokemontcg.io/sm7/18.png;;Celestial Storm
19;Common;;Cacnéa;Cacnea;Pokémon;Grass;331;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_19.png;;https://images.pokemontcg.io/sm7/19.png;;Celestial Storm
20;Uncommon;;Cacturne;Cacturne;Pokémon;Grass;332;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_20.png;;https://images.pokemontcg.io/sm7/20.png;;Celestial Storm
21;Uncommon;;Tropius;Tropius;Pokémon;Grass;357;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_21.png;;https://images.pokemontcg.io/sm7/21.png;;Celestial Storm
22;Rare;;Sinistrail;Dhelmise;Pokémon;Grass;781;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_22.png;;https://images.pokemontcg.io/sm7/22.png;;Celestial Storm
23;Common;;Limagma;Slugma;Pokémon;Fire;218;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_23.png;;https://images.pokemontcg.io/sm7/23.png;;Celestial Storm
24;Rare;;Volcaropod;Magcargo;Pokémon;Fire;219;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_24.png;;https://images.pokemontcg.io/sm7/24.png;;Celestial Storm
25;Common;;Poussifeu;Torchic;Pokémon;Fire;255;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_25.png;;https://images.pokemontcg.io/sm7/25.png;;Celestial Storm
26;Common;;Poussifeu;Torchic;Pokémon;Fire;255;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_26.png;;https://images.pokemontcg.io/sm7/26.png;;Celestial Storm
27;Uncommon;;Galifeu;Combusken;Pokémon;Fire;256;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_27.png;;https://images.pokemontcg.io/sm7/27.png;;Celestial Storm
28;Ultra;GX;Braségali-GX;Blaziken-GX;Pokémon;Fire;257;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_28.png;;https://images.pokemontcg.io/sm7/28.png;;Celestial Storm
29;Uncommon;;Chartor;Torkoal;Pokémon;Fire;324;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_29.png;;https://images.pokemontcg.io/sm7/29.png;;Celestial Storm
30;Uncommon;;Plumeline;Oricorio;Pokémon;Fire;741;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_30.png;;https://images.pokemontcg.io/sm7/30.png;;Celestial Storm
31;Ultra;GX;Artikodin-GX;Articuno-GX;Pokémon;Water;144;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_31.png;;https://images.pokemontcg.io/sm7/31.png;;Celestial Storm
32;Common;;Gobou;Mudkip;Pokémon;Water;258;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_32.png;;https://images.pokemontcg.io/sm7/32.png;;Celestial Storm
33;Common;;Gobou;Mudkip;Pokémon;Water;258;Misa Tsutsui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_33.png;;https://images.pokemontcg.io/sm7/33.png;;Celestial Storm
34;Uncommon;;Flobio;Marshtomp;Pokémon;Water;259;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_34.png;;https://images.pokemontcg.io/sm7/34.png;;Celestial Storm
35;Rare;;Laggron;Swampert;Pokémon;Water;260;SATOSHI NAKAI;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_35.png;;https://images.pokemontcg.io/sm7/35.png;;Celestial Storm
36;Common;;Nenupiot;Lotad;Pokémon;Water;270;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_36.png;;https://images.pokemontcg.io/sm7/36.png;;Celestial Storm
37;Uncommon;;Lombre;Lombre;Pokémon;Water;271;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_37.png;;https://images.pokemontcg.io/sm7/37.png;;Celestial Storm
38;Rare Holo;;Ludicolo;Ludicolo;Pokémon;Water;272;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_38.png;;https://images.pokemontcg.io/sm7/38.png;;Celestial Storm
39;Common;;Wailmer;Wailmer;Pokémon;Water;320;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_39.png;;https://images.pokemontcg.io/sm7/39.png;;Celestial Storm
40;Rare;;Wailord;Wailord;Pokémon;Water;321;Anesaki Dynamic;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_40.png;;https://images.pokemontcg.io/sm7/40.png;;Celestial Storm
41;Common;;Coquiperl;Clamperl;Pokémon;Water;366;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_41.png;;https://images.pokemontcg.io/sm7/41.png;;Celestial Storm
42;Uncommon;;Serpang;Huntail;Pokémon;Water;367;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_42.png;;https://images.pokemontcg.io/sm7/42.png;;Celestial Storm
43;Uncommon;;Rosabyss;Gorebyss;Pokémon;Water;368;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_43.png;;https://images.pokemontcg.io/sm7/43.png;;Celestial Storm
44;Common;;Luvdisc;Luvdisc;Pokémon;Water;370;Asako Ito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_44.png;;https://images.pokemontcg.io/sm7/44.png;;Celestial Storm
45;Rare;;Regice;Regice;Pokémon;Water;378;kodama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_45.png;;https://images.pokemontcg.io/sm7/45.png;;Celestial Storm
46;Rare Holo;;Kyogre;Kyogre;Pokémon;Water;382;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_46.png;;https://images.pokemontcg.io/sm7/46.png;;Celestial Storm
47;Common;;Voltorbe;Voltorb;Pokémon;Lightning;100;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_47.png;;https://images.pokemontcg.io/sm7/47.png;;Celestial Storm
48;Ultra;GX;Électrode-GX;Electrode-GX;Pokémon;Lightning;101;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_48.png;;https://images.pokemontcg.io/sm7/48.png;;Celestial Storm
49;Common;;Loupio;Chinchou;Pokémon;Lightning;170;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_49.png;;https://images.pokemontcg.io/sm7/49.png;;Celestial Storm
50;Uncommon;;Lanturn;Lanturn;Pokémon;Lightning;171;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_50.png;;https://images.pokemontcg.io/sm7/50.png;;Celestial Storm
51;Common;;Dynavolt;Electrike;Pokémon;Lightning;309;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_51.png;;https://images.pokemontcg.io/sm7/51.png;;Celestial Storm
52;Rare;;Elecsprint;Manectric;Pokémon;Lightning;310;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_52.png;;https://images.pokemontcg.io/sm7/52.png;;Celestial Storm
53;Uncommon;;Posipi;Plusle;Pokémon;Lightning;311;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_53.png;;https://images.pokemontcg.io/sm7/53.png;;Celestial Storm
54;Uncommon;;Negapi;Minun;Pokémon;Lightning;312;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_54.png;;https://images.pokemontcg.io/sm7/54.png;;Celestial Storm
55;Uncommon;;Plumeline;Oricorio;Pokémon;Lightning;741;Sekio;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_55.png;;https://images.pokemontcg.io/sm7/55.png;;Celestial Storm
56;Ultra;GX;M. Mime-GX;Mr. Mime-GX;Pokémon;Psychic;122;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_56.png;;https://images.pokemontcg.io/sm7/56.png;;Celestial Storm
57;Common;;Gloupti;Gulpin;Pokémon;Psychic;316;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_57.png;;https://images.pokemontcg.io/sm7/57.png;;Celestial Storm
58;Uncommon;;Avaltout;Swalot;Pokémon;Psychic;317;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_58.png;;https://images.pokemontcg.io/sm7/58.png;;Celestial Storm
59;Common;;Spoink;Spoink;Pokémon;Psychic;325;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_59.png;;https://images.pokemontcg.io/sm7/59.png;;Celestial Storm
60;Rare;;Groret;Grumpig;Pokémon;Psychic;326;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_60.png;;https://images.pokemontcg.io/sm7/60.png;;Celestial Storm
61;Rare Holo;;Séléroc;Lunatone;Pokémon;Psychic;337;Hisao Nakamura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_61.png;;https://images.pokemontcg.io/sm7/61.png;;Celestial Storm
62;Uncommon;;Solaroc;Solrock;Pokémon;Psychic;338;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_62.png;;https://images.pokemontcg.io/sm7/62.png;;Celestial Storm
63;Common;;Polichombr;Shuppet;Pokémon;Psychic;353;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_63.png;;https://images.pokemontcg.io/sm7/63.png;;Celestial Storm
64;Common;;Polichombr;Shuppet;Pokémon;Psychic;353;Eri Yamaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_64.png;;https://images.pokemontcg.io/sm7/64.png;;Celestial Storm
65;Rare;;Branette;Banette;Pokémon;Psychic;354;Eri Yamaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_65.png;;https://images.pokemontcg.io/sm7/65.png;;Celestial Storm
66;Ultra;GX;Branette-GX;Banette-GX;Pokémon;Psychic;354;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_66.png;;https://images.pokemontcg.io/sm7/66.png;;Celestial Storm
67;Rare Holo;;Deoxys;Deoxys;Pokémon;Psychic;386;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_67.png;;https://images.pokemontcg.io/sm7/67.png;;Celestial Storm
68;Rare;;Deoxys;Deoxys;Pokémon;Psychic;386;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_68.png;;https://images.pokemontcg.io/sm7/68.png;;Celestial Storm
69;Rare;;Deoxys;Deoxys;Pokémon;Psychic;386;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_69.png;;https://images.pokemontcg.io/sm7/69.png;;Celestial Storm
70;Rare Holo;;Lunala;Lunala;Pokémon;Psychic;792;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_70.png;;https://images.pokemontcg.io/sm7/70.png;;Celestial Storm
71;Common;;Onix;Onix;Pokémon;Fighting;95;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_71.png;;https://images.pokemontcg.io/sm7/71.png;;Celestial Storm
72;Common;;Phanpy;Phanpy;Pokémon;Fighting;231;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM7/SM7_FR_72.png;;https://images.pokemontcg.io/sm7/72.png;;Celestial Storm
