number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_1.png;;https://images.pokemontcg.io/sm8/1.png;;Lost Thunder
2;Rare;;Bouldeneu;Tangrowth;Pokémon;Grass;465;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_2.png;;https://images.pokemontcg.io/sm8/2.png;;Lost Thunder
3;Common;;Insécateur;Scyther;Pokémon;Grass;123;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_3.png;;https://images.pokemontcg.io/sm8/3.png;;Lost Thunder
4;Uncommon;;Scarabrute;Pinsir;Pokémon;Grass;127;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_4.png;;https://images.pokemontcg.io/sm8/4.png;;Lost Thunder
5;Common;;Germignon;Chikorita;Pokémon;Grass;152;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_5.png;;https://images.pokemontcg.io/sm8/5.png;;Lost Thunder
6;Common;;Germignon;Chikorita;Pokémon;Grass;152;sowsow;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_6.png;;https://images.pokemontcg.io/sm8/6.png;;Lost Thunder
7;Uncommon;;Macronium;Bayleef;Pokémon;Grass;153;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_7.png;;https://images.pokemontcg.io/sm8/7.png;;Lost Thunder
8;Rare Holo;;Méganium;Meganium;Pokémon;Grass;154;nagimiso;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_8.png;;https://images.pokemontcg.io/sm8/8.png;;Lost Thunder
9;Common;;Mimigal;Spinarak;Pokémon;Grass;167;Misa Tsutsui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_9.png;;https://images.pokemontcg.io/sm8/9.png;;Lost Thunder
10;Uncommon;;Migalos;Ariados;Pokémon;Grass;168;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_10.png;;https://images.pokemontcg.io/sm8/10.png;;Lost Thunder
11;Common;;Granivol;Hoppip;Pokémon;Grass;187;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_11.png;;https://images.pokemontcg.io/sm8/11.png;;Lost Thunder
12;Common;;Granivol;Hoppip;Pokémon;Grass;187;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_12.png;;https://images.pokemontcg.io/sm8/12.png;;Lost Thunder
13;Uncommon;;Floravol;Skiploom;Pokémon;Grass;188;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_13.png;;https://images.pokemontcg.io/sm8/13.png;;Lost Thunder
14;Rare Holo;;Cotovol;Jumpluff;Pokémon;Grass;189;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_14.png;;https://images.pokemontcg.io/sm8/14.png;;Lost Thunder
15;Common;;Pomdepik;Pineco;Pokémon;Grass;204;Misa Tsutsui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_15.png;;https://images.pokemontcg.io/sm8/15.png;;Lost Thunder
16;Uncommon;;Caratroc;Shuckle;Pokémon;Grass;213;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/SM8/SM8_FR_16.png;;https://images.pokemontcg.io/sm8/16.png;;Lost Thunder
