number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Absol G;Absol G;Pokémon;Darkness;359;Yusuke Ishikawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_1.png;;https://images.pokemontcg.io/pl3/1.png;;Supreme Victors
2;Rare Holo;;Brasegali FB;Blaziken FB;Pokémon;Fire;257;Motofumi Fujiwara;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_2.png;;https://images.pokemontcg.io/pl3/2.png;;Supreme Victors
3;Rare Holo;;Grodrive FB;Drifblim FB;Pokémon;Psychic;426;Lee HyunJung;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_3.png;;https://images.pokemontcg.io/pl3/3.png;;Supreme Victors
4;Rare Holo;;Elekable FB;Electivire FB;Pokémon;Lightning;466;Hironobu Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_4.png;;https://images.pokemontcg.io/pl3/4.png;;Supreme Victors
5;Rare Holo;;Carchacrok;Garchomp;Pokémon;Colorless;445;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_5.png;;https://images.pokemontcg.io/pl3/5.png;;Supreme Victors
6;Rare Holo;;Maganon;Magmortar;Pokémon;Fire;467;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_6.png;;https://images.pokemontcg.io/pl3/6.png;;Supreme Victors
7;Rare Holo;;Metalosse;Metagross;Pokémon;Metal;376;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_7.png;;https://images.pokemontcg.io/pl3/7.png;;Supreme Victors
8;Rare Holo;;Rayquaza C;Rayquaza C;Pokémon;Colorless;384;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_8.png;;https://images.pokemontcg.io/pl3/8.png;;Supreme Victors
9;Rare Holo;;Regigigas FB;Regigigas FB;Pokémon;Colorless;486;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_9.png;;https://images.pokemontcg.io/pl3/9.png;;Supreme Victors
10;Rare Holo;;Rhinastoc;Rhyperior;Pokémon;Fighting;464;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_10.png;;https://images.pokemontcg.io/pl3/10.png;;Supreme Victors
11;Rare Holo;;Etouraptor FB;Staraptor FB;Pokémon;Colorless;398;Hiroki Fuchino;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_11.png;;https://images.pokemontcg.io/pl3/11.png;;Supreme Victors
12;Rare Holo;;Laggron;Swampert;Pokémon;Water;260;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_12.png;;https://images.pokemontcg.io/pl3/12.png;;Supreme Victors
13;Rare Holo;;Florizarre;Venusaur;Pokémon;Grass;3;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_13.png;;https://images.pokemontcg.io/pl3/13.png;;Supreme Victors
14;Rare Holo;;Yanmega;Yanmega;Pokémon;Grass;469;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_14.png;;https://images.pokemontcg.io/pl3/14.png;;Supreme Victors
15;Rare;;Arcanin G;Arcanine G;Pokémon;Fire;59;Yusuke Ishikawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_15.png;;https://images.pokemontcg.io/pl3/15.png;;Supreme Victors
16;Rare;;Artikodin;Articuno;Pokémon;Water;144;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_16.png;;https://images.pokemontcg.io/pl3/16.png;;Supreme Victors
17;Rare;;Papilusion FB;Butterfree FB;Pokémon;Grass;12;Lee HyunJung;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_17.png;;https://images.pokemontcg.io/pl3/17.png;;Supreme Victors
18;Rare;;Camerupt;Camerupt;Pokémon;Fire;323;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_18.png;;https://images.pokemontcg.io/pl3/18.png;;Supreme Victors
19;Rare;;Camerupt G;Camerupt G;Pokémon;Fire;323;Ryota Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_19.png;;https://images.pokemontcg.io/pl3/19.png;;Supreme Victors
20;Rare;;Dracaufeu G;Charizard G;Pokémon;Fire;6;Wataru Kawahara;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_20.png;;https://images.pokemontcg.io/pl3/20.png;;Supreme Victors
21;Rare;;Eoko;Chimecho;Pokémon;Psychic;358;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_21.png;;https://images.pokemontcg.io/pl3/21.png;;Supreme Victors
22;Rare;;Kaorine;Claydol;Pokémon;Psychic;344;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_22.png;;https://images.pokemontcg.io/pl3/22.png;;Supreme Victors
23;Rare;;Colhomard G;Crawdaunt G;Pokémon;Darkness;342;Wataru Kawahara;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_23.png;;https://images.pokemontcg.io/pl3/23.png;;Supreme Victors
24;Rare;;Lamantine;Dewgong;Pokémon;Water;87;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_24.png;;https://images.pokemontcg.io/pl3/24.png;;Supreme Victors
25;Rare;;Dodrio;Dodrio;Pokémon;Colorless;85;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_25.png;;https://images.pokemontcg.io/pl3/25.png;;Supreme Victors
26;Rare;;Noctunoir FB;Dusknoir FB;Pokémon;Psychic;477;Motofumi Fujiwara;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_26.png;;https://images.pokemontcg.io/pl3/26.png;;Supreme Victors
27;Rare;;Pingoleon FB;Empoleon FB;Pokémon;Water;395;Hiroki Fuchino;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_27.png;;https://images.pokemontcg.io/pl3/27.png;;Supreme Victors
28;Rare;;Brouhabam;Exploud;Pokémon;Colorless;295;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_28.png;;https://images.pokemontcg.io/pl3/28.png;;Supreme Victors
29;Rare;;Corboss;Honchkrow;Pokémon;Darkness;430;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_29.png;;https://images.pokemontcg.io/pl3/29.png;;Supreme Victors
30;Rare;;Coudlangue C;Lickilicky C;Pokémon;Colorless;463;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_30.png;;https://images.pokemontcg.io/pl3/30.png;;Supreme Victors
31;Rare;;Lucario C;Lucario C;Pokémon;Fighting;448;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_31.png;;https://images.pokemontcg.io/pl3/31.png;;Supreme Victors
32;Rare;;Séléroc;Lunatone;Pokémon;Psychic;337;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL3/PL3_FR_32.png;;https://images.pokemontcg.io/pl3/32.png;;Supreme Victors
