number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Ultra;EX;Florizarre-EX;Venusaur-EX;Pokémon;Grass;3;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_1.png;;https://images.pokemontcg.io/xy12/1.png;;Evolutions
2;Ultra;M EX;Méga Florizarre-EX;M Venusaur-EX;Pokémon;Grass;3;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_2.png;;https://images.pokemontcg.io/xy12/2.png;;Evolutions
3;Common;;Chenipan;Caterpie;Pokémon;Grass;10;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_3.png;;https://images.pokemontcg.io/xy12/3.png;;Evolutions
4;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_4.png;;https://images.pokemontcg.io/xy12/4.png;;Evolutions
5;Common;;Aspicot;Weedle;Pokémon;Grass;13;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_5.png;;https://images.pokemontcg.io/xy12/5.png;;Evolutions
6;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;Keiji Kinebuchi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_6.png;;https://images.pokemontcg.io/xy12/6.png;;Evolutions
7;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_7.png;;https://images.pokemontcg.io/xy12/7.png;;Evolutions
8;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_8.png;;https://images.pokemontcg.io/xy12/8.png;;Evolutions
9;Common;;Salamèche;Charmander;Pokémon;Fire;4;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_9.png;;https://images.pokemontcg.io/xy12/9.png;;Evolutions
10;Uncommon;;Reptincel;Charmeleon;Pokémon;Fire;5;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_10.png;;https://images.pokemontcg.io/xy12/10.png;;Evolutions
11;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_11.png;;https://images.pokemontcg.io/xy12/11.png;;Evolutions
12;Ultra;EX;Dracaufeu-EX;Charizard-EX;Pokémon;Fire;6;PLANETA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_12.png;;https://images.pokemontcg.io/xy12/12.png;;Evolutions
13;Ultra;M EX;Méga Dracaufeu-EX;M Charizard-EX;Pokémon;Fire;6;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_13.png;;https://images.pokemontcg.io/xy12/13.png;;Evolutions
14;Common;;Goupix;Vulpix;Pokémon;Fire;37;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_14.png;;https://images.pokemontcg.io/xy12/14.png;;Evolutions
15;Rare Holo;;Feunard;Ninetales;Pokémon;Fire;38;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_15.png;;https://images.pokemontcg.io/xy12/15.png;;Evolutions
16;Ultra;TURBO;Feunard TURBO;Ninetales BREAK;Pokémon;Fire;38;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_16.png;;https://images.pokemontcg.io/xy12/16.png;;Evolutions
17;Common;;Caninos;Growlithe;Pokémon;Fire;58;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_17.png;;https://images.pokemontcg.io/xy12/17.png;;Evolutions
18;Rare;;Arcanin;Arcanine;Pokémon;Fire;59;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_18.png;;https://images.pokemontcg.io/xy12/18.png;;Evolutions
19;Common;;Ponyta;Ponyta;Pokémon;Fire;77;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_19.png;;https://images.pokemontcg.io/xy12/19.png;;Evolutions
20;Uncommon;;Magmar;Magmar;Pokémon;Fire;126;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_20.png;;https://images.pokemontcg.io/xy12/20.png;;Evolutions
21;Ultra;EX;Tortank-EX;Blastoise-EX;Pokémon;Water;9;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_21.png;;https://images.pokemontcg.io/xy12/21.png;;Evolutions
22;Ultra;M EX;Méga Tortank-EX;M Blastoise-EX;Pokémon;Water;9;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_22.png;;https://images.pokemontcg.io/xy12/22.png;;Evolutions
23;Common;;Ptitard;Poliwag;Pokémon;Water;60;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_23.png;;https://images.pokemontcg.io/xy12/23.png;;Evolutions
24;Uncommon;;Têtarte;Poliwhirl;Pokémon;Water;61;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_24.png;;https://images.pokemontcg.io/xy12/24.png;;Evolutions
25;Rare Holo;;Tartard;Poliwrath;Pokémon;Water;62;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_25.png;;https://images.pokemontcg.io/xy12/25.png;;Evolutions
26;Ultra;EX;Flagadoss-EX;Slowbro-EX;Pokémon;Water;80;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY12/XY12_FR_26.png;;https://images.pokemontcg.io/xy12/26.png;;Evolutions
