number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Ultra;EX;Florizarre-EX;Venusaur-EX;Pokémon;Grass;3;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_1.png;;https://images.pokemontcg.io/g1/1.png;;Generations
2;Ultra;M EX;Méga Florizarre-EX;M Venusaur-EX;Pokémon;Grass;3;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_2.png;;https://images.pokemontcg.io/g1/2.png;;Generations
3;Common;;Chenipan;Caterpie;Pokémon;Grass;10;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_3.png;;https://images.pokemontcg.io/g1/3.png;;Generations
4;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_4.png;;https://images.pokemontcg.io/g1/4.png;;Generations
5;Rare Holo;;Papilusion;Butterfree;Pokémon;Grass;12;miki kudo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_5.png;;https://images.pokemontcg.io/g1/5.png;;Generations
6;Common;;Paras;Paras;Pokémon;Grass;46;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_6.png;;https://images.pokemontcg.io/g1/6.png;;Generations
7;Rare;;Parasect;Parasect;Pokémon;Grass;47;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_7.png;;https://images.pokemontcg.io/g1/7.png;;Generations
8;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_8.png;;https://images.pokemontcg.io/g1/8.png;;Generations
9;Rare;;Scarabrute;Pinsir;Pokémon;Grass;127;Satoshi Shirai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_9.png;;https://images.pokemontcg.io/g1/9.png;;Generations
10;Ultra;EX;Phyllali-EX;Leafeon-EX;Pokémon;Grass;470;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_10.png;;https://images.pokemontcg.io/g1/10.png;;Generations
11;Ultra;EX;Dracaufeu-EX;Charizard-EX;Pokémon;Fire;6;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_11.png;;https://images.pokemontcg.io/g1/11.png;;Generations
12;Ultra;M EX;Méga Dracaufeu-EX;M Charizard-EX;Pokémon;Fire;6;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_12.png;;https://images.pokemontcg.io/g1/12.png;;Generations
13;Ultra;EX;Feunard-EX;Ninetales-EX;Pokémon;Fire;38;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_13.png;;https://images.pokemontcg.io/g1/13.png;;Generations
14;Common;;Ponyta;Ponyta;Pokémon;Fire;77;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_14.png;;https://images.pokemontcg.io/g1/14.png;;Generations
15;Rare;;Galopa;Rapidash;Pokémon;Fire;78;DemizuPosuka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_15.png;;https://images.pokemontcg.io/g1/15.png;;Generations
16;Common;;Magmar;Magmar;Pokémon;Fire;126;Hideki Ishikawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_16.png;;https://images.pokemontcg.io/g1/16.png;;Generations
17;Ultra;EX;Tortank-EX;Blastoise-EX;Pokémon;Water;9;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_17.png;;https://images.pokemontcg.io/g1/17.png;;Generations
18;Ultra;M EX;Méga Tortank-EX;M Blastoise-EX;Pokémon;Water;9;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_18.png;;https://images.pokemontcg.io/g1/18.png;;Generations
19;Common;;Kokiyas;Shellder;Pokémon;Water;90;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_19.png;;https://images.pokemontcg.io/g1/19.png;;Generations
20;Uncommon;;Crustabri;Cloyster;Pokémon;Water;91;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_20.png;;https://images.pokemontcg.io/g1/20.png;;Generations
21;Common;;Krabby;Krabby;Pokémon;Water;98;kirisAki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_21.png;;https://images.pokemontcg.io/g1/21.png;;Generations
22;Common;;Magicarpe;Magikarp;Pokémon;Water;129;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_22.png;;https://images.pokemontcg.io/g1/22.png;;Generations
23;Rare;;Léviator;Gyarados;Pokémon;Water;130;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_23.png;;https://images.pokemontcg.io/g1/23.png;;Generations
24;Ultra;EX;Aquali-EX;Vaporeon-EX;Pokémon;Water;134;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_24.png;;https://images.pokemontcg.io/g1/24.png;;Generations
25;Ultra;FA;Artikodin;Articuno;Pokémon;Water;144;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_25.png;;https://images.pokemontcg.io/g1/25.png;;Generations
26;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_26.png;;https://images.pokemontcg.io/g1/26.png;;Generations
27;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_27.png;;https://images.pokemontcg.io/g1/27.png;;Generations
28;Ultra;EX;Voltali-EX;Jolteon-EX;Pokémon;Lightning;135;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_28.png;;https://images.pokemontcg.io/g1/28.png;;Generations
29;Ultra;FA;Electhor;Zapdos;Pokémon;Lightning;145;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_29.png;;https://images.pokemontcg.io/g1/29.png;;Generations
30;Common;;Nosférapti;Zubat;Pokémon;Lightning;41;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_30.png;;https://images.pokemontcg.io/g1/30.png;;Generations
31;Uncommon;;Nosféralto;Golbat;Pokémon;Psychic;42;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_31.png;;https://images.pokemontcg.io/g1/31.png;;Generations
32;Common;;Ramoloss;Slowpoke;Pokémon;Psychic;79;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_32.png;;https://images.pokemontcg.io/g1/32.png;;Generations
33;Common;;Fantominus;Gastly;Pokémon;Psychic;92;kodama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_33.png;;https://images.pokemontcg.io/g1/33.png;;Generations
34;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_34.png;;https://images.pokemontcg.io/g1/34.png;;Generations
35;Rare Holo;;Ectoplasma;Gengar;Pokémon;Psychic;94;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_35.png;;https://images.pokemontcg.io/g1/35.png;;Generations
36;Rare;;Lippoutou;Jynx;Pokémon;Psychic;124;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_36.png;;https://images.pokemontcg.io/g1/36.png;;Generations
37;Ultra;EX;Mistigrix-EX;Meowstic-EX;Pokémon;Psychic;678;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_37.png;;https://images.pokemontcg.io/g1/37.png;;Generations
38;Common;;Taupiqueur;Diglett;Pokémon;Fighting;50;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_38.png;;https://images.pokemontcg.io/g1/38.png;;Generations
39;Rare;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_39.png;;https://images.pokemontcg.io/g1/39.png;;Generations
40;Common;;Machoc;Machop;Pokémon;Fighting;66;Mina Nakai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_40.png;;https://images.pokemontcg.io/g1/40.png;;Generations
41;Uncommon;;Machopeur;Machoke;Pokémon;Fighting;67;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_41.png;;https://images.pokemontcg.io/g1/41.png;;Generations
42;Rare Holo;;Mackogneur;Machamp;Pokémon;Fighting;68;PLANETA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_42.png;;https://images.pokemontcg.io/g1/42.png;;Generations
43;Common;;Racaillou;Geodude;Pokémon;Fighting;74;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_43.png;;https://images.pokemontcg.io/g1/43.png;;Generations
44;Uncommon;;Gravalanch;Graveler;Pokémon;Fighting;75;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_44.png;;https://images.pokemontcg.io/g1/44.png;;Generations
45;Rare Holo;;Grolem;Golem;Pokémon;Fighting;76;Hasuno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_45.png;;https://images.pokemontcg.io/g1/45.png;;Generations
46;Ultra;EX;Grolem-EX;Golem-EX;Pokémon;Fighting;76;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_46.png;;https://images.pokemontcg.io/g1/46.png;;Generations
47;Rare;;Kicklee;Hitmonlee;Pokémon;Fighting;106;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_47.png;;https://images.pokemontcg.io/g1/47.png;;Generations
48;Rare;;Tygnon;Hitmonchan;Pokémon;Fighting;107;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_48.png;;https://images.pokemontcg.io/g1/48.png;;Generations
49;Common;;Rhinocorne;Rhyhorn;Pokémon;Fighting;111;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/G1/G1_FR_49.png;;https://images.pokemontcg.io/g1/49.png;;Generations
