number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Uncommon;;Caratroc;Shuckle;Pokémon;Grass;213;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_1.png;;https://images.pokemontcg.io/xy10/1.png;;Fates Collide
2;Common;;Cheniti;Burmy;Pokémon;Grass;412;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_2.png;;https://images.pokemontcg.io/xy10/2.png;;Fates Collide
3;Uncommon;;Cheniselle;Wormadam;Pokémon;Grass;413;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_3.png;;https://images.pokemontcg.io/xy10/3.png;;Fates Collide
4;Rare;;Papilord;Mothim;Pokémon;Grass;414;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_4.png;;https://images.pokemontcg.io/xy10/4.png;;Fates Collide
5;Common;;Vipélierre;Snivy;Pokémon;Grass;495;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_5.png;;https://images.pokemontcg.io/xy10/5.png;;Fates Collide
6;Uncommon;;Lianaja;Servine;Pokémon;Grass;496;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_6.png;;https://images.pokemontcg.io/xy10/6.png;;Fates Collide
7;Rare;;Majaspic;Serperior;Pokémon;Grass;497;You Iribi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_7.png;;https://images.pokemontcg.io/xy10/7.png;;Fates Collide
8;Common;;Vivaldaim;Deerling;Pokémon;Grass;585;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_8.png;;https://images.pokemontcg.io/xy10/8.png;;Fates Collide
9;Rare;;Sulfura;Moltres;Pokémon;Fire;146;OOYAMA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_9.png;;https://images.pokemontcg.io/xy10/9.png;;Fates Collide
10;Common;;Feunnec;Fennekin;Pokémon;Fire;653;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_10.png;;https://images.pokemontcg.io/xy10/10.png;;Fates Collide
11;Common;;Feunnec;Fennekin;Pokémon;Fire;653;kirisAki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY10/XY10_FR_11.png;;https://images.pokemontcg.io/xy10/11.png;;Fates Collide
