number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;;;Aspicot;Weedle;Pokémon;Grass;13;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_1.png;;https://images.pokemontcg.io/xy0/1.png;;Kalos Starter Set
2;;;Feuillajou;Pansage;Pokémon;Grass;511;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_2.png;;https://images.pokemontcg.io/xy0/2.png;;Kalos Starter Set
3;;;Marisson;Chespin;Pokémon;Grass;650;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_3.png;;https://images.pokemontcg.io/xy0/3.png;;Kalos Starter Set
4;;;Boguérisse;Quilladin;Pokémon;Grass;651;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_4.png;;https://images.pokemontcg.io/xy0/4.png;;Kalos Starter Set
5;;;Blindépique;Chesnaught;Pokémon;Grass;652;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_5.png;;https://images.pokemontcg.io/xy0/5.png;;Kalos Starter Set
6;;;Limagma;Slugma;Pokémon;Fire;218;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_6.png;;https://images.pokemontcg.io/xy0/6.png;;Kalos Starter Set
7;;;Flamajou;Pansear;Pokémon;Fire;513;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_7.png;;https://images.pokemontcg.io/xy0/7.png;;Kalos Starter Set
8;;;Feunnec;Fennekin;Pokémon;Fire;653;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_8.png;;https://images.pokemontcg.io/xy0/8.png;;Kalos Starter Set
9;;;Roussil;Braixen;Pokémon;Fire;654;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_9.png;;https://images.pokemontcg.io/xy0/9.png;;Kalos Starter Set
10;;;Goupelin;Delphox;Pokémon;Fire;655;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_10.png;;https://images.pokemontcg.io/xy0/10.png;;Kalos Starter Set
11;;;Flotajou;Panpour;Pokémon;Water;515;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_11.png;;https://images.pokemontcg.io/xy0/11.png;;Kalos Starter Set
12;;;Grenousse;Froakie;Pokémon;Water;656;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_12.png;;https://images.pokemontcg.io/xy0/12.png;;Kalos Starter Set
13;;;Croâporal;Frogadier;Pokémon;Water;657;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY0/XY0_FR_13.png;;https://images.pokemontcg.io/xy0/13.png;;Kalos Starter Set
