number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;OOYAMA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_1.png;;https://images.pokemontcg.io/xy11/1.png;;Steam Siege
2;Uncommon;;Bouldeneu;Tangrowth;Pokémon;Grass;465;kirisAki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_2.png;;https://images.pokemontcg.io/xy11/2.png;;Steam Siege
3;Common;;Granivol;Hoppip;Pokémon;Grass;187;Mina Nakai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_3.png;;https://images.pokemontcg.io/xy11/3.png;;Steam Siege
4;Uncommon;;Floravol;Skiploom;Pokémon;Grass;188;Eri Yamaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_4.png;;https://images.pokemontcg.io/xy11/4.png;;Steam Siege
5;Rare;;Cotovol;Jumpluff;Pokémon;Grass;189;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_5.png;;https://images.pokemontcg.io/xy11/5.png;;Steam Siege
6;Common;;Yanma;Yanma;Pokémon;Grass;193;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_6.png;;https://images.pokemontcg.io/xy11/6.png;;Steam Siege
7;Rare;;Yanmega;Yanmega;Pokémon;Grass;469;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_7.png;;https://images.pokemontcg.io/xy11/7.png;;Steam Siege
8;Ultra;TURBO;Yanmega TURBO;Yanmega BREAK;Pokémon;Grass;469;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_8.png;;https://images.pokemontcg.io/xy11/8.png;;Steam Siege
9;Common;;Grainipiot;Seedot;Pokémon;Grass;273;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_9.png;;https://images.pokemontcg.io/xy11/9.png;;Steam Siege
10;Uncommon;;Pifeuil;Nuzleaf;Pokémon;Grass;274;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_10.png;;https://images.pokemontcg.io/xy11/10.png;;Steam Siege
11;Rare Holo;;Tengalice;Shiftry;Pokémon;Grass;275;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_11.png;;https://images.pokemontcg.io/xy11/11.png;;Steam Siege
12;Common;;Trompignon;Foongus;Pokémon;Grass;590;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_12.png;;https://images.pokemontcg.io/xy11/12.png;;Steam Siege
13;Rare;;Gaulet;Amoonguss;Pokémon;Grass;591;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_13.png;;https://images.pokemontcg.io/xy11/13.png;;Steam Siege
14;Common;;Pyronille;Larvesta;Pokémon;Grass;636;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_14.png;;https://images.pokemontcg.io/xy11/14.png;;Steam Siege
15;Rare;;Pyrax;Volcarona;Pokémon;Grass;637;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_15.png;;https://images.pokemontcg.io/xy11/15.png;;Steam Siege
16;Common;;Ponyta;Ponyta;Pokémon;Fire;77;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_16.png;;https://images.pokemontcg.io/xy11/16.png;;Steam Siege
17;Uncommon;;Galopa;Rapidash;Pokémon;Fire;78;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_17.png;;https://images.pokemontcg.io/xy11/17.png;;Steam Siege
18;Common;;Ouisticram;Chimchar;Pokémon;Fire;390;Shibuzoh.;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_18.png;;https://images.pokemontcg.io/xy11/18.png;;Steam Siege
19;Uncommon;;Chimpenfeu;Monferno;Pokémon;Fire;391;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_19.png;;https://images.pokemontcg.io/xy11/19.png;;Steam Siege
20;Rare Holo;;Simiabraz;Infernape;Pokémon;Fire;392;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_20.png;;https://images.pokemontcg.io/xy11/20.png;;Steam Siege
21;Ultra;TURBO;Flambusard TURBO;Talonflame BREAK;Pokémon;Fire;663;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_21.png;;https://images.pokemontcg.io/xy11/21.png;;Steam Siege
22;Common;;Hélionceau;Litleo;Pokémon;Fire;667;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_22.png;;https://images.pokemontcg.io/xy11/22.png;;Steam Siege
23;Rare;;Némélios;Pyroar;Pokémon;Fire;668;Yumi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_23.png;;https://images.pokemontcg.io/xy11/23.png;;Steam Siege
24;Ultra;TURBO;Némélios TURBO;Pyroar BREAK;Pokémon;Fire;668;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_24.png;;https://images.pokemontcg.io/xy11/24.png;;Steam Siege
25;Rare;;Volcanion;Volcanion;Pokémon;Fire;721;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_25.png;;https://images.pokemontcg.io/xy11/25.png;;Steam Siege
26;Ultra;EX;Volcanion-EX;Volcanion-EX;Pokémon;Fire;721;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_26.png;;https://images.pokemontcg.io/xy11/26.png;;Steam Siege
27;Common;;Demanta;Mantine;Pokémon;Water;226;DemizuPosuka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_27.png;;https://images.pokemontcg.io/xy11/27.png;;Steam Siege
28;Common;;Sancoki;Shellos;Pokémon;Water;422;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_28.png;;https://images.pokemontcg.io/xy11/28.png;;Steam Siege
29;Rare;;Tritosor;Gastrodon;Pokémon;Water;423;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_29.png;;https://images.pokemontcg.io/xy11/29.png;;Steam Siege
30;Common;;Moustillon;Oshawott;Pokémon;Water;501;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_30.png;;https://images.pokemontcg.io/xy11/30.png;;Steam Siege
31;Uncommon;;Mateloutre;Dewott;Pokémon;Water;502;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_31.png;;https://images.pokemontcg.io/xy11/31.png;;Steam Siege
32;Rare;;Clamiral;Samurott;Pokémon;Water;503;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_32.png;;https://images.pokemontcg.io/xy11/32.png;;Steam Siege
33;Common;;Flingouste;Clauncher;Pokémon;Water;692;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_33.png;;https://images.pokemontcg.io/xy11/33.png;;Steam Siege
34;Rare;;Gamblast;Clawitzer;Pokémon;Water;693;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_34.png;;https://images.pokemontcg.io/xy11/34.png;;Steam Siege
35;Ultra;TURBO;Gamblast TURBO;Clawitzer BREAK;Pokémon;Water;693;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_35.png;;https://images.pokemontcg.io/xy11/35.png;;Steam Siege
36;Common;;Grelaçon;Bergmite;Pokémon;Water;712;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_36.png;;https://images.pokemontcg.io/xy11/36.png;;Steam Siege
37;Rare;;Séracrawl;Avalugg;Pokémon;Water;713;Saya Tsuruta;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_37.png;;https://images.pokemontcg.io/xy11/37.png;;Steam Siege
38;Common;;Wattouat;Mareep;Pokémon;Lightning;179;Eri Yamaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_38.png;;https://images.pokemontcg.io/xy11/38.png;;Steam Siege
39;Uncommon;;Lainergie;Flaaffy;Pokémon;Lightning;180;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_39.png;;https://images.pokemontcg.io/xy11/39.png;;Steam Siege
40;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY11/XY11_FR_40.png;;https://images.pokemontcg.io/xy11/40.png;;Steam Siege
