number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Chétiflor;Bellsprout;Pokémon;Grass;69;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_1.png;;https://images.pokemontcg.io/xy3/1.png;;Furious Fists
2;Uncommon;;Boustiflor;Weepinbell;Pokémon;Grass;70;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_2.png;;https://images.pokemontcg.io/xy3/2.png;;Furious Fists
3;Rare Holo;;Empiflor;Victreebel;Pokémon;Grass;71;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_3.png;;https://images.pokemontcg.io/xy3/3.png;;Furious Fists
4;Ultra;EX;Scarhino-EX;Heracross-EX;Pokémon;Grass;214;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_4.png;;https://images.pokemontcg.io/xy3/4.png;;Furious Fists
5;Ultra;M EX;Méga Scarhino-EX;M Heracross-EX;Pokémon;Grass;214;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_5.png;;https://images.pokemontcg.io/xy3/5.png;;Furious Fists
6;Common;;Balignon;Shroomish;Pokémon;Grass;285;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_6.png;;https://images.pokemontcg.io/xy3/6.png;;Furious Fists
7;Rare;;Phyllali;Leafeon;Pokémon;Grass;470;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_7.png;;https://images.pokemontcg.io/xy3/7.png;;Furious Fists
8;Common;;Escargaume;Shelmet;Pokémon;Grass;616;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_8.png;;https://images.pokemontcg.io/xy3/8.png;;Furious Fists
9;Uncommon;;Limaspeed;Accelgor;Pokémon;Grass;617;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_9.png;;https://images.pokemontcg.io/xy3/9.png;;Furious Fists
10;Common;;Magmar;Magmar;Pokémon;Fire;126;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_10.png;;https://images.pokemontcg.io/xy3/10.png;;Furious Fists
11;Rare;;Maganon;Magmortar;Pokémon;Fire;467;PLANETA;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_11.png;;https://images.pokemontcg.io/xy3/11.png;;Furious Fists
12;Common;;Poussifeu;Torchic;Pokémon;Fire;255;Sanosuke Sakuma;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY3/XY3_FR_12.png;;https://images.pokemontcg.io/xy3/12.png;;Furious Fists
