number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Common;;Aspicot;Weedle;Pokémon;Grass;13;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY5/XY5_FR_1.png;;https://images.pokemontcg.io/xy5/1.png;;Primal Clash
2;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY5/XY5_FR_2.png;;https://images.pokemontcg.io/xy5/2.png;;Primal Clash
3;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY5/XY5_FR_3.png;;https://images.pokemontcg.io/xy5/3.png;;Primal Clash
4;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY5/XY5_FR_4.png;;https://images.pokemontcg.io/xy5/4.png;;Primal Clash
5;Rare;;Bouldeneu;Tangrowth;Pokémon;Grass;465;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY5/XY5_FR_5.png;;https://images.pokemontcg.io/xy5/5.png;;Primal Clash
6;Common;;Arcko;Treecko;Pokémon;Grass;252;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY5/XY5_FR_6.png;;https://images.pokemontcg.io/xy5/6.png;;Primal Clash
7;Uncommon;;Massko;Grovyle;Pokémon;Grass;253;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY5/XY5_FR_7.png;;https://images.pokemontcg.io/xy5/7.png;;Primal Clash
8;Rare;;Jungko;Sceptile;Pokémon;Grass;254;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY5/XY5_FR_8.png;;https://images.pokemontcg.io/xy5/8.png;;Primal Clash
9;Rare Holo;;Jungko;Sceptile;Pokémon;Grass;254;hatachu;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY5/XY5_FR_9.png;;https://images.pokemontcg.io/xy5/9.png;;Primal Clash
10;Common;;Nenupiot;Lotad;Pokémon;Grass;270;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY5/XY5_FR_10.png;;https://images.pokemontcg.io/xy5/10.png;;Primal Clash
