number;rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;Mélodelfe;Clefable;Pokémon;Colorless;36;Mitsuhiro Arita;https://www.pokepedia.fr/images/e/e0/Carte_Jungle_1.png;https://images.pokemontcg.io/base2/1.png;base2
2;2;Rare Holo;;Électrode;Electrode;Pokémon;Lightning;101;Mitsuhiro Arita;https://www.pokepedia.fr/images/1/1a/Carte_Jungle_2.png;https://images.pokemontcg.io/base2/2.png;base2
3;3;Rare Holo;;Pyroli;Flareon;Pokémon;Fire;136;Kagemaru Himeno;https://www.pokepedia.fr/images/f/fa/Carte_Jungle_3.png;https://images.pokemontcg.io/base2/3.png;base2
4;4;Rare Holo;;Voltali;Jolteon;Pokémon;Lightning;135;Kagemaru Himeno;https://www.pokepedia.fr/images/1/1f/Carte_Jungle_4.png;https://images.pokemontcg.io/base2/4.png;base2
5;5;Rare Holo;;Kangourex;Kangaskhan;Pokémon;Colorless;115;Mitsuhiro Arita;https://www.pokepedia.fr/images/4/46/Carte_Jungle_5.png;https://images.pokemontcg.io/base2/5.png;base2
6;6;Rare Holo;;M. Mime;Mr. Mime;Pokémon;Psychic;122;Ken Sugimori;https://www.pokepedia.fr/images/c/c5/Carte_Jungle_6.png;https://images.pokemontcg.io/base2/6.png;base2
7;7;Rare Holo;;Nidoqueen;Nidoqueen;Pokémon;Grass;31;Ken Sugimori;https://www.pokepedia.fr/images/f/fd/Carte_Jungle_7.png;https://images.pokemontcg.io/base2/7.png;base2
8;8;Rare Holo;;Roucarnage;Pidgeot;Pokémon;Colorless;18;Kagemaru Himeno;https://www.pokepedia.fr/images/1/15/Carte_Jungle_8.png;https://images.pokemontcg.io/base2/8.png;base2
9;9;Rare Holo;;Scarabrute;Pinsir;Pokémon;Grass;127;Kagemaru Himeno;https://www.pokepedia.fr/images/f/ff/Carte_Jungle_9.png;https://images.pokemontcg.io/base2/9.png;base2
10;10;Rare Holo;;Insécateur;Scyther;Pokémon;Grass;123;Ken Sugimori;https://www.pokepedia.fr/images/3/35/Carte_Jungle_10.png;https://images.pokemontcg.io/base2/10.png;base2
11;11;Rare Holo;;Ronflex;Snorlax;Pokémon;Colorless;143;Ken Sugimori;https://www.pokepedia.fr/images/3/3c/Carte_Jungle_11.png;https://images.pokemontcg.io/base2/11.png;base2
12;12;Rare Holo;;Aquali;Vaporeon;Pokémon;Water;134;Kagemaru Himeno;https://www.pokepedia.fr/images/d/d8/Carte_Jungle_12.png;https://images.pokemontcg.io/base2/12.png;base2
13;13;Rare Holo;;Aéromite;Venomoth;Pokémon;Grass;49;Ken Sugimori;https://www.pokepedia.fr/images/2/2a/Carte_Jungle_13.png;https://images.pokemontcg.io/base2/13.png;base2
14;14;Rare Holo;;Empiflor;Victreebel;Pokémon;Grass;71;Ken Sugimori;https://www.pokepedia.fr/images/5/5d/Carte_Jungle_14.png;https://images.pokemontcg.io/base2/14.png;base2
