rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;;;Pikachu;Pikachu;Pokémon;Lightning;25;Keiji Kinebuchi;https://www.pokepedia.fr/images/4/4a/Carte_Promo_Wizards_1.png;https://images.pokemontcg.io/basep/1.png;basep
2;2;;;Elektek;Electabuzz;Pokémon;Lightning;125;Ken Sugimori;https://www.pokepedia.fr/images/0/06/Carte_Promo_Wizards_2.png;https://images.pokemontcg.io/basep/2.png;basep
3;3;;;Mewtwo;Mewtwo;Pokémon;Psychic;150;Ken Sugimori;https://www.pokepedia.fr/images/9/91/Carte_Promo_Wizards_3.png;https://images.pokemontcg.io/basep/3.png;basep
4;4;;;Pikachu;Pikachu;Pokémon;Lightning;25;Ken Sugimori;https://www.pokepedia.fr/images/5/5a/Carte_Promo_Wizards_4.png;https://images.pokemontcg.io/basep/4.png;basep
5;5;;;Dracolosse;Dragonite;Pokémon;Colorless;149;Toshinao Aoki;https://www.pokepedia.fr/images/d/dd/Carte_Promo_Wizards_5.png;https://images.pokemontcg.io/basep/5.png;basep
6;6;;;Arcanin;Arcanine;Pokémon;Fire;59;Ken Sugimori;https://www.pokepedia.fr/images/b/b4/Carte_Promo_Wizards_6.png;https://images.pokemontcg.io/basep/6.png;basep
7;7;;;Rondoudou;Jigglypuff;Pokémon;Colorless;39;Keiji Kinebuchi;https://www.pokepedia.fr/images/d/d8/Carte_Promo_Wizards_7.png;https://images.pokemontcg.io/basep/7.png;basep
8;8;;;Mew;Mew;Pokémon;Psychic;151;Ken Sugimori;https://www.pokepedia.fr/images/a/ab/Carte_Promo_Wizards_8.png;https://images.pokemontcg.io/basep/8.png;basep
9;9;;;Mew;Mew;Pokémon;Psychic;151;Ken Sugimori;https://www.pokepedia.fr/images/7/7c/Carte_Promo_Wizards_9.png;https://images.pokemontcg.io/basep/9.png;basep
10;10;;;Miaouss;Meowth;Pokémon;Colorless;52;Kagemaru Himeno;https://www.pokepedia.fr/images/7/70/Carte_Promo_Wizards_10.png;https://images.pokemontcg.io/basep/10.png;basep
11;11;;;Evoli;Eevee;Pokémon;Colorless;133;Kagemaru Himeno;https://www.pokepedia.fr/images/f/fc/Carte_Promo_Wizards_11.png;https://images.pokemontcg.io/basep/11.png;basep
12;12;;;Mewtwo;Mewtwo;Pokémon;Psychic;150;Christopher Rush;https://www.pokepedia.fr/images/1/1d/Carte_Promo_Wizards_12.png;https://images.pokemontcg.io/basep/12.png;basep
13;13;;;Florizarre;Venusaur;Pokémon;Grass;3;Ken Sugimori;https://www.pokepedia.fr/images/a/a6/Carte_Promo_Wizards_13.png;https://images.pokemontcg.io/basep/13.png;basep
14;14;;;Mewtwo;Mewtwo;Pokémon;Psychic;150;Benimaru Itoh;https://www.pokepedia.fr/images/b/b9/Carte_Promo_Wizards_14.png;https://images.pokemontcg.io/basep/14.png;basep
15;15;;;Cool Porygon;Cool Porygon;Pokémon;Colorless;137;Hiromichi Sugiyama;https://www.pokepedia.fr/images/f/f9/Carte_Promo_Wizards_15.png;https://images.pokemontcg.io/basep/15.png;basep
16;16;;;Computer Error (Rocket's Secret Machine);Computer Error;Trainer;NoColor;;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/2/21/Carte_Promo_Wizards_16.png;https://images.pokemontcg.io/basep/16.png;basep
17;17;;;Persian Obscur;Dark Persian;Pokémon;Colorless;53;Ken Sugimori;https://www.pokepedia.fr/images/b/b2/Carte_Promo_Wizards_17.png;https://images.pokemontcg.io/basep/17.png;basep
18;18;;;Team Rocket's Meowth;Team Rocket's Meowth;Pokémon;Colorless;52;Kunihiko Yuyama;https://www.pokepedia.fr/images/7/74/Carte_Promo_Wizards_18.png;https://images.pokemontcg.io/basep/18.png;basep
19;19;;;Sabrina's Abra;Sabrina's Abra;Pokémon;Psychic;63;Atsuko Nishida;https://www.pokepedia.fr/images/a/aa/Carte_Promo_Wizards_19.png;https://images.pokemontcg.io/basep/19.png;basep
20;20;;;Psykokwak;Psyduck;Pokémon;Water;54;Kagemaru Himeno;https://www.pokepedia.fr/images/5/5c/Carte_Promo_Wizards_20.png;https://images.pokemontcg.io/basep/20.png;basep
21;21;;;Sulfura;Moltres;Pokémon;Fire;146;Toshinao Aoki;https://www.pokepedia.fr/images/a/a0/Carte_Promo_Wizards_21.png;https://images.pokemontcg.io/basep/21.png;basep
22;22;;;Artikodin;Articuno;Pokémon;Water;144;Toshinao Aoki;https://www.pokepedia.fr/images/8/86/Carte_Promo_Wizards_22.png;https://images.pokemontcg.io/basep/22.png;basep
23;23;;;Electhor;Zapdos;Pokémon;Lightning;145;Toshinao Aoki;https://www.pokepedia.fr/images/e/ed/Carte_Promo_Wizards_23.png;https://images.pokemontcg.io/basep/23.png;basep
24;24;;;Pikachu de _____;___________'s Pikachu;Pokémon;Lightning;25;Kagemaru Himeno;https://www.pokepedia.fr/images/d/de/Carte_Promo_Wizards_24.png;https://images.pokemontcg.io/basep/24.png;basep
25;25;;;Pikachu volant;Flying Pikachu;Pokémon;Lightning;25;Toshinao Aoki;https://www.pokepedia.fr/images/0/08/Carte_Promo_Wizards_25.png;https://images.pokemontcg.io/basep/25.png;basep
26;26;;;Pikachu;Pikachu;Pokémon;Lightning;25;Gakuji Nomoto;https://www.pokepedia.fr/images/7/70/Carte_Promo_Wizards_26.png;https://images.pokemontcg.io/basep/26.png;basep
27;27;;;Pikachu;Pikachu;Pokémon;Lightning;25;Atsuko Nishida;https://www.pokepedia.fr/images/9/99/Carte_Promo_Wizards_27.png;https://images.pokemontcg.io/basep/27.png;basep
28;28;;;Pikachu Surfeur;Surfing Pikachu;Pokémon;Lightning;25;Toshinao Aoki;https://www.pokepedia.fr/images/3/3b/Carte_Promo_Wizards_28.png;https://images.pokemontcg.io/basep/28.png;basep
