number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Mélodelfe;Clefable;Pokémon;Colorless;36;Mitsuhiro Arita;;;https://images.pokemontcg.io/base2/1.png;;Jungle
2;Rare Holo;;Électrode;Electrode;Pokémon;Lightning;101;Mitsuhiro Arita;https://www.pokepedia.fr/images/1/1a/Carte_Jungle_2.png;;https://images.pokemontcg.io/base2/2.png;;Jungle
3;Rare Holo;;Pyroli;Flareon;Pokémon;Fire;136;Kagemaru Himeno;;;https://images.pokemontcg.io/base2/3.png;;Jungle
4;Rare Holo;;Voltali;Jolteon;Pokémon;Lightning;135;Kagemaru Himeno;;;https://images.pokemontcg.io/base2/4.png;;Jungle
5;Rare Holo;;Kangourex;Kangaskhan;Pokémon;Colorless;115;Mitsuhiro Arita;https://www.pokepedia.fr/images/4/46/Carte_Jungle_5.png;;https://images.pokemontcg.io/base2/5.png;;Jungle
6;Rare Holo;;M. Mime;Mr. Mime;Pokémon;Psychic;122;Ken Sugimori;;;https://images.pokemontcg.io/base2/6.png;;Jungle
7;Rare Holo;;Nidoqueen;Nidoqueen;Pokémon;Grass;31;Ken Sugimori;;;https://images.pokemontcg.io/base2/7.png;;Jungle
8;Rare Holo;;Roucarnage;Pidgeot;Pokémon;Colorless;18;Kagemaru Himeno;;;https://images.pokemontcg.io/base2/8.png;;Jungle
9;Rare Holo;;Scarabrute;Pinsir;Pokémon;Grass;127;Kagemaru Himeno;;;https://images.pokemontcg.io/base2/9.png;;Jungle
10;Rare Holo;;Insécateur;Scyther;Pokémon;Grass;123;Ken Sugimori;;;https://images.pokemontcg.io/base2/10.png;;Jungle
11;Rare Holo;;Ronflex;Snorlax;Pokémon;Colorless;143;Ken Sugimori;https://www.pokepedia.fr/images/3/3c/Carte_Jungle_11.png;;https://images.pokemontcg.io/base2/11.png;;Jungle
12;Rare Holo;;Aquali;Vaporeon;Pokémon;Water;134;Kagemaru Himeno;https://www.pokepedia.fr/images/thumb/d/d8/Carte_Jungle_12.png/500px-Carte_Jungle_12.png;;https://images.pokemontcg.io/base2/12.png;;Jungle
13;Rare Holo;;Aéromite;Venomoth;Pokémon;Grass;49;Ken Sugimori;;https://www.pokepedia.fr/images/thumb/2/2a/Carte_Jungle_13.png/500px-Carte_Jungle_13.png;https://images.pokemontcg.io/base2/13.png;;Jungle
14;Rare Holo;;Empiflor;Victreebel;Pokémon;Grass;71;Ken Sugimori;;;https://images.pokemontcg.io/base2/14.png;;Jungle
15;Rare Holo;;Rafflésia;Vileplume;Pokémon;Grass;45;Keiji Kinebuchi;;;https://images.pokemontcg.io/base2/15.png;;Jungle
16;Rare Holo;;Grodoudou;Wigglytuff;Pokémon;Colorless;40;Mitsuhiro Arita;;;https://images.pokemontcg.io/base2/16.png;;Jungle
17;Rare;;Mélodelfe;Clefable;Pokémon;Colorless;36;Mitsuhiro Arita;https://www.pokepedia.fr/images/f/f1/Carte_Jungle_17.png;;https://images.pokemontcg.io/base2/17.png;;Jungle
18;Rare;;Électrode;Electrode;Pokémon;Lightning;101;Mitsuhiro Arita;;;https://images.pokemontcg.io/base2/18.png;;Jungle
19;Rare;;Pyroli;Flareon;Pokémon;Fire;136;Kagemaru Himeno;;;https://images.pokemontcg.io/base2/19.png;;Jungle
