number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Alakazam;Alakazam;Pokémon;Psychic;65;Ken Sugimori;;;https://images.pokemontcg.io/base6/1.png;;Legendary Collection
2;Rare Holo;;Artikodin;Articuno;Pokémon;Water;144;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/2.png;;Legendary Collection
3;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/3.png;;Legendary Collection
4;Rare Holo;;Tortank Obscur;Dark Blastoise;Pokémon;Water;9;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/4.png;;Legendary Collection
5;Rare Holo;;Dracolosse Obscur;Dark Dragonite;Pokémon;Colorless;149;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/5.png;;Legendary Collection
6;Rare Holo;;Persian Obscur;Dark Persian;Pokémon;Colorless;53;Shin-ichi Yoshida;;;https://images.pokemontcg.io/base6/6.png;;Legendary Collection
7;Rare Holo;;Raichu Obscur;Dark Raichu;Pokémon;Lightning;26;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/7.png;;Legendary Collection
8;Rare Holo;;Flagadoss Obscur;Dark Slowbro;Pokémon;Psychic;80;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/8.png;;Legendary Collection
9;Rare Holo;;Aquali Obscur;Dark Vaporeon;Pokémon;Water;134;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/9.png;;Legendary Collection
10;Rare Holo;;Pyroli;Flareon;Pokémon;Fire;136;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/10.png;;Legendary Collection
11;Rare Holo;;Ectoplasma;Gengar;Pokémon;Psychic;94;Keiji Kinebuchi;;;https://images.pokemontcg.io/base6/11.png;;Legendary Collection
12;Rare Holo;;Léviator;Gyarados;Pokémon;Water;130;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/12.png;;Legendary Collection
13;Rare Holo;;Kicklee;Hitmonlee;Pokémon;Fighting;106;Ken Sugimori;;;https://images.pokemontcg.io/base6/13.png;;Legendary Collection
14;Rare Holo;;Voltali;Jolteon;Pokémon;Lightning;135;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/14.png;;Legendary Collection
15;Rare Holo;;Mackogneur;Machamp;Pokémon;Fighting;68;Ken Sugimori;;;https://images.pokemontcg.io/base6/15.png;;Legendary Collection
16;Rare Holo;;Grotadmorv;Muk;Pokémon;Grass;89;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/16.png;;Legendary Collection
17;Rare Holo;;Feunard;Ninetales;Pokémon;Fire;38;Ken Sugimori;;;https://images.pokemontcg.io/base6/17.png;;Legendary Collection
18;Rare Holo;;Florizarre;Venusaur;Pokémon;Grass;3;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/18.png;;Legendary Collection
19;Rare Holo;;Electhor;Zapdos;Pokémon;Lightning;145;Ken Sugimori;;;https://images.pokemontcg.io/base6/19.png;;Legendary Collection
20;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;Ken Sugimori;;;https://images.pokemontcg.io/base6/20.png;;Legendary Collection
21;Rare;;Papilusion;Butterfree;Pokémon;Grass;12;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/21.png;;Legendary Collection
22;Rare;;Électrode;Electrode;Pokémon;Lightning;101;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/22.png;;Legendary Collection
23;Rare;;Noadkoko;Exeggutor;Pokémon;Grass;103;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/23.png;;Legendary Collection
24;Rare;;Grolem;Golem;Pokémon;Fighting;76;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/24.png;;Legendary Collection
25;Rare;;Hypnomade;Hypno;Pokémon;Psychic;97;Ken Sugimori;;;https://images.pokemontcg.io/base6/25.png;;Legendary Collection
26;Rare;;Lippoutou;Jynx;Pokémon;Psychic;124;Ken Sugimori;;;https://images.pokemontcg.io/base6/26.png;;Legendary Collection
27;Rare;;Kabutops;Kabutops;Pokémon;Fighting;141;Ken Sugimori;;;https://images.pokemontcg.io/base6/27.png;;Legendary Collection
28;Rare;;Magneton;Magneton;Pokémon;Lightning;82;Ken Sugimori;;;https://images.pokemontcg.io/base6/28.png;;Legendary Collection
29;Rare;;Mewtwo;Mewtwo;Pokémon;Psychic;150;Christopher Rush;;;https://images.pokemontcg.io/base6/29.png;;Legendary Collection
30;Rare;;Sulfura;Moltres;Pokémon;Fire;146;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/30.png;;Legendary Collection
31;Rare;;Nidoking;Nidoking;Pokémon;Grass;34;Ken Sugimori;;;https://images.pokemontcg.io/base6/31.png;;Legendary Collection
32;Rare;;Nidoqueen;Nidoqueen;Pokémon;Grass;31;Ken Sugimori;;;https://images.pokemontcg.io/base6/32.png;;Legendary Collection
33;Rare;;Roucarnage;Pidgeot;Pokémon;Colorless;18;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/33.png;;Legendary Collection
34;Rare;;Roucoups;Pidgeotto;Pokémon;Colorless;17;Ken Sugimori;;;https://images.pokemontcg.io/base6/34.png;;Legendary Collection
35;Rare;;Rhinoféros;Rhydon;Pokémon;Fighting;112;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/35.png;;Legendary Collection
36;Uncommon;;Arcanin;Arcanine;Pokémon;Fire;59;Ken Sugimori;;;https://images.pokemontcg.io/base6/36.png;;Legendary Collection
37;Uncommon;;Reptincel;Charmeleon;Pokémon;Fire;5;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/37.png;;Legendary Collection
38;Uncommon;;Draco Obscur;Dark Dragonair;Pokémon;Colorless;148;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/38.png;;Legendary Collection
39;Uncommon;;Carabaffe Obscur;Dark Wartortle;Pokémon;Water;8;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/39.png;;Legendary Collection
40;Uncommon;;Lamantine;Dewgong;Pokémon;Water;87;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/40.png;;Legendary Collection
41;Uncommon;;Dodrio;Dodrio;Pokémon;Colorless;85;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/41.png;;Legendary Collection
42;Uncommon;;Rapasdepic;Fearow;Pokémon;Colorless;22;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/42.png;;Legendary Collection
43;Uncommon;;Akwakwak;Golduck;Pokémon;Water;55;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/43.png;;Legendary Collection
44;Uncommon;;Gravalanch;Graveler;Pokémon;Fighting;75;Kagemaru Himeno;;;https://images.pokemontcg.io/base6/44.png;;Legendary Collection
45;Uncommon;;Caninos;Growlithe;Pokémon;Fire;58;Ken Sugimori;;;https://images.pokemontcg.io/base6/45.png;;Legendary Collection
46;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Ken Sugimori;;;https://images.pokemontcg.io/base6/46.png;;Legendary Collection
47;Uncommon;;Herbizarre;Ivysaur;Pokémon;Grass;2;Ken Sugimori;;;https://images.pokemontcg.io/base6/47.png;;Legendary Collection
48;Uncommon;;Kabuto;Kabuto;Pokémon;Fighting;140;Ken Sugimori;;;https://images.pokemontcg.io/base6/48.png;;Legendary Collection
49;Uncommon;;Kadabra;Kadabra;Pokémon;Psychic;64;Ken Sugimori;;;https://images.pokemontcg.io/base6/49.png;;Legendary Collection
50;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;Keiji Kinebuchi;;;https://images.pokemontcg.io/base6/50.png;;Legendary Collection
51;Uncommon;;Machopeur;Machoke;Pokémon;Fighting;67;Ken Sugimori;;;https://images.pokemontcg.io/base6/51.png;;Legendary Collection
52;Uncommon;;Magicarpe;Magikarp;Pokémon;Water;129;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/52.png;;Legendary Collection
53;Uncommon;;Miaouss;Meowth;Pokémon;Colorless;52;Mitsuhiro Arita;;;https://images.pokemontcg.io/base6/53.png;;Legendary Collection
54;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;Ken Sugimori;;;https://images.pokemontcg.io/base6/54.png;;Legendary Collection
55;Uncommon;;Nidorina;Nidorina;Pokémon;Grass;30;Ken Sugimori;;;https://images.pokemontcg.io/base6/55.png;;Legendary Collection
