number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;;;;Pikachu;Pokémon;Lightning;25;Keiji Kinebuchi;;;https://images.pokemontcg.io/basep/1.png;;Wizards Black Star Promos
2;;;;Electabuzz;Pokémon;Lightning;125;Ken Sugimori;;;https://images.pokemontcg.io/basep/2.png;;Wizards Black Star Promos
3;;;;Mewtwo;Pokémon;Psychic;150;Ken Sugimori;;;https://images.pokemontcg.io/basep/3.png;;Wizards Black Star Promos
4;;;;Pikachu;Pokémon;Lightning;25;Ken Sugimori;;;https://images.pokemontcg.io/basep/4.png;;Wizards Black Star Promos
5;;;;Dragonite;Pokémon;Colorless;149;Toshinao Aoki;;;https://images.pokemontcg.io/basep/5.png;;Wizards Black Star Promos
6;;;;Arcanine;Pokémon;Fire;59;Ken Sugimori;;;https://images.pokemontcg.io/basep/6.png;;Wizards Black Star Promos
7;;;;Jigglypuff;Pokémon;Colorless;39;Keiji Kinebuchi;;;https://images.pokemontcg.io/basep/7.png;;Wizards Black Star Promos
8;;;;Mew;Pokémon;Psychic;151;Ken Sugimori;;;https://images.pokemontcg.io/basep/8.png;;Wizards Black Star Promos
9;;;;Mew;Pokémon;Psychic;151;Ken Sugimori;;;https://images.pokemontcg.io/basep/9.png;;Wizards Black Star Promos
10;;;;Meowth;Pokémon;Colorless;52;Kagemaru Himeno;;;https://images.pokemontcg.io/basep/10.png;;Wizards Black Star Promos
11;;;;Eevee;Pokémon;Colorless;133;Kagemaru Himeno;;;https://images.pokemontcg.io/basep/11.png;;Wizards Black Star Promos
12;;;;Mewtwo;Pokémon;Psychic;150;Christopher Rush;;;https://images.pokemontcg.io/basep/12.png;;Wizards Black Star Promos
13;;;;Venusaur;Pokémon;Grass;3;Ken Sugimori;;;https://images.pokemontcg.io/basep/13.png;;Wizards Black Star Promos
14;;;;Mewtwo;Pokémon;Psychic;150;Benimaru Itoh;;;https://images.pokemontcg.io/basep/14.png;;Wizards Black Star Promos
15;;;;Cool Porygon;Pokémon;Colorless;137;Hiromichi Sugiyama;;;https://images.pokemontcg.io/basep/15.png;;Wizards Black Star Promos
16;;;;Computer Error;Trainer;NoColor;;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/basep/16.png;;Wizards Black Star Promos
17;;;;Dark Persian;Pokémon;Colorless;53;Ken Sugimori;;;https://images.pokemontcg.io/basep/17.png;;Wizards Black Star Promos
18;;;;Team Rocket's Meowth;Pokémon;Colorless;52;Kunihiko Yuyama;;;https://images.pokemontcg.io/basep/18.png;;Wizards Black Star Promos
19;;;;Sabrina's Abra;Pokémon;Psychic;63;Atsuko Nishida;;;https://images.pokemontcg.io/basep/19.png;;Wizards Black Star Promos
20;;;;Psyduck;Pokémon;Water;54;Kagemaru Himeno;;;https://images.pokemontcg.io/basep/20.png;;Wizards Black Star Promos
21;;;;Moltres;Pokémon;Fire;146;Toshinao Aoki;;;https://images.pokemontcg.io/basep/21.png;;Wizards Black Star Promos
22;;;;Articuno;Pokémon;Water;144;Toshinao Aoki;;;https://images.pokemontcg.io/basep/22.png;;Wizards Black Star Promos
23;;;;Zapdos;Pokémon;Lightning;145;Toshinao Aoki;;;https://images.pokemontcg.io/basep/23.png;;Wizards Black Star Promos
24;;;;___________'s Pikachu;Pokémon;Lightning;25;Kagemaru Himeno;;;https://images.pokemontcg.io/basep/24.png;;Wizards Black Star Promos
25;;;;Flying Pikachu;Pokémon;Lightning;25;Toshinao Aoki;;;https://images.pokemontcg.io/basep/25.png;;Wizards Black Star Promos
26;;;;Pikachu;Pokémon;Lightning;25;Gakuji Nomoto;;;https://images.pokemontcg.io/basep/26.png;;Wizards Black Star Promos
27;;;;Pikachu;Pokémon;Lightning;25;Atsuko Nishida;;;https://images.pokemontcg.io/basep/27.png;;Wizards Black Star Promos
