number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Dialga;Dialga;Pokémon;Metal;483;Nakaoka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_1.png;;https://images.pokemontcg.io/dp1/1.png;;Diamond & Pearl
2;Rare Holo;;Noctunoir;Dusknoir;Pokémon;Psychic;477;Takabon;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_2.png;;https://images.pokemontcg.io/dp1/2.png;;Diamond & Pearl
3;Rare Holo;;Elekable;Electivire;Pokémon;Lightning;466;Nakaoka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_3.png;;https://images.pokemontcg.io/dp1/3.png;;Diamond & Pearl
4;Rare Holo;;Pingoléon;Empoleon;Pokémon;Water;395;Nakaoka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_4.png;;https://images.pokemontcg.io/dp1/4.png;;Diamond & Pearl
5;Rare Holo;;Simiabraz;Infernape;Pokémon;Fire;392;Nakaoka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_5.png;;https://images.pokemontcg.io/dp1/5.png;;Diamond & Pearl
6;Rare Holo;;Lucario;Lucario;Pokémon;Fighting;448;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_6.png;;https://images.pokemontcg.io/dp1/6.png;;Diamond & Pearl
7;Rare Holo;;Luxray;Luxray;Pokémon;Lightning;405;Mikiko Takeda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_7.png;;https://images.pokemontcg.io/dp1/7.png;;Diamond & Pearl
8;Rare Holo;;Magnézone;Magnezone;Pokémon;Metal;462;Nakaoka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_8.png;;https://images.pokemontcg.io/dp1/8.png;;Diamond & Pearl
9;Rare Holo;;Manaphy;Manaphy;Pokémon;Water;490;Nakaoka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_9.png;;https://images.pokemontcg.io/dp1/9.png;;Diamond & Pearl
10;Rare Holo;;Magirêve;Mismagius;Pokémon;Psychic;429;Mikiko Takeda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_10.png;;https://images.pokemontcg.io/dp1/10.png;;Diamond & Pearl
11;Rare Holo;;Palkia;Palkia;Pokémon;Water;484;Nakaoka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_11.png;;https://images.pokemontcg.io/dp1/11.png;;Diamond & Pearl
12;Rare Holo;;Rhinastoc;Rhyperior;Pokémon;Fighting;464;Nakaoka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_12.png;;https://images.pokemontcg.io/dp1/12.png;;Diamond & Pearl
13;Rare Holo;;Roserade;Roserade;Pokémon;Grass;407;Nakaoka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_13.png;;https://images.pokemontcg.io/dp1/13.png;;Diamond & Pearl
14;Rare Holo;;Tengalice;Shiftry;Pokémon;Darkness;275;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_14.png;;https://images.pokemontcg.io/dp1/14.png;;Diamond & Pearl
15;Rare Holo;;Moufflair;Skuntank;Pokémon;Darkness;435;Hiroaki Ito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_15.png;;https://images.pokemontcg.io/dp1/15.png;;Diamond & Pearl
16;Rare Holo;;Etouraptor;Staraptor;Pokémon;Colorless;398;Masahiko Ishii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_16.png;;https://images.pokemontcg.io/dp1/16.png;;Diamond & Pearl
17;Rare Holo;;Torterra;Torterra;Pokémon;Grass;389;Masahiko Ishii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_17.png;;https://images.pokemontcg.io/dp1/17.png;;Diamond & Pearl
18;Rare;;Azumarill;Azumarill;Pokémon;Water;184;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_18.png;;https://images.pokemontcg.io/dp1/18.png;;Diamond & Pearl
19;Rare;;Charmillon;Beautifly;Pokémon;Grass;267;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_19.png;;https://images.pokemontcg.io/dp1/19.png;;Diamond & Pearl
20;Rare;;Castorno;Bibarel;Pokémon;Colorless;400;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_20.png;;https://images.pokemontcg.io/dp1/20.png;;Diamond & Pearl
21;Rare;;Vortente;Carnivine;Pokémon;Grass;455;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_21.png;;https://images.pokemontcg.io/dp1/21.png;;Diamond & Pearl
22;Rare;;Mélodelfe;Clefable;Pokémon;Colorless;36;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_22.png;;https://images.pokemontcg.io/dp1/22.png;;Diamond & Pearl
23;Rare;;Drascore;Drapion;Pokémon;Psychic;452;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_23.png;;https://images.pokemontcg.io/dp1/23.png;;Diamond & Pearl
24;Rare;;Grodrive;Drifblim;Pokémon;Psychic;426;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_24.png;;https://images.pokemontcg.io/dp1/24.png;;Diamond & Pearl
25;Rare;;Papinox;Dustox;Pokémon;Grass;269;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_25.png;;https://images.pokemontcg.io/dp1/25.png;;Diamond & Pearl
26;Rare;;Mustéflott;Floatzel;Pokémon;Water;419;Masahiko Ishii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_26.png;;https://images.pokemontcg.io/dp1/26.png;;Diamond & Pearl
27;Rare;;Ectoplasma;Gengar;Pokémon;Psychic;94;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_27.png;;https://images.pokemontcg.io/dp1/27.png;;Diamond & Pearl
28;Rare;;Scarhino;Heracross;Pokémon;Grass;214;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_28.png;;https://images.pokemontcg.io/dp1/28.png;;Diamond & Pearl
29;Rare;;Hippodocus;Hippowdon;Pokémon;Fighting;450;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_29.png;;https://images.pokemontcg.io/dp1/29.png;;Diamond & Pearl
30;Rare;;Lockpin;Lopunny;Pokémon;Colorless;428;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_30.png;;https://images.pokemontcg.io/dp1/30.png;;Diamond & Pearl
31;Rare;;Mackogneur;Machamp;Pokémon;Fighting;68;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_31.png;;https://images.pokemontcg.io/dp1/31.png;;Diamond & Pearl
32;Rare;;Charmina;Medicham;Pokémon;Fighting;308;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_32.png;;https://images.pokemontcg.io/dp1/32.png;;Diamond & Pearl
33;Rare;;Goinfrex;Munchlax;Pokémon;Colorless;446;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_33.png;;https://images.pokemontcg.io/dp1/33.png;;Diamond & Pearl
34;Rare;;Noarfang;Noctowl;Pokémon;Colorless;164;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_34.png;;https://images.pokemontcg.io/dp1/34.png;;Diamond & Pearl
35;Rare;;Pachirisu;Pachirisu;Pokémon;Lightning;417;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_35.png;;https://images.pokemontcg.io/dp1/35.png;;Diamond & Pearl
36;Rare;;Chaffreux;Purugly;Pokémon;Colorless;432;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_36.png;;https://images.pokemontcg.io/dp1/36.png;;Diamond & Pearl
37;Rare;;Ronflex;Snorlax;Pokémon;Colorless;143;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_37.png;;https://images.pokemontcg.io/dp1/37.png;;Diamond & Pearl
38;Rare;;Steelix;Steelix;Pokémon;Metal;208;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_38.png;;https://images.pokemontcg.io/dp1/38.png;;Diamond & Pearl
39;Rare;;Apireine;Vespiquen;Pokémon;Grass;416;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_39.png;;https://images.pokemontcg.io/dp1/39.png;;Diamond & Pearl
40;Rare;;Dimoret;Weavile;Pokémon;Darkness;461;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_40.png;;https://images.pokemontcg.io/dp1/40.png;;Diamond & Pearl
41;Rare;;Qulbutoke;Wobbuffet;Pokémon;Psychic;202;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_41.png;;https://images.pokemontcg.io/dp1/41.png;;Diamond & Pearl
42;Rare;;Okéoké;Wynaut;Pokémon;Psychic;360;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_42.png;;https://images.pokemontcg.io/dp1/42.png;;Diamond & Pearl
43;Uncommon;;Rozbouton;Budew;Pokémon;Grass;406;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_43.png;;https://images.pokemontcg.io/dp1/43.png;;Diamond & Pearl
44;Uncommon;;Blindalys;Cascoon;Pokémon;Grass;268;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_44.png;;https://images.pokemontcg.io/dp1/44.png;;Diamond & Pearl
45;Uncommon;;Ceriflor;Cherrim;Pokémon;Grass;421;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_45.png;;https://images.pokemontcg.io/dp1/45.png;;Diamond & Pearl
46;Uncommon;;Baudrive;Drifloon;Pokémon;Psychic;425;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_46.png;;https://images.pokemontcg.io/dp1/46.png;;Diamond & Pearl
47;Uncommon;;Teraclope;Dusclops;Pokémon;Psychic;356;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_47.png;;https://images.pokemontcg.io/dp1/47.png;;Diamond & Pearl
48;Uncommon;;Elekid;Elekid;Pokémon;Lightning;239;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_48.png;;https://images.pokemontcg.io/dp1/48.png;;Diamond & Pearl
49;Uncommon;;Boskara;Grotle;Pokémon;Grass;388;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_49.png;;https://images.pokemontcg.io/dp1/49.png;;Diamond & Pearl
50;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_50.png;;https://images.pokemontcg.io/dp1/50.png;;Diamond & Pearl
51;Uncommon;;Hippopotas;Hippopotas;Pokémon;Fighting;449;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_51.png;;https://images.pokemontcg.io/dp1/51.png;;Diamond & Pearl
52;Uncommon;;Luxio;Luxio;Pokémon;Lightning;404;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_52.png;;https://images.pokemontcg.io/dp1/52.png;;Diamond & Pearl
53;Uncommon;;Machopeur;Machoke;Pokémon;Fighting;67;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_53.png;;https://images.pokemontcg.io/dp1/53.png;;Diamond & Pearl
54;Uncommon;;Magneton;Magneton;Pokémon;Metal;82;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_54.png;;https://images.pokemontcg.io/dp1/54.png;;Diamond & Pearl
55;Uncommon;;Babimanta;Mantyke;Pokémon;Water;458;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_55.png;;https://images.pokemontcg.io/dp1/55.png;;Diamond & Pearl
56;Uncommon;;Chimpenfeu;Monferno;Pokémon;Fire;391;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_56.png;;https://images.pokemontcg.io/dp1/56.png;;Diamond & Pearl
57;Uncommon;;Pifeuil;Nuzleaf;Pokémon;Darkness;274;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP1/DP1_FR_57.png;;https://images.pokemontcg.io/dp1/57.png;;Diamond & Pearl
