rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;Deoxys Forme Normale;Deoxys Normal Forme;Pokémon;Psychic;386;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP6/DP6_FR_1.png;https://images.pokemontcg.io/dp6/1.png;dp6
2;2;Rare Holo;;Dracolosse;Dragonite;Pokémon;Colorless;149;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP6/DP6_FR_2.png;https://images.pokemontcg.io/dp6/2.png;dp6
3;3;Rare Holo;;Momartik;Froslass;Pokémon;Water;478;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP6/DP6_FR_3.png;https://images.pokemontcg.io/dp6/3.png;dp6
4;4;Rare Holo;;Giratina;Giratina;Pokémon;Psychic;487;Kazuaki Aihara;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP6/DP6_FR_4.png;https://images.pokemontcg.io/dp6/4.png;dp6
5;5;Rare Holo;;Scorvol;Gliscor;Pokémon;Fighting;472;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP6/DP6_FR_5.png;https://images.pokemontcg.io/dp6/5.png;dp6
6;6;Rare Holo;;Heatran;Heatran;Pokémon;Fire;485;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP6/DP6_FR_6.png;https://images.pokemontcg.io/dp6/6.png;dp6
7;7;Rare Holo;;Hyporoi;Kingdra;Pokémon;Water;230;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP6/DP6_FR_7.png;https://images.pokemontcg.io/dp6/7.png;dp6
8;8;Rare Holo;;Luxray;Luxray;Pokémon;Lightning;405;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP6/DP6_FR_8.png;https://images.pokemontcg.io/dp6/8.png;dp6
9;9;Rare Holo;;Mammochon;Mamoswine;Pokémon;Water;473;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP6/DP6_FR_9.png;https://images.pokemontcg.io/dp6/9.png;dp6
10;10;Rare Holo;;Metalosse;Metagross;Pokémon;Metal;376;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP6/DP6_FR_10.png;https://images.pokemontcg.io/dp6/10.png;dp6
