rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;DP01;;;Tortipouss;Turtwig;Pokémon;Grass;387;Masakazu Fukuda;https://www.pokepedia.fr/images/e/e1/Carte_Promo_DP_DP01.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203264.jpg;dpp
2;DP02;;;Ouisticram;Chimchar;Pokémon;Fire;390;Kagemaru Himeno;https://www.pokepedia.fr/images/6/6f/Carte_Promo_DP_DP02.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203265.jpg;dpp
3;DP03;;;Tiplouf;Piplup;Pokémon;Water;393;Atsuko Nishida;https://www.pokepedia.fr/images/c/cf/Carte_Promo_DP_DP03.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203266.jpg;dpp
4;DP04;;;Pachirisu;Pachirisu;Pokémon;Lightning;417;Atsuko Nishida;https://www.pokepedia.fr/images/5/57/Carte_Promo_DP_DP04.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203267.jpg;dpp
5;DP05;;;Vent tropical;Tropical Wind;Trainer;NoColor;;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/c/c2/Carte_Promo_DP_DP05.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1025835.jpg;dpp
6;DP06;;;Laporeille;Buneary;Pokémon;Colorless;427;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203269.jpg;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203269.jpg;dpp
7;DP07;;;Kranidos;Cranidos;Pokémon;Fighting;408;Mitsuhiro Arita;https://www.coleka.com/media/item/201903/26/diamond-pearl-promos-cranidos-dp07.jpg;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203270.jpg;dpp
8;DP08;;;Dinoclier;Shieldon;Pokémon;Metal;410;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203271.jpg;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203271.jpg;dpp
9;DP09;Ultra;Niv.X;Torterra Niv.X;Torterra LV.X;Pokémon;Grass;389;Shizurow;https://res.cloudinary.com/dkhwpritu/image/upload/v1593252244/test/Capture_d_e%CC%81cran_2020-06-27_a%CC%80_11.58.43.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203272.jpg;dpp
10;DP10;Ultra;Niv.X;Simiabraz Niv.X;Infernape LV.X;Pokémon;Fire;392;Shizurow;https://www.pokepedia.fr/images/f/f1/Carte_Promo_DP_DP10.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203273.jpg;dpp
