number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Noctunoir;Dusknoir;Pokémon;Psychic;477;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_1.png;;https://images.pokemontcg.io/dp7/1.png;;Stormfront
2;Rare Holo;;Pingoléon;Empoleon;Pokémon;Metal;395;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_2.png;;https://images.pokemontcg.io/dp7/2.png;;Stormfront
3;Rare Holo;;Simiabraz;Infernape;Pokémon;Fighting;392;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_3.png;;https://images.pokemontcg.io/dp7/3.png;;Stormfront
4;Rare Holo;;Lumineon;Lumineon;Pokémon;Water;457;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_4.png;;https://images.pokemontcg.io/dp7/4.png;;Stormfront
5;Rare Holo;;Magnézone;Magnezone;Pokémon;Metal;462;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_5.png;;https://images.pokemontcg.io/dp7/5.png;;Stormfront
6;Rare Holo;;Magnézone;Magnezone;Pokémon;Lightning;462;Tomoaki Imakuni;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_6.png;;https://images.pokemontcg.io/dp7/6.png;;Stormfront
7;Rare Holo;;Magirêve;Mismagius;Pokémon;Psychic;429;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_7.png;;https://images.pokemontcg.io/dp7/7.png;;Stormfront
8;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_8.png;;https://images.pokemontcg.io/dp7/8.png;;Stormfront
9;Rare Holo;;Regigigas;Regigigas;Pokémon;Colorless;486;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_9.png;;https://images.pokemontcg.io/dp7/9.png;;Stormfront
10;Rare Holo;;Jungko;Sceptile;Pokémon;Grass;254;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_10.png;;https://images.pokemontcg.io/dp7/10.png;;Stormfront
11;Rare Holo;;Torterra;Torterra;Pokémon;Fighting;389;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_11.png;;https://images.pokemontcg.io/dp7/11.png;;Stormfront
12;Rare;;Blizzaroi;Abomasnow;Pokémon;Water;460;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_12.png;;https://images.pokemontcg.io/dp7/12.png;;Stormfront
13;Rare;;Archeodong;Bronzong;Pokémon;Psychic;437;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_13.png;;https://images.pokemontcg.io/dp7/13.png;;Stormfront
14;Rare;;Ceriflor;Cherrim;Pokémon;Grass;421;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_14.png;;https://images.pokemontcg.io/dp7/14.png;;Stormfront
15;Rare;;Drascore;Drapion;Pokémon;Darkness;452;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_15.png;;https://images.pokemontcg.io/dp7/15.png;;Stormfront
16;Rare;;Grodrive;Drifblim;Pokémon;Psychic;426;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_16.png;;https://images.pokemontcg.io/dp7/16.png;;Stormfront
17;Rare;;Noctunoir;Dusknoir;Pokémon;Psychic;477;Tomoaki Imakuni;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_17.png;;https://images.pokemontcg.io/dp7/17.png;;Stormfront
18;Rare;;Ectoplasma;Gengar;Pokémon;Psychic;94;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_18.png;;https://images.pokemontcg.io/dp7/18.png;;Stormfront
19;Rare;;Léviator;Gyarados;Pokémon;Water;130;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_19.png;;https://images.pokemontcg.io/dp7/19.png;;Stormfront
20;Rare;;Mackogneur;Machamp;Pokémon;Fighting;68;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_20.png;;https://images.pokemontcg.io/dp7/20.png;;Stormfront
21;Rare;;Mammochon;Mamoswine;Pokémon;Fighting;473;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_21.png;;https://images.pokemontcg.io/dp7/21.png;;Stormfront
22;Rare;;Galopa;Rapidash;Pokémon;Fire;78;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_22.png;;https://images.pokemontcg.io/dp7/22.png;;Stormfront
23;Rare;;Roserade;Roserade;Pokémon;Psychic;407;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_23.png;;https://images.pokemontcg.io/dp7/23.png;;Stormfront
24;Rare;;Drattak;Salamence;Pokémon;Colorless;373;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_24.png;;https://images.pokemontcg.io/dp7/24.png;;Stormfront
25;Rare;;Cizayox;Scizor;Pokémon;Grass;212;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_25.png;;https://images.pokemontcg.io/dp7/25.png;;Stormfront
26;Rare;;Moufflair;Skuntank;Pokémon;Darkness;435;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_26.png;;https://images.pokemontcg.io/dp7/26.png;;Stormfront
27;Rare;;Etouraptor;Staraptor;Pokémon;Colorless;398;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_27.png;;https://images.pokemontcg.io/dp7/27.png;;Stormfront
28;Rare;;Steelix;Steelix;Pokémon;Metal;208;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_28.png;;https://images.pokemontcg.io/dp7/28.png;;Stormfront
29;Rare;;Bouldeneu;Tangrowth;Pokémon;Grass;465;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_29.png;;https://images.pokemontcg.io/dp7/29.png;;Stormfront
30;Rare;;Tyranocif;Tyranitar;Pokémon;Darkness;248;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_30.png;;https://images.pokemontcg.io/dp7/30.png;;Stormfront
31;Rare;;Apireine;Vespiquen;Pokémon;Grass;416;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_31.png;;https://images.pokemontcg.io/dp7/31.png;;Stormfront
32;Uncommon;;Castorno;Bibarel;Pokémon;Water;400;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_32.png;;https://images.pokemontcg.io/dp7/32.png;;Stormfront
33;Uncommon;;Rozbouton;Budew;Pokémon;Psychic;406;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_33.png;;https://images.pokemontcg.io/dp7/33.png;;Stormfront
34;Uncommon;;Teraclope;Dusclops;Pokémon;Psychic;356;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_34.png;;https://images.pokemontcg.io/dp7/34.png;;Stormfront
35;Uncommon;;Teraclope;Dusclops;Pokémon;Psychic;356;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_35.png;;https://images.pokemontcg.io/dp7/35.png;;Stormfront
36;Uncommon;;Électrode;Electrode;Pokémon;Lightning;101;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_36.png;;https://images.pokemontcg.io/dp7/36.png;;Stormfront
37;Uncommon;;Électrode;Electrode;Pokémon;Lightning;101;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_37.png;;https://images.pokemontcg.io/dp7/37.png;;Stormfront
38;Uncommon;;Canarticho;Farfetch'd;Pokémon;Colorless;83;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_38.png;;https://images.pokemontcg.io/dp7/38.png;;Stormfront
39;Uncommon;;Massko;Grovyle;Pokémon;Grass;253;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_39.png;;https://images.pokemontcg.io/dp7/39.png;;Stormfront
40;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Yukiko Baba;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_40.png;;https://images.pokemontcg.io/dp7/40.png;;Stormfront
41;Uncommon;;Machopeur;Machoke;Pokémon;Fighting;67;Sachiko Adachi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_41.png;;https://images.pokemontcg.io/dp7/41.png;;Stormfront
42;Uncommon;;Magneton;Magneton;Pokémon;Metal;82;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_42.png;;https://images.pokemontcg.io/dp7/42.png;;Stormfront
43;Uncommon;;Magneton;Magneton;Pokémon;Lightning;82;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_43.png;;https://images.pokemontcg.io/dp7/43.png;;Stormfront
44;Uncommon;;Ecrémeuh;Miltank;Pokémon;Colorless;241;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_44.png;;https://images.pokemontcg.io/dp7/44.png;;Stormfront
45;Uncommon;;Pichu;Pichu;Pokémon;Lightning;172;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_45.png;;https://images.pokemontcg.io/dp7/45.png;;Stormfront
46;Uncommon;;Cochignon;Piloswine;Pokémon;Fighting;221;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_46.png;;https://images.pokemontcg.io/dp7/46.png;;Stormfront
47;Uncommon;;Ymphect;Pupitar;Pokémon;Fighting;247;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_47.png;;https://images.pokemontcg.io/dp7/47.png;;Stormfront
48;Uncommon;;Ténéfix;Sableye;Pokémon;Darkness;302;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_48.png;;https://images.pokemontcg.io/dp7/48.png;;Stormfront
49;Uncommon;;Insécateur;Scyther;Pokémon;Grass;123;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_49.png;;https://images.pokemontcg.io/dp7/49.png;;Stormfront
50;Uncommon;;Drackhaus;Shelgon;Pokémon;Colorless;372;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_50.png;;https://images.pokemontcg.io/dp7/50.png;;Stormfront
51;Uncommon;;Airmure;Skarmory;Pokémon;Metal;227;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_51.png;;https://images.pokemontcg.io/dp7/51.png;;Stormfront
52;Uncommon;;Etourvol;Staravia;Pokémon;Colorless;397;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_52.png;;https://images.pokemontcg.io/dp7/52.png;;Stormfront
53;Common;;Draby;Bagon;Pokémon;Colorless;371;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_53.png;;https://images.pokemontcg.io/dp7/53.png;;Stormfront
54;Common;;Keunotor;Bidoof;Pokémon;Colorless;399;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_54.png;;https://images.pokemontcg.io/dp7/54.png;;Stormfront
55;Common;;Archeomire;Bronzor;Pokémon;Psychic;436;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_55.png;;https://images.pokemontcg.io/dp7/55.png;;Stormfront
56;Common;;Ceribou;Cherubi;Pokémon;Grass;420;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_56.png;;https://images.pokemontcg.io/dp7/56.png;;Stormfront
57;Common;;Apitrini;Combee;Pokémon;Grass;415;Miki Tanaka;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_57.png;;https://images.pokemontcg.io/dp7/57.png;;Stormfront
58;Common;;Baudrive;Drifloon;Pokémon;Psychic;425;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_58.png;;https://images.pokemontcg.io/dp7/58.png;;Stormfront
59;Common;;Skelenox;Duskull;Pokémon;Psychic;355;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_59.png;;https://images.pokemontcg.io/dp7/59.png;;Stormfront
60;Common;;Skelenox;Duskull;Pokémon;Psychic;355;Sachiko Adachi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_60.png;;https://images.pokemontcg.io/dp7/60.png;;Stormfront
61;Common;;Ecayon;Finneon;Pokémon;Water;456;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_61.png;;https://images.pokemontcg.io/dp7/61.png;;Stormfront
62;Common;;Fantominus;Gastly;Pokémon;Psychic;92;Aya Kusube;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_62.png;;https://images.pokemontcg.io/dp7/62.png;;Stormfront
63;Common;;Embrylex;Larvitar;Pokémon;Fighting;246;Yuka Morii;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_63.png;;https://images.pokemontcg.io/dp7/63.png;;Stormfront
64;Common;;Machoc;Machop;Pokémon;Fighting;66;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_64.png;;https://images.pokemontcg.io/dp7/64.png;;Stormfront
65;Common;;Magicarpe;Magikarp;Pokémon;Water;129;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_65.png;;https://images.pokemontcg.io/dp7/65.png;;Stormfront
