number;rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;Alakazam;Alakazam;Pokémon;Psychic;65;Hajime Kusajima;;https://images.pokemontcg.io/ecard1/1.png;ecard1
2;2;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Atsuko Nishida;;https://images.pokemontcg.io/ecard1/2.png;ecard1
3;3;Rare Holo;;Arbok;Arbok;Pokémon;Grass;24;Kyoko Umemoto;;https://images.pokemontcg.io/ecard1/3.png;ecard1
4;4;Rare Holo;;Tortank;Blastoise;Pokémon;Water;9;Kimiya Masago;;https://images.pokemontcg.io/ecard1/4.png;ecard1
5;5;Rare Holo;;Papilusion;Butterfree;Pokémon;Grass;12;Sumiyoshi Kizuki;;https://images.pokemontcg.io/ecard1/5.png;ecard1
6;6;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;Hiromichi Sugiyama;;https://images.pokemontcg.io/ecard1/6.png;ecard1
7;7;Rare Holo;;Mélodelfe;Clefable;Pokémon;Colorless;36;Kagemaru Himeno;;https://images.pokemontcg.io/ecard1/7.png;ecard1
8;8;Rare Holo;;Crustabri;Cloyster;Pokémon;Water;91;Kyoko Umemoto;;https://images.pokemontcg.io/ecard1/8.png;ecard1
9;9;Rare Holo;;Dracolosse;Dragonite;Pokémon;Colorless;149;Kagemaru Himeno;;https://images.pokemontcg.io/ecard1/9.png;ecard1
10;10;Rare Holo;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Masako Yamashita;;https://images.pokemontcg.io/ecard1/10.png;ecard1
11;11;Rare Holo;;Rapasdepic;Fearow;Pokémon;Colorless;22;Kyoko Umemoto;;https://images.pokemontcg.io/ecard1/11.png;ecard1
12;12;Rare Holo;;Aligatueur;Feraligatr;Pokémon;Water;160;Mitsuhiro Arita;;https://images.pokemontcg.io/ecard1/12.png;ecard1
13;13;Rare Holo;;Ectoplasma;Gengar;Pokémon;Psychic;94;Yukiko Baba;;https://images.pokemontcg.io/ecard1/13.png;ecard1
14;14;Rare Holo;;Grolem;Golem;Pokémon;Fighting;76;Aya Kusube;;https://images.pokemontcg.io/ecard1/14.png;ecard1
15;15;Rare Holo;;Krabboss;Kingler;Pokémon;Water;99;Shin-ichi Yoshida;;https://images.pokemontcg.io/ecard1/15.png;ecard1
16;16;Rare Holo;;Mackogneur;Machamp;Pokémon;Fighting;68;Shin-ichi Yoshida;;https://images.pokemontcg.io/ecard1/16.png;ecard1
17;17;Rare Holo;;Magby;Magby;Pokémon;Fire;240;Mitsuhiro Arita;;https://images.pokemontcg.io/ecard1/17.png;ecard1
18;18;Rare Holo;;Méganium;Meganium;Pokémon;Grass;154;Hajime Kusajima;;https://images.pokemontcg.io/ecard1/18.png;ecard1
19;19;Rare Holo;;Mew;Mew;Pokémon;Psychic;151;Hajime Kusajima;;https://images.pokemontcg.io/ecard1/19.png;ecard1
20;20;Rare Holo;;Mewtwo;Mewtwo;Pokémon;Psychic;150;Kimiya Masago;;https://images.pokemontcg.io/ecard1/20.png;ecard1
21;21;Rare Holo;;Feunard;Ninetales;Pokémon;Fire;38;Atsuko Nishida;;https://images.pokemontcg.io/ecard1/21.png;ecard1
22;22;Rare Holo;;Pichu;Pichu;Pokémon;Lightning;172;Atsuko Nishida;;https://images.pokemontcg.io/ecard1/22.png;ecard1
23;23;Rare Holo;;Roucarnage;Pidgeot;Pokémon;Colorless;18;Tomokazu Komiya;;https://images.pokemontcg.io/ecard1/23.png;ecard1
24;24;Rare Holo;;Tartard;Poliwrath;Pokémon;Water;62;Yuka Morii;;https://images.pokemontcg.io/ecard1/24.png;ecard1
25;25;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;Atsuko Nishida;;https://images.pokemontcg.io/ecard1/25.png;ecard1
