rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;H1;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Shin-ichi Yoshida;https://www.pokepedia.fr/images/e/e8/Carte_Aquapolis_H1.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209850.jpg;ecard2
2;H2;Rare Holo;;Arcanin;Arcanine;Pokémon;Fire;59;Kyoko Umemoto;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209853.jpg;ecard2
3;H3;Rare Holo;;Migalos;Ariados;Pokémon;Grass;168;Shin-ichi Yoshida;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209855.jpg;ecard2
4;H4;Rare Holo;;Azumarill;Azumarill;Pokémon;Water;184;Kagemaru Himeno;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209857.jpg;ecard2
5;H5;Rare Holo;;Joliflor;Bellossom;Pokémon;Grass;182;Sumiyoshi Kizuki;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209859.jpg;ecard2
6;H6;Rare Holo;;Leuphorie;Blissey;Pokémon;Colorless;242;Naoyo Kimura;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209863.jpg;ecard2
7;H7;Rare Holo;;Électrode;Electrode;Pokémon;Lightning;101;Shin-ichi Yoshida;https://www.pokepedia.fr/images/e/ec/Carte_Aquapolis_H7.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209878.jpg;ecard2
8;H8;Rare Holo;;Entei;Entei;Pokémon;Fire;244;Atsuko Nishida;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209882.jpg;ecard2
9;H9;Rare Holo;;Mentali;Espeon;Pokémon;Psychic;196;Kyoko Umemoto;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209884.jpg;ecard2
10;H10;Rare Holo;;Noadkoko;Exeggutor;Pokémon;Grass;103;Yukiko Baba;https://www.pokepedia.fr/images/2/24/Carte_Aquapolis_H10.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209889.jpg;ecard2
11;H11;Rare Holo;;Démolosse;Houndoom;Pokémon;Darkness;229;Hajime Kusajima;https://www.pokepedia.fr/images/3/3e/Carte_Aquapolis_H11.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209910.jpg;ecard2
12;H12;Rare Holo;;Hypnomade;Hypno;Pokémon;Psychic;97;Mitsuhiro Arita;https://www.pokepedia.fr/images/9/95/Carte_Aquapolis_H12.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209914.jpg;ecard2
13;H13;Rare Holo;;Cotovol;Jumpluff;Pokémon;Grass;189;Yuka Morii;https://www.pokepedia.fr/images/e/e3/Carte_Aquapolis_H13.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209917.jpg;ecard2
14;H14;Rare Holo;;Hyporoi;Kingdra;Pokémon;Water;230;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209922.jpg;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209922.jpg;ecard2
15;H15;Rare Holo;;Lanturn;Lanturn;Pokémon;Lightning;171;Yuka Morii;https://www.pokepedia.fr/images/2/2d/Carte_Aquapolis_H15.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209925.jpg;ecard2
16;H16;Rare Holo;;Magneton;Magneton;Pokémon;Metal;82;Hikaru Koike;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209933.jpg;ecard2
17;H17;Rare Holo;;Grotadmorv;Muk;Pokémon;Grass;89;Hajime Kusajima;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209944.jpg;ecard2
