rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;Branette;Banette;Pokémon;Psychic;354;Kyoko Umemoto;https://www.pokepedia.fr/images/thumb/b/bd/Carte_EX_Gardiens_de_Cristal_1.png/420px-Carte_EX_Gardiens_de_Cristal_1.png;https://images.pokemontcg.io/ex14/1_hires.png;ex14
2;2;Rare Holo;;Tortank;Blastoise δ;Pokémon;Fighting;9;Masakazu Fukuda;https://www.pokepedia.fr/images/thumb/5/5d/Carte_EX_Gardiens_de_Cristal_2.png/427px-Carte_EX_Gardiens_de_Cristal_2.png;https://images.pokemontcg.io/ex14/2_hires.png;ex14
3;3;Rare Holo;;Camerupt;Camerupt;Pokémon;Fire;323;Mitsuhiro Arita;https://www.pokepedia.fr/images/thumb/7/7b/Carte_EX_Gardiens_de_Cristal_3.png/420px-Carte_EX_Gardiens_de_Cristal_3.png;https://images.pokemontcg.io/ex14/3_hires.png;ex14
4;4;Rare Holo;;Dracaufeu;Charizard δ;Pokémon;Lightning;6;Kouki Saitou;https://www.pokepedia.fr/images/thumb/9/9e/Carte_EX_Gardiens_de_Cristal_4.png/428px-Carte_EX_Gardiens_de_Cristal_4.png;https://images.pokemontcg.io/ex14/4_hires.png;ex14
5;5;Rare Holo;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Tomokazu Komiya;https://www.pokepedia.fr/images/thumb/8/8a/Carte_EX_Gardiens_de_Cristal_5.png/427px-Carte_EX_Gardiens_de_Cristal_5.png;https://images.pokemontcg.io/ex14/5_hires.png;ex14
6;6;Rare Holo;;Ludicolo;Ludicolo δ;Pokémon;Fire;272;Masakazu Fukuda;https://www.pokepedia.fr/images/e/ec/Carte_EX_Gardiens_de_Cristal_6.png;https://images.pokemontcg.io/ex14/6_hires.png;ex14
7;7;Rare Holo;;Lovdisc;Luvdisc;Pokémon;Water;370;Kyoko Umemoto;https://www.pokepedia.fr/images/thumb/4/40/Carte_EX_Gardiens_de_Cristal_7.png/424px-Carte_EX_Gardiens_de_Cristal_7.png;https://images.pokemontcg.io/ex14/7_hires.png;ex14
8;8;Rare Holo;;Elecsprint;Manectric;Pokémon;Lightning;310;Hisao Nakamura;https://www.pokepedia.fr/images/thumb/e/eb/Carte_EX_Gardiens_de_Cristal_8.png/430px-Carte_EX_Gardiens_de_Cristal_8.png;https://images.pokemontcg.io/ex14/8_hires.png;ex14
9;9;Rare Holo;;Mysdibule;Mawile;Pokémon;Metal;303;Kagemaru Himeno;https://www.pokepedia.fr/images/thumb/d/d7/Carte_EX_Gardiens_de_Cristal_9.png/429px-Carte_EX_Gardiens_de_Cristal_9.png;https://images.pokemontcg.io/ex14/9_hires.png;ex14
10;10;Rare Holo;;Ténéfix;Sableye;Pokémon;Darkness;302;Yukiko Baba;https://www.pokepedia.fr/images/thumb/e/e7/Carte_EX_Gardiens_de_Cristal_10.png/427px-Carte_EX_Gardiens_de_Cristal_10.png;https://images.pokemontcg.io/ex14/10_hires.png;ex14
11;11;Rare Holo;;Avaltout;Swalot;Pokémon;Grass;317;Mitsuhiro Arita;https://www.pokepedia.fr/images/thumb/a/a7/Carte_EX_Gardiens_de_Cristal_11.png/426px-Carte_EX_Gardiens_de_Cristal_11.png;https://images.pokemontcg.io/ex14/11_hires.png;ex14
12;12;Rare Holo;;Tauros;Tauros;Pokémon;Colorless;128;Hajime Kusajima;https://www.pokepedia.fr/images/thumb/d/dd/Carte_EX_Gardiens_de_Cristal_12.png/429px-Carte_EX_Gardiens_de_Cristal_12.png;https://images.pokemontcg.io/ex14/12_hires.png;ex14
13;13;Rare Holo;;Grodoudou;Wigglytuff;Pokémon;Colorless;40;Mitsuhiro Arita;https://www.pokepedia.fr/images/thumb/1/1b/Carte_EX_Gardiens_de_Cristal_13.png/426px-Carte_EX_Gardiens_de_Cristal_13.png;https://images.pokemontcg.io/ex14/13_hires.png;ex14
14;14;Rare;;Tortank;Blastoise;Pokémon;Water;9;Kouki Saitou;https://www.pokepedia.fr/images/thumb/6/6d/Carte_EX_Gardiens_de_Cristal_14.png/425px-Carte_EX_Gardiens_de_Cristal_14.png;https://images.pokemontcg.io/ex14/14_hires.png;ex14
15;15;Rare;;Cacturne;Cacturne δ;Pokémon;Fighting;332;Kouki Saitou;https://www.pokepedia.fr/images/thumb/0/09/Carte_EX_Gardiens_de_Cristal_15.png/429px-Carte_EX_Gardiens_de_Cristal_15.png;https://images.pokemontcg.io/ex14/15_hires.png;ex14
16;16;Rare;;Galifeu;Combusken;Pokémon;Fighting;256;Suwama Chiaki;https://www.pokepedia.fr/images/thumb/e/e1/Carte_EX_Gardiens_de_Cristal_16.png/427px-Carte_EX_Gardiens_de_Cristal_16.png;https://images.pokemontcg.io/ex14/16_hires.png;ex14
17;17;Rare;;Teraclope;Dusclops;Pokémon;Psychic;356;Kagemaru Himeno;https://www.pokepedia.fr/images/thumb/f/f8/Carte_EX_Gardiens_de_Cristal_17.png/413px-Carte_EX_Gardiens_de_Cristal_17.png;https://images.pokemontcg.io/ex14/17_hires.png;ex14
18;18;Rare;;Rapasdepic;Fearow δ;Pokémon;Lightning;22;Kouki Saitou;https://www.pokepedia.fr/images/thumb/b/bc/Carte_EX_Gardiens_de_Cristal_18.png/423px-Carte_EX_Gardiens_de_Cristal_18.png;https://images.pokemontcg.io/ex14/18_hires.png;ex14
19;19;Rare;;Massko;Grovyle δ;Pokémon;Psychic;253;Masakazu Fukuda;https://www.pokepedia.fr/images/thumb/0/07/Carte_EX_Gardiens_de_Cristal_19.png/430px-Carte_EX_Gardiens_de_Cristal_19.png;https://images.pokemontcg.io/ex14/19_hires.png;ex14
20;20;Rare;;Groret;Grumpig;Pokémon;Psychic;326;Mitsuhiro Arita;https://www.pokepedia.fr/images/thumb/3/3b/Carte_EX_Gardiens_de_Cristal_20.png/426px-Carte_EX_Gardiens_de_Cristal_20.png;https://images.pokemontcg.io/ex14/20_hires.png;ex14
21;21;Rare;;Toudoudou;Igglybuff;Pokémon;Colorless;174;Miki Tanaka;https://www.pokepedia.fr/images/thumb/8/8e/Carte_EX_Gardiens_de_Cristal_21.png/427px-Carte_EX_Gardiens_de_Cristal_21.png;https://images.pokemontcg.io/ex14/21_hires.png;ex14
22;22;Rare;;Krabboss;Kingler δ;Pokémon;Fire;99;Masakazu Fukuda;https://www.pokepedia.fr/images/thumb/e/e2/Carte_EX_Gardiens_de_Cristal_22.png/426px-Carte_EX_Gardiens_de_Cristal_22.png;https://images.pokemontcg.io/ex14/22_hires.png;ex14
23;23;Rare;;Ramboum;Loudred;Pokémon;Colorless;294;Midori Harada;https://www.pokepedia.fr/images/thumb/8/8d/Carte_EX_Gardiens_de_Cristal_23.png/427px-Carte_EX_Gardiens_de_Cristal_23.png;https://images.pokemontcg.io/ex14/23_hires.png;ex14
24;24;Rare;;Flobio;Marshtomp;Pokémon;Water;259;Kagemaru Himeno;https://www.pokepedia.fr/images/a/a0/Carte_EX_Gardiens_de_Cristal_24.png;https://images.pokemontcg.io/ex14/24_hires.png;ex14
25;25;Rare;;Charmina;Medicham;Pokémon;Fighting;308;Midori Harada;https://www.pokepedia.fr/images/thumb/8/8a/Carte_EX_Gardiens_de_Cristal_25.png/426px-Carte_EX_Gardiens_de_Cristal_25.png;https://images.pokemontcg.io/ex14/25_hires.png;ex14
26;26;Rare;;Bekipan;Pelipper δ;Pokémon;Lightning;279;Masakazu Fukuda;https://www.pokepedia.fr/images/thumb/6/67/Carte_EX_Gardiens_de_Cristal_26.png/430px-Carte_EX_Gardiens_de_Cristal_26.png;https://images.pokemontcg.io/ex14/26_hires.png;ex14
27;27;Rare;;Laggron;Swampert;Pokémon;Fighting;260;Hisao Nakamura;https://www.pokepedia.fr/images/thumb/f/fc/Carte_EX_Gardiens_de_Cristal_27.png/426px-Carte_EX_Gardiens_de_Cristal_27.png;https://images.pokemontcg.io/ex14/27_hires.png;ex14
28;28;Rare;;Florizarre;Venusaur;Pokémon;Grass;3;Hajime Kusajima;https://www.pokepedia.fr/images/thumb/7/7c/Carte_EX_Gardiens_de_Cristal_28.png/424px-Carte_EX_Gardiens_de_Cristal_28.png;https://images.pokemontcg.io/ex14/28_hires.png;ex14
29;29;Uncommon;;Reptincel;Charmeleon;Pokémon;Fire;5;Kagemaru Himeno;https://www.pokepedia.fr/images/thumb/6/66/Carte_EX_Gardiens_de_Cristal_29.png/429px-Carte_EX_Gardiens_de_Cristal_29.png;https://images.pokemontcg.io/ex14/29_hires.png;ex14
30;30;Uncommon;;Reptincel;Charmeleon δ;Pokémon;Lightning;5;Mitsuhiro Arita;https://www.pokepedia.fr/images/thumb/2/23/Carte_EX_Gardiens_de_Cristal_30.png/427px-Carte_EX_Gardiens_de_Cristal_30.png;https://images.pokemontcg.io/ex14/30_hires.png;ex14
31;31;Uncommon;;Galifeu;Combusken;Pokémon;Fire;256;Sachiko Adachi;https://www.pokepedia.fr/images/thumb/9/9b/Carte_EX_Gardiens_de_Cristal_31.png/425px-Carte_EX_Gardiens_de_Cristal_31.png;https://images.pokemontcg.io/ex14/31_hires.png;ex14
32;32;Uncommon;;Massko;Grovyle;Pokémon;Grass;253;Hisao Nakamura;https://www.pokepedia.fr/images/thumb/7/76/Carte_EX_Gardiens_de_Cristal_32.png/425px-Carte_EX_Gardiens_de_Cristal_32.png;https://images.pokemontcg.io/ex14/32_hires.png;ex14
33;33;Uncommon;;Gloupti;Gulpin;Pokémon;Grass;316;Kyoko Umemoto;https://www.pokepedia.fr/images/thumb/4/46/Carte_EX_Gardiens_de_Cristal_33.png/427px-Carte_EX_Gardiens_de_Cristal_33.png;https://images.pokemontcg.io/ex14/33_hires.png;ex14
34;34;Uncommon;;Herbizarre;Ivysaur;Pokémon;Grass;2;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/thumb/0/0a/Carte_EX_Gardiens_de_Cristal_34.png/429px-Carte_EX_Gardiens_de_Cristal_34.png;https://images.pokemontcg.io/ex14/34_hires.png;ex14
35;35;Uncommon;;Herbizarre;Ivysaur;Pokémon;Grass;2;Hisao Nakamura;https://www.pokepedia.fr/images/thumb/0/04/Carte_EX_Gardiens_de_Cristal_35.png/426px-Carte_EX_Gardiens_de_Cristal_35.png;https://images.pokemontcg.io/ex14/35_hires.png;ex14
36;36;Uncommon;;Galegon;Lairon;Pokémon;Metal;305;Hajime Kusajima;https://www.pokepedia.fr/images/thumb/5/51/Carte_EX_Gardiens_de_Cristal_36.png/421px-Carte_EX_Gardiens_de_Cristal_36.png;https://images.pokemontcg.io/ex14/36_hires.png;ex14
37;37;Uncommon;;Lombre;Lombre;Pokémon;Water;271;Kagemaru Himeno;https://www.pokepedia.fr/images/thumb/0/0a/Carte_EX_Gardiens_de_Cristal_37.png/426px-Carte_EX_Gardiens_de_Cristal_37.png;https://images.pokemontcg.io/ex14/37_hires.png;ex14
38;38;Uncommon;;Flobio;Marshtomp;Pokémon;Fighting;259;Hisao Nakamura;https://www.pokepedia.fr/images/thumb/c/cd/Carte_EX_Gardiens_de_Cristal_38.png/431px-Carte_EX_Gardiens_de_Cristal_38.png;https://images.pokemontcg.io/ex14/38_hires.png;ex14
39;39;Uncommon;;Pifeuil;Nuzleaf;Pokémon;Darkness;274;Tomokazu Komiya;https://www.pokepedia.fr/images/thumb/0/03/Carte_EX_Gardiens_de_Cristal_39.png/422px-Carte_EX_Gardiens_de_Cristal_39.png;https://images.pokemontcg.io/ex14/39_hires.png;ex14
40;40;Uncommon;;Polichombr;Shuppet;Pokémon;Psychic;353;Atsuko Nishida;https://www.pokepedia.fr/images/thumb/0/03/Carte_EX_Gardiens_de_Cristal_40.png/427px-Carte_EX_Gardiens_de_Cristal_40.png;https://images.pokemontcg.io/ex14/40_hires.png;ex14
41;41;Uncommon;;Skitty;Skitty;Pokémon;Colorless;300;Miki Tanaka;https://www.pokepedia.fr/images/thumb/e/e9/Carte_EX_Gardiens_de_Cristal_41.png/431px-Carte_EX_Gardiens_de_Cristal_41.png;https://images.pokemontcg.io/ex14/41_hires.png;ex14
42;42;Uncommon;;Carabaffe;Wartortle;Pokémon;Water;8;Kouki Saitou;https://www.pokepedia.fr/images/thumb/5/56/Carte_EX_Gardiens_de_Cristal_42.png/423px-Carte_EX_Gardiens_de_Cristal_42.png;https://images.pokemontcg.io/ex14/42_hires.png;ex14
43;43;Uncommon;;Carabaffe;Wartortle;Pokémon;Water;8;Atsuko Nishida;https://www.pokepedia.fr/images/thumb/f/f0/Carte_EX_Gardiens_de_Cristal_43.png/428px-Carte_EX_Gardiens_de_Cristal_43.png;https://images.pokemontcg.io/ex14/43_hires.png;ex14
44;44;Common;;Galekid;Aron;Pokémon;Metal;304;Aya Kusube;https://www.pokepedia.fr/images/thumb/1/1d/Carte_EX_Gardiens_de_Cristal_44.png/430px-Carte_EX_Gardiens_de_Cristal_44.png;https://images.pokemontcg.io/ex14/44_hires.png;ex14
45;45;Common;;Bulbizarre;Bulbasaur;Pokémon;Grass;1;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/thumb/a/a3/Carte_EX_Gardiens_de_Cristal_45.png/426px-Carte_EX_Gardiens_de_Cristal_45.png;https://images.pokemontcg.io/ex14/45_hires.png;ex14
46;46;Common;;Bulbizarre;Bulbasaur;Pokémon;Grass;1;Kagemaru Himeno;https://www.pokepedia.fr/images/thumb/d/d0/Carte_EX_Gardiens_de_Cristal_46.png/430px-Carte_EX_Gardiens_de_Cristal_46.png;https://images.pokemontcg.io/ex14/46_hires.png;ex14
47;47;Common;;Cacnéa;Cacnea;Pokémon;Grass;331;Tomokazu Komiya;https://www.pokepedia.fr/images/thumb/4/4b/Carte_EX_Gardiens_de_Cristal_47.png/427px-Carte_EX_Gardiens_de_Cristal_47.png;https://images.pokemontcg.io/ex14/47_hires.png;ex14
48;48;Common;;Salamèche;Charmander;Pokémon;Fire;4;Atsuko Nishida;https://www.pokepedia.fr/images/thumb/9/98/Carte_EX_Gardiens_de_Cristal_48.png/424px-Carte_EX_Gardiens_de_Cristal_48.png;https://images.pokemontcg.io/ex14/48_hires.png;ex14
49;49;Common;;Salamèche;Charmander δ;Pokémon;Lightning;4;Mitsuhiro Arita;https://www.pokepedia.fr/images/thumb/4/4e/Carte_EX_Gardiens_de_Cristal_49.png/432px-Carte_EX_Gardiens_de_Cristal_49.png;https://images.pokemontcg.io/ex14/49_hires.png;ex14
50;50;Common;;Taupiqueur;Diglett;Pokémon;Fighting;50;Kyoko Umemoto;https://www.pokepedia.fr/images/thumb/e/e0/Carte_EX_Gardiens_de_Cristal_50.png/429px-Carte_EX_Gardiens_de_Cristal_50.png;https://images.pokemontcg.io/ex14/50_hires.png;ex14
51;51;Common;;Skelenox;Duskull;Pokémon;Psychic;355;Yukiko Baba;https://www.pokepedia.fr/images/thumb/7/71/Carte_EX_Gardiens_de_Cristal_51.png/424px-Carte_EX_Gardiens_de_Cristal_51.png;https://images.pokemontcg.io/ex14/51_hires.png;ex14
52;52;Common;;Dynavolt;Electrike;Pokémon;Lightning;309;Atsuko Nishida;https://www.pokepedia.fr/images/thumb/4/4c/Carte_EX_Gardiens_de_Cristal_52.png/429px-Carte_EX_Gardiens_de_Cristal_52.png;https://images.pokemontcg.io/ex14/52_hires.png;ex14
53;53;Common;;Rondoudou;Jigglypuff;Pokémon;Colorless;39;Midori Harada;https://www.pokepedia.fr/images/thumb/b/b6/Carte_EX_Gardiens_de_Cristal_53.png/427px-Carte_EX_Gardiens_de_Cristal_53.png;https://images.pokemontcg.io/ex14/53_hires.png;ex14
54;54;Common;;Krabby;Krabby;Pokémon;Water;98;Tomokazu Komiya;https://www.pokepedia.fr/images/thumb/3/36/Carte_EX_Gardiens_de_Cristal_54.png/429px-Carte_EX_Gardiens_de_Cristal_54.png;https://images.pokemontcg.io/ex14/54_hires.png;ex14
55;55;Common;;Nenupiot;Lotad;Pokémon;Water;270;Aya Kusube;https://www.pokepedia.fr/images/thumb/a/a0/Carte_EX_Gardiens_de_Cristal_55.png/427px-Carte_EX_Gardiens_de_Cristal_55.png;https://images.pokemontcg.io/ex14/55_hires.png;ex14
56;56;Common;;Meditikka;Meditite;Pokémon;Fighting;307;Hisao Nakamura;https://www.pokepedia.fr/images/thumb/f/fe/Carte_EX_Gardiens_de_Cristal_56.png/430px-Carte_EX_Gardiens_de_Cristal_56.png;https://images.pokemontcg.io/ex14/56_hires.png;ex14
57;57;Common;;Gobou;Mudkip;Pokémon;Water;258;Hisao Nakamura;https://www.pokepedia.fr/images/thumb/d/da/Carte_EX_Gardiens_de_Cristal_57.png/428px-Carte_EX_Gardiens_de_Cristal_57.png;https://images.pokemontcg.io/ex14/57_hires.png;ex14
