number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Dardargnan;Beedrill δ;Pokémon;Grass;15;Masakazu Fukuda;;;https://images.pokemontcg.io/ex11/1.png;;Delta Species
2;Rare Holo;;Nostenfer;Crobat δ;Pokémon;Grass;169;Ryo Ueda;;;https://images.pokemontcg.io/ex11/2.png;;Delta Species
3;Rare Holo;;Dracolosse;Dragonite δ;Pokémon;Lightning;149;Ryo Ueda;;;https://images.pokemontcg.io/ex11/3.png;;Delta Species
4;Rare Holo;;Mentali;Espeon δ;Pokémon;Psychic;196;Ryo Ueda;;;https://images.pokemontcg.io/ex11/4.png;;Delta Species
5;Rare Holo;;Pyroli;Flareon δ;Pokémon;Fire;136;Kouki Saitou;;;https://images.pokemontcg.io/ex11/5.png;;Delta Species
6;Rare Holo;;Gardevoir;Gardevoir δ;Pokémon;Psychic;282;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex11/6.png;;Delta Species
7;Rare Holo;;Voltali;Jolteon δ;Pokémon;Lightning;135;Kouki Saitou;;;https://images.pokemontcg.io/ex11/7.png;;Delta Species
8;Rare Holo;;Latias;Latias δ;Pokémon;Lightning;380;Ryo Ueda;;;https://images.pokemontcg.io/ex11/8.png;;Delta Species
9;Rare Holo;;Latios;Latios δ;Pokémon;Lightning;381;Ryo Ueda;;;https://images.pokemontcg.io/ex11/9.png;;Delta Species
10;Rare Holo;;Ossatueur;Marowak δ;Pokémon;Fighting;105;Hajime Kusajima;;;https://images.pokemontcg.io/ex11/10.png;;Delta Species
11;Rare Holo;;Metalosse;Metagross δ;Pokémon;Lightning;376;Masakazu Fukuda;;;https://images.pokemontcg.io/ex11/11.png;;Delta Species
12;Rare Holo;;Mewtwo;Mewtwo δ;Pokémon;Fire;150;Ryo Ueda;;;https://images.pokemontcg.io/ex11/12.png;;Delta Species
13;Rare Holo;;Rayquaza;Rayquaza δ;Pokémon;Lightning;384;Ryo Ueda;;;https://images.pokemontcg.io/ex11/13.png;;Delta Species
14;Rare Holo;;Drattak;Salamence δ;Pokémon;Fire;373;Ryo Ueda;;;https://images.pokemontcg.io/ex11/14.png;;Delta Species
