number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Armaldo;Armaldo δ;Pokémon;Fighting;348;Masakazu Fukuda;;;https://images.pokemontcg.io/ex13/1.png;;Holon Phantoms
2;Rare Holo;;Vacilys;Cradily δ;Pokémon;Darkness;346;Kouki Saitou;;;https://images.pokemontcg.io/ex13/2.png;;Holon Phantoms
3;Rare Holo;;Deoxys;Deoxys δ;Pokémon;Darkness;386;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/3.png;;Holon Phantoms
4;Rare Holo;;Deoxys;Deoxys δ;Pokémon;Metal;386;Kagemaru Himeno;;;https://images.pokemontcg.io/ex13/4.png;;Holon Phantoms
5;Rare Holo;;Deoxys;Deoxys δ;Pokémon;Colorless;386;Kouki Saitou;;;https://images.pokemontcg.io/ex13/5.png;;Holon Phantoms
6;Rare Holo;;Deoxys;Deoxys δ;Pokémon;Lightning;386;Masakazu Fukuda;;;https://images.pokemontcg.io/ex13/6.png;;Holon Phantoms
7;Rare Holo;;Libégon;Flygon δ;Pokémon;Grass;330;Kagemaru Himeno;;;https://images.pokemontcg.io/ex13/7.png;;Holon Phantoms
8;Rare Holo;;Léviator;Gyarados δ;Pokémon;Lightning;130;Hajime Kusajima;;;https://images.pokemontcg.io/ex13/8.png;;Holon Phantoms
9;Rare Holo;;Kabutops;Kabutops δ;Pokémon;Lightning;141;Masakazu Fukuda;;;https://images.pokemontcg.io/ex13/9.png;;Holon Phantoms
10;Rare Holo;;Hyporoi;Kingdra δ;Pokémon;Fire;230;Masakazu Fukuda;;;https://images.pokemontcg.io/ex13/10.png;;Holon Phantoms
11;Rare Holo;;Latias;Latias δ;Pokémon;Fire;380;Masakazu Fukuda;;;https://images.pokemontcg.io/ex13/11.png;;Holon Phantoms
12;Rare Holo;;Latios;Latios δ;Pokémon;Water;381;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/12.png;;Holon Phantoms
13;Rare Holo;;Amonistar;Omastar δ;Pokémon;Psychic;139;Midori Harada;;;https://images.pokemontcg.io/ex13/13.png;;Holon Phantoms
14;Rare Holo;;Roucarnage;Pidgeot δ;Pokémon;Lightning;18;Kouki Saitou;;;https://images.pokemontcg.io/ex13/14.png;;Holon Phantoms
15;Rare Holo;;Raichu;Raichu δ;Pokémon;Metal;26;Masakazu Fukuda;;;https://images.pokemontcg.io/ex13/15.png;;Holon Phantoms
16;Rare Holo;;Rayquaza;Rayquaza δ;Pokémon;Water;384;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/16.png;;Holon Phantoms
17;Rare Holo;;Rafflésia;Vileplume δ;Pokémon;Psychic;45;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/17.png;;Holon Phantoms
18;Rare;;Absol;Absol;Pokémon;Darkness;359;Masakazu Fukuda;;;https://images.pokemontcg.io/ex13/18.png;;Holon Phantoms
19;Rare;;Joliflor;Bellossom δ;Pokémon;Water;182;Kagemaru Himeno;;;https://images.pokemontcg.io/ex13/19.png;;Holon Phantoms
20;Rare;;Brasegali;Blaziken;Pokémon;Fire;257;Hiromichi Sugiyama;;;https://images.pokemontcg.io/ex13/20.png;;Holon Phantoms
21;Rare;;Latias;Latias δ;Pokémon;Fire;380;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/21.png;;Holon Phantoms
22;Rare;;Latios;Latios δ;Pokémon;Water;381;Masakazu Fukuda;;;https://images.pokemontcg.io/ex13/22.png;;Holon Phantoms
23;Rare;;Mysdibule;Mawile;Pokémon;Metal;303;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/23.png;;Holon Phantoms
24;Rare;;Mewtwo;Mewtwo δ;Pokémon;Lightning;150;Ryo Ueda;;;https://images.pokemontcg.io/ex13/24.png;;Holon Phantoms
25;Rare;;Tarinor;Nosepass;Pokémon;Fighting;299;Kagemaru Himeno;;;https://images.pokemontcg.io/ex13/25.png;;Holon Phantoms
26;Rare;;Rayquaza;Rayquaza δ;Pokémon;Fire;384;Ryo Ueda;;;https://images.pokemontcg.io/ex13/26.png;;Holon Phantoms
27;Rare;;Regice;Regice;Pokémon;Water;378;Ken Sugimori;;;https://images.pokemontcg.io/ex13/27.png;;Holon Phantoms
28;Rare;;Regirock;Regirock;Pokémon;Fighting;377;Ken Sugimori;;;https://images.pokemontcg.io/ex13/28.png;;Holon Phantoms
29;Rare;;Registeel;Registeel;Pokémon;Metal;379;Ken Sugimori;;;https://images.pokemontcg.io/ex13/29.png;;Holon Phantoms
30;Rare;;Relicanth;Relicanth;Pokémon;Water;369;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/30.png;;Holon Phantoms
31;Rare;;Ténéfix;Sableye;Pokémon;Darkness;302;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/31.png;;Holon Phantoms
32;Rare;;Seviper;Seviper;Pokémon;Grass;336;Kagemaru Himeno;;;https://images.pokemontcg.io/ex13/32.png;;Holon Phantoms
33;Rare;;Chartor;Torkoal;Pokémon;Fire;324;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/33.png;;Holon Phantoms
34;Rare;;Mangriff;Zangoose;Pokémon;Colorless;335;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/34.png;;Holon Phantoms
35;Uncommon;;Ptera;Aerodactyl δ;Pokémon;Fire;142;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/35.png;;Holon Phantoms
36;Uncommon;;Camerupt;Camerupt;Pokémon;Fire;323;Atsuko Nishida;;;https://images.pokemontcg.io/ex13/36.png;;Holon Phantoms
37;Uncommon;;Eoko;Chimecho δ;Pokémon;Metal;358;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/37.png;;Holon Phantoms
38;Uncommon;;Kaorine;Claydol;Pokémon;Psychic;344;Kagemaru Himeno;;;https://images.pokemontcg.io/ex13/38.png;;Holon Phantoms
39;Uncommon;;Galifeu;Combusken;Pokémon;Fire;256;Kagemaru Himeno;;;https://images.pokemontcg.io/ex13/39.png;;Holon Phantoms
40;Uncommon;;Donphan;Donphan;Pokémon;Fighting;232;Hisao Nakamura;;;https://images.pokemontcg.io/ex13/40.png;;Holon Phantoms
41;Uncommon;;Noadkoko;Exeggutor δ;Pokémon;Fighting;103;Midori Harada;;;https://images.pokemontcg.io/ex13/41.png;;Holon Phantoms
42;Uncommon;;Ortide;Gloom δ;Pokémon;Psychic;44;Midori Harada;;;https://images.pokemontcg.io/ex13/42.png;;Holon Phantoms
43;Uncommon;;Akwakwak;Golduck δ;Pokémon;Lightning;55;Midori Harada;;;https://images.pokemontcg.io/ex13/43.png;;Holon Phantoms
44;Uncommon;;Morpheo de Holon;Holon's Castform;Pokémon;Colorless;351;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex13/44.png;;Holon Phantoms
45;Uncommon;;Galegon;Lairon;Pokémon;Metal;305;Masakazu Fukuda;;;https://images.pokemontcg.io/ex13/45.png;;Holon Phantoms
46;Uncommon;;Elecsprint;Manectric;Pokémon;Lightning;310;Midori Harada;;;https://images.pokemontcg.io/ex13/46.png;;Holon Phantoms
47;Uncommon;;Maskadra;Masquerain;Pokémon;Grass;284;Atsuko Nishida;;;https://images.pokemontcg.io/ex13/47.png;;Holon Phantoms
48;Uncommon;;Persian;Persian δ;Pokémon;Darkness;53;Midori Harada;;;https://images.pokemontcg.io/ex13/48.png;;Holon Phantoms
