number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Kyoko Umemoto;;;https://images.pokemontcg.io/ex10/1.png;;Unseen Forces
2;Rare Holo;;Migalos;Ariados;Pokémon;Grass;168;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex10/2.png;;Unseen Forces
3;Rare Holo;;Joliflor;Bellossom;Pokémon;Grass;182;Kouki Saitou;;;https://images.pokemontcg.io/ex10/3.png;;Unseen Forces
4;Rare Holo;;Aligatueur;Feraligatr;Pokémon;Water;160;Masakazu Fukuda;;;https://images.pokemontcg.io/ex10/4.png;;Unseen Forces
5;Rare Holo;;Pyroli;Flareon;Pokémon;Fire;136;Naoyo Kimura;;;https://images.pokemontcg.io/ex10/5.png;;Unseen Forces
6;Rare Holo;;Foretress;Forretress;Pokémon;Metal;205;Aya Kusube;;;https://images.pokemontcg.io/ex10/6.png;;Unseen Forces
7;Rare Holo;;Démolosse;Houndoom;Pokémon;Fire;229;Midori Harada;;;https://images.pokemontcg.io/ex10/7.png;;Unseen Forces
8;Rare Holo;;Voltali;Jolteon;Pokémon;Lightning;135;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex10/8.png;;Unseen Forces
9;Rare Holo;;Méganium;Meganium;Pokémon;Grass;154;Atsuko Nishida;;;https://images.pokemontcg.io/ex10/9.png;;Unseen Forces
10;Rare Holo;;Octillery;Octillery;Pokémon;Water;224;Naoyo Kimura;;;https://images.pokemontcg.io/ex10/10.png;;Unseen Forces
11;Rare Holo;;Tartard;Poliwrath;Pokémon;Fighting;62;Hajime Kusajima;;;https://images.pokemontcg.io/ex10/11.png;;Unseen Forces
12;Rare Holo;;Porygon2;Porygon2;Pokémon;Colorless;233;Kagemaru Himeno;;;https://images.pokemontcg.io/ex10/12.png;;Unseen Forces
13;Rare Holo;;Flagadoss;Slowbro;Pokémon;Water;80;Midori Harada;;;https://images.pokemontcg.io/ex10/13.png;;Unseen Forces
14;Rare Holo;;Roigada;Slowking;Pokémon;Psychic;199;Midori Harada;;;https://images.pokemontcg.io/ex10/14.png;;Unseen Forces
15;Rare Holo;;Simularbre;Sudowoodo;Pokémon;Fighting;185;Tomokazu Komiya;;;https://images.pokemontcg.io/ex10/15.png;;Unseen Forces
16;Rare Holo;;Heliatronc;Sunflora;Pokémon;Grass;192;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ex10/16.png;;Unseen Forces
17;Rare Holo;;Typhlosion;Typhlosion;Pokémon;Fire;157;Hajime Kusajima;;;https://images.pokemontcg.io/ex10/17.png;;Unseen Forces
18;Rare Holo;;Ursaring;Ursaring;Pokémon;Colorless;217;Atsuko Nishida;;;https://images.pokemontcg.io/ex10/18.png;;Unseen Forces
19;Rare Holo;;Aquali;Vaporeon;Pokémon;Water;134;Atsuko Nishida;;;https://images.pokemontcg.io/ex10/19.png;;Unseen Forces
20;Rare;;Leveinard;Chansey;Pokémon;Colorless;113;Yukiko Baba;;;https://images.pokemontcg.io/ex10/20.png;;Unseen Forces
21;Rare;;Mélo;Cleffa;Pokémon;Colorless;173;Yuka Morii;;;https://images.pokemontcg.io/ex10/21.png;;Unseen Forces
