number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Branette;Banette;Pokémon;Psychic;354;Kyoko Umemoto;;;https://images.pokemontcg.io/ex14/1.png;;Crystal Guardians
2;Rare Holo;;Tortank;Blastoise δ;Pokémon;Fighting;9;Masakazu Fukuda;;;https://images.pokemontcg.io/ex14/2.png;;Crystal Guardians
3;Rare Holo;;Camerupt;Camerupt;Pokémon;Fire;323;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex14/3.png;;Crystal Guardians
4;Rare Holo;;Dracaufeu;Charizard δ;Pokémon;Lightning;6;Kouki Saitou;;;https://images.pokemontcg.io/ex14/4.png;;Crystal Guardians
5;Rare Holo;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Tomokazu Komiya;;;https://images.pokemontcg.io/ex14/5.png;;Crystal Guardians
6;Rare Holo;;Ludicolo;Ludicolo δ;Pokémon;Fire;272;Masakazu Fukuda;;;https://images.pokemontcg.io/ex14/6.png;;Crystal Guardians
7;Rare Holo;;Lovdisc;Luvdisc;Pokémon;Water;370;Kyoko Umemoto;;;https://images.pokemontcg.io/ex14/7.png;;Crystal Guardians
8;Rare Holo;;Elecsprint;Manectric;Pokémon;Lightning;310;Hisao Nakamura;;;https://images.pokemontcg.io/ex14/8.png;;Crystal Guardians
9;Rare Holo;;Mysdibule;Mawile;Pokémon;Metal;303;Kagemaru Himeno;;;https://images.pokemontcg.io/ex14/9.png;;Crystal Guardians
10;Rare Holo;;Ténéfix;Sableye;Pokémon;Darkness;302;Yukiko Baba;;;https://images.pokemontcg.io/ex14/10.png;;Crystal Guardians
11;Rare Holo;;Avaltout;Swalot;Pokémon;Grass;317;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex14/11.png;;Crystal Guardians
12;Rare Holo;;Tauros;Tauros;Pokémon;Colorless;128;Hajime Kusajima;;;https://images.pokemontcg.io/ex14/12.png;;Crystal Guardians
13;Rare Holo;;Grodoudou;Wigglytuff;Pokémon;Colorless;40;Mitsuhiro Arita;;;https://images.pokemontcg.io/ex14/13.png;;Crystal Guardians
14;Rare;;Tortank;Blastoise;Pokémon;Water;9;Kouki Saitou;;;https://images.pokemontcg.io/ex14/14.png;;Crystal Guardians
