number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Galeking;Aggron;Pokémon;Metal;306;Ken Sugimori;;;https://images.pokemontcg.io/ex16/1.png;;Power Keepers
2;Rare Holo;;Altaria;Altaria;Pokémon;Colorless;334;Ken Sugimori;;;https://images.pokemontcg.io/ex16/2.png;;Power Keepers
3;Rare Holo;;Armaldo;Armaldo;Pokémon;Fighting;348;Ken Sugimori;;;https://images.pokemontcg.io/ex16/3.png;;Power Keepers
4;Rare Holo;;Branette;Banette;Pokémon;Psychic;354;Ken Sugimori;;;https://images.pokemontcg.io/ex16/4.png;;Power Keepers
5;Rare Holo;;Brasegali;Blaziken;Pokémon;Fire;257;Masakazu Fukuda;;;https://images.pokemontcg.io/ex16/5.png;;Power Keepers
6;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;Ken Sugimori;;;https://images.pokemontcg.io/ex16/6.png;;Power Keepers
7;Rare Holo;;Vacilys;Cradily;Pokémon;Grass;346;Ken Sugimori;;;https://images.pokemontcg.io/ex16/7.png;;Power Keepers
8;Rare Holo;;Delcatty;Delcatty;Pokémon;Colorless;301;Masakazu Fukuda;;;https://images.pokemontcg.io/ex16/8.png;;Power Keepers
9;Rare Holo;;Gardevoir;Gardevoir;Pokémon;Psychic;282;Midori Harada;;;https://images.pokemontcg.io/ex16/9.png;;Power Keepers
10;Rare Holo;;Kabutops;Kabutops;Pokémon;Fighting;141;Ken Sugimori;;;https://images.pokemontcg.io/ex16/10.png;;Power Keepers
11;Rare Holo;;Mackogneur;Machamp;Pokémon;Fighting;68;Ken Sugimori;;;https://images.pokemontcg.io/ex16/11.png;;Power Keepers
12;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;Hajime Kusajima;;;https://images.pokemontcg.io/ex16/12.png;;Power Keepers
13;Rare Holo;;Monaflemit;Slaking;Pokémon;Colorless;289;Midori Harada;;;https://images.pokemontcg.io/ex16/13.png;;Power Keepers
14;Rare;;Teraclope;Dusclops;Pokémon;Psychic;356;Ken Sugimori;;;https://images.pokemontcg.io/ex16/14.png;;Power Keepers
15;Rare;;Lanturn;Lanturn;Pokémon;Lightning;171;Midori Harada;;;https://images.pokemontcg.io/ex16/15.png;;Power Keepers
16;Rare;;Magneton;Magneton;Pokémon;Lightning;82;Masakazu Fukuda;;;https://images.pokemontcg.io/ex16/16.png;;Power Keepers
17;Rare;;Mysdibule;Mawile;Pokémon;Metal;303;Ken Sugimori;;;https://images.pokemontcg.io/ex16/17.png;;Power Keepers
